POprc559_1:1	okay	RE(RE)	okay
POprc559_9:185	er	UH(UH)	er
POprc559_9:186	oil	NN(NN)	oil
POprc559_9:187	_0	PA(PA)	
POprc559_9:188	er	UH(UH)	er
POprc559_9:189	reservoir	NN(NN)	reservoir
POprc559_9:190	_0	PA(PA)	
POprc559_9:191	x	UNI(UNI)	
POprc559_9:192	by	IN(IN)	by
POprc559_9:193	xxx	UNI(UNI)	
POprc559_9:194	er	UH(UH)	er
POprc559_9:195	_0	PA(PA)	
POprc559_9:196	we	PP(PP)	we
POprc559_9:197	're	VBP(VBP)	be
POprc559_9:198	_0	PA(PA)	
POprc559_9:199	er	UH(UH)	er
POprc559_9:200	we	PP(PP)	we
POprc559_9:201	're	VBP(VBP)	be
POprc559_9:202	er	UH(UH)	er
POprc559_9:203	_0	PA(PA)	
POprc559_9:204	we	PP(PP)	we
POprc559_9:205	're	VBP(VBP)	be
POprc559_9:206	er	UH(UH)	er
POprc559_9:207	not	RB(RB)	not
POprc559_9:208	_0	PA(PA)	
POprc559_9:209	er	UH(UH)	er
POprc559_9:210	made	VVD(VVD)	make
POprc559_9:211	any	DT(DT)	any
POprc559_9:212	decisions	NNS(NNS)	decision
POprc559_9:213	_0	PA(PA)	
POprc559_9:214	yet	RB(RB)	yet
POprc559_9:215	when	WRB(WRB)	when
POprc559_9:216	it	PP(PP)	it
POprc559_9:217	comes	VVZ(VVZ)	come
POprc559_9:218	to	IN(IN)	to
POprc559_9:219	production	NN(NN)	production
POprc559_9:220	_0	PA(PA)	
POprc559_9:221	erm	UH(UH)	erm
POprc559_9:222	so	DM(DM)	so
POprc559_9:223	the	DT(DT)	the
POprc559_9:224	gar-	XX(XX)	
POprc559_9:225	barents	NP(NP)	barents
POprc559_9:226	sea	NP(NP)	sea
POprc559_9:227	er	UH(UH)	er
POprc559_9:228	will	MD(MD)	will
POprc559_9:229	_0	PA(PA)	
POprc559_9:230	be	VB(VB)	be
POprc559_9:231	developed	VVN(VVN)	develop
POprc559_9:232	an-	XX(XX)	
POprc559_9:233	and	CC(CC)	and
POprc559_9:234	we	PP(PP)	we
POprc559_9:235	will	MD(MD)	will
POprc559_9:236	probably	RB(RB)	probably
POprc559_9:237	and	CC(CC)	and
POprc559_9:238	er	UH(UH)	er
POprc559_9:239	hopefully	RB(RB)	hopefully
POprc559_9:240	find	VV(VV)	find
POprc559_9:241	more	JJR(JJR)	more
POprc559_9:242	resources	NNS(NNS)	resource
POprc559_9:243	in	IN(IN)	in
POprc559_9:244	the	DT(DT)	the
POprc559_9:245	barents	NP(NP)	barents
POprc559_9:246	sea	NP(NP)	sea
POprc559_9:247	than	IN(IN)	than
POprc559_9:248	what	WP(WP)	what
POprc559_9:249	we	PP(PP)	we
POprc559_9:250	have	VHP(VHP)	have
POprc559_9:251	done	VVN(VVN)	do
POprc559_9:252	so	RB(RB)	so
POprc559_9:253	far	RB(RB)	far
POprc559_9:254	_0	PA(PA)	
POprc559_9:255	transparency	NN(NN)	transparency
POprc559_9:256	is	VBZ(VBZ)	be
POprc559_9:257	important	JJ(JJ)	important
POprc559_9:258	for	IN(IN)	for
POprc559_9:259	norway	NP(NP)	norway
POprc559_9:260	an-	XX(XX)	
POprc559_9:261	and	CC(CC)	and
POprc559_9:262	norway	NP(NP)	norway
POprc559_9:263	has	VHZ(VHZ)	have
POprc559_9:264	always	RB(RB)	always
POprc559_9:265	_0	PA(PA)	
POprc559_9:266	had	VHN(VHN)	have
POprc559_9:267	opened	VVN(VVN)	open
POprc559_9:268	figures	NNS(NNS)	figure
POprc559_9:269	on	IN(IN)	on
POprc559_9:270	our	PP$(PP$)	we
POprc559_9:271	resources	NNS(NNS)	resource
POprc559_9:272	_0	PA(PA)	
POprc559_9:273	er	UH(UH)	er
POprc559_9:274	_0	PA(PA)	
POprc559_9:275	the	DT(DT)	the
POprc559_9:276	problem	NN(NN)	problem
POprc559_9:277	is	VBZ(VBZ)	be
POprc559_9:278	that	IN(IN)	that
POprc559_9:279	when	WRB(WRB)	when
POprc559_9:280	it	PP(PP)	it
POprc559_9:281	comes	VVZ(VVZ)	come
POprc559_9:282	to	IN(IN)	to
POprc559_9:283	oil	NN(NN)	oil
POprc559_9:284	resources	NNS(NNS)	resource
POprc559_9:285	they	PP(PP)	they
POprc559_9:286	have	VHP(VHP)	have
POprc559_9:287	more	RB(RB)	more
POprc559_9:288	or	RB(RB)	or
POprc559_9:289	less	RB(RB)	less
POprc559_9:290	_0	PA(PA)	
POprc559_9:291	more	RB(RB)	more
POprc559_9:292	or	RB(RB)	or
POprc559_9:293	less	RB(RB)	less
POprc559_9:294	changed	VVN(VVN)	change
POprc559_9:295	from	IN(IN)	from
POprc559_9:296	year	NN(NN)	year
POprc559_9:297	to	IN(IN)	to
POprc559_9:298	year	NN(NN)	year
POprc559_9:299	an-	XX(XX)	
POprc559_9:300	and	CC(CC)	and
POprc559_9:301	and	CC(CC)	and
POprc559_9:302	and	CC(CC)	and
POprc559_9:303	er	UH(UH)	er
POprc559_9:304	mostly	RB(RB)	mostly
POprc559_9:305	in	IN(IN)	in
POprc559_9:306	a	DT(DT)	a
POprc559_9:307	positive	JJ(JJ)	positive
POprc559_9:308	_0	PA(PA)	
POprc559_9:309	er	UH(UH)	er
POprc559_9:310	direction	NN(NN)	direction
POprc559_9:311	caused	VVN(VVN)	cause
POprc559_9:312	by	IN(IN)	by
POprc559_9:313	xx	UNI(UNI)	
POprc559_9:314	and	CC(CC)	and
POprc559_9:315	xx	UNI(UNI)	
POprc559_9:316	recovery	NN(NN)	recovery
POprc559_9:317	more	JJR(JJR)	more
POprc559_9:318	than	IN(IN)	than
POprc559_9:319	new	JJ(JJ)	new
POprc559_9:320	discoveries	NNS(NNS)	discovery
POprc559_9:321	but	CC(CC)	but
POprc559_9:322	_0	PA(PA)	
POprc559_9:323	but	CC(CC)	but
POprc559_9:324	er	UH(UH)	er
POprc559_9:325	when	WRB(WRB)	when
POprc559_9:326	it	PP(PP)	it
POprc559_9:327	comes	VVZ(VVZ)	come
POprc559_9:328	to	IN(IN)	to
POprc559_9:329	gas	NN(NN)	gas
POprc559_9:330	we	PP(PP)	we
POprc559_9:331	ha-	XX(XX)	
POprc559_9:332	we	PP(PP)	we
POprc559_9:333	think	VVP(VVP)	think
POprc559_9:334	at	RB(RB)	at
POprc559_9:335	least	RB(RB)	least
POprc559_9:336	we	PP(PP)	we
POprc559_9:337	have	VHP(VHP)	have
POprc559_9:338	a	DT(DT)	a
POprc559_9:339	better	JJR(JJR)	good
POprc559_9:340	picture	NN(NN)	picture
POprc559_9:341	of	IN(IN)	of
POprc559_9:342	how	WRB(WRB)	how
POprc559_9:343	big	JJ(JJ)	big
POprc559_9:344	our	PP$(PP$)	we
POprc559_9:345	resources	NNS(NNS)	resource
POprc559_9:346	are	VBP(VBP)	be
POprc559_9:347	_0	PA(PA)	
POprc559_9:348	i	PP(PP)	i
POprc559_9:349	do	VVP(VVP)	do
POprc559_9:350	not	RB(RB)	not
POprc559_9:351	er	UH(UH)	er
POprc559_9:352	_0	PA(PA)	
POprc559_9:353	have	VH(VH)	have
POprc559_9:354	them	PP(PP)	they
POprc559_9:355	_0	PA(PA)	
POprc559_9:356	here	RB(RB)	here
POprc559_9:357	but	CC(CC)	but
POprc559_9:358	you	PP(PP)	you
POprc559_9:359	can	MD(MD)	can
POprc559_9:360	certainly	RB(RB)	certainly
POprc559_9:361	get	VV(VV)	get
POprc559_9:362	them	PP(PP)	they
POprc559_9:363	because	IN(IN)	because
POprc559_9:364	this	DT(DT)	this
POprc559_9:365	is	VBZ(VBZ)	be
POprc559_9:366	er	UH(UH)	er
POprc559_9:367	_0	PA(PA)	
POprc559_9:368	this	DT(DT)	this
POprc559_9:369	is	VBZ(VBZ)	be
POprc559_9:370	open	JJ(JJ)	open
POprc559_9:371	an-	XX(XX)	
POprc559_9:372	and	CC(CC)	and
POprc559_9:373	we	PP(PP)	we
POprc559_9:374	er	UH(UH)	er
POprc559_9:375	_0	PA(PA)	
POprc559_9:376	and	CC(CC)	and
POprc559_9:377	we	PP(PP)	we
POprc559_9:378	give	VVP(VVP)	give
POprc559_9:379	out	RP(RP)	out
POprc559_9:380	this	DT(DT)	this
POprc559_9:381	er	UH(UH)	er
POprc559_9:382	_0	PA(PA)	
POprc559_9:383	this	DT(DT)	this
POprc559_9:384	figures	NNS(NNS)	figure
POprc559_9:385	ever-	XX(XX)	
POprc559_9:386	every	DT(DT)	every
POprc559_9:387	year	NN(NN)	year
POprc559_9:388	and	CC(CC)	and
POprc559_9:389	we	PP(PP)	we
POprc559_9:390	encourage	VVP(VVP)	encourage
POprc559_9:391	_0	PA(PA)	
POprc559_9:392	other	JJ(JJ)	other
POprc559_9:393	_0	PA(PA)	
POprc559_9:394	er	UH(UH)	er
POprc559_9:395	producing	VVG(NNS)	produce/producing
POprc559_9:396	countries	NNS(NNS)	country
POprc559_9:397	to	TO(TO)	to
POprc559_9:398	do	VV(VV)	do
POprc559_9:399	the	DT(DT)	the
POprc559_9:400	same	NN(NN)	same
POprc559_9:401	because	IN(IN)	because
POprc559_9:402	i	PP(PP)	i
POprc559_9:403	i	PP(PP)	i
POprc559_9:404	think	VVP(VVP)	think
POprc559_9:405	that	IN(IN)	that
POprc559_9:406	er	UH(UH)	er
POprc559_9:407	a	DT(DT)	a
POprc559_9:408	dialogue	NN(NN)	dialogue
POprc559_9:409	and	CC(CC)	and
POprc559_9:410	transparency	NN(NN)	transparency
POprc559_9:411	on	IN(IN)	on
POprc559_9:412	er	UH(UH)	er
POprc559_9:413	on	IN(IN)	on
POprc559_9:414	on	IN(IN)	on
POprc559_9:415	er	UH(UH)	er
POprc559_9:416	on	IN(IN)	on
POprc559_9:417	on	IN(IN)	on
POprc559_9:418	er	UH(UH)	er
POprc559_9:419	hh	BR(BR)	
POprc559_9:420	the	DT(DT)	the
POprc559_9:421	resource	NN(NN)	resource
POprc559_9:422	situation	NN(NN)	situation
POprc559_9:423	is	VBZ(VBZ)	be
POprc559_9:424	very	RB(RB)	very
POprc559_9:425	important	JJ(JJ)	important
POprc559_9:426	for	IN(IN)	for
POprc559_9:427	planning	VVG(NN)	plan/planning
POprc559_9:428	er	UH(UH)	er
POprc559_9:429	_0	PA(PA)	
POprc559_9:430	er	UH(UH)	er
POprc559_9:431	both	CC(CC)	both
POprc559_9:432	on	IN(IN)	on
POprc559_9:433	the	DT(DT)	the
POprc559_9:434	production	NN(NN)	production
POprc559_9:435	side	NN(NN)	side
POprc559_9:436	and	CC(CC)	and
POprc559_9:437	from	IN(IN)	from
POprc559_9:438	the	DT(DT)	the
POprc559_9:439	consumer	NN(NN)	consumer
POprc559_9:440	side	NN(NN)	side
POprc559_9:441	so	DM(DM)	so
POprc559_9:442	this	DT(DT)	this
POprc559_9:443	is	VBZ(VBZ)	be
POprc559_9:444	important	JJ(JJ)	important
POprc559_9:445	for	IN(IN)	for
POprc559_9:446	us	PP(PP)	we
POprc559_9:447	how	WRB(WRB)	how
POprc559_9:448	many	JJ(JJ)	many
POprc559_9:449	years	NNS(NNS)	year
POprc559_9:450	can	MD(MD)	can
POprc559_9:451	norway	NP(NP)	norway
POprc559_9:452	produce	VV(VV)	produce
POprc559_9:453	well	DM(DM)/RB(RB)	well
POprc559_9:454	_0	PA(PA)	
POprc559_9:455	that	DT(DT)	that
POprc559_9:456	depends	VVZ(VVZ)	depend
POprc559_9:457	first	RB(RB)	first
POprc559_9:458	of	IN(IN)	of
POprc559_9:459	all	DT(DT)	all
POprc559_9:460	on	IN(IN)	on
POprc559_9:461	on	IN(IN)	on
POprc559_9:462	er	UH(UH)	er
POprc559_9:463	_0	PA(PA)	
POprc559_9:464	how	WRB(WRB)	how
POprc559_9:465	fast	JJ(JJ)	fast
POprc559_9:466	we	PP(PP)	we
POprc559_9:467	develop	VVP(VVP)	develop
POprc559_9:468	our	PP$(PP$)	we
POprc559_9:469	our	PP$(PP$)	we
POprc559_9:470	resources	NNS(NNS)	resource
POprc559_9:471	an-	XX(XX)	
POprc559_9:472	and	CC(CC)	and
POprc559_9:473	_0	PA(PA)	
POprc559_9:474	and	CC(CC)	and
POprc559_9:475	to	IN(IN)	to
POprc559_9:476	which	PRE(PRE)	which
POprc559_9:477	level	NN(NN)	level
POprc559_9:478	we	PP(PP)	we
POprc559_9:479	extend	VVP(VVP)	extend
POprc559_9:480	the	DT(DT)	the
POprc559_9:481	production	NN(NN)	production
POprc559_9:482	er	UH(UH)	er
POprc559_9:483	especially	RB(RB)	especially
POprc559_9:484	on	IN(IN)	on
POprc559_9:485	gas	NN(NN)	gas
POprc559_9:486	_0	PA(PA)	
POprc559_9:487	when	WRB(WRB)	when
POprc559_9:488	it	PP(PP)	it
POprc559_9:489	comes	VVZ(VVZ)	come
POprc559_9:490	to	IN(IN)	to
POprc559_9:491	oil	NN(NN)	oil
POprc559_9:492	we	PP(PP)	we
POprc559_9:493	will	MD(MD)	will
POprc559_9:494	have	VH(VH)	have
POprc559_9:495	er	UH(UH)	er
POprc559_9:496	erm	UH(UH)	erm
POprc559_9:497	_0	PA(PA)	
POprc559_9:498	a	DT(DT)	a
POprc559_9:499	decline	NN(NN)	decline
POprc559_9:500	_0	PA(PA)	
POprc559_9:501	erm	UH(UH)	erm
POprc559_9:502	_0	PA(PA)	
POprc559_9:503	after	IN(IN)	after
POprc559_9:504	two	CD(CD)	two
POprc559_9:505	thousand	CD(CD)	thousand
POprc559_9:506	and	CC(CC)	and
POprc559_9:507	ten	CD(CD)	ten
POprc559_9:508	_0	PA(PA)	
POprc559_9:509	as	RB(RB)	as
POprc559_9:510	_0	PA(PA)	
POprc559_9:511	far	RB(RB)	far
POprc559_9:512	_0	PA(PA)	
POprc559_9:513	as	IN(IN)	as
POprc559_9:514	we	PP(PP)	we
POprc559_9:515	_0	PA(PA)	
POprc559_9:516	can	MD(MD)	can
POprc559_9:517	see	VV(VV)	see
POprc559_9:518	_0	PA(PA)	
POprc559_9:519	today	RB(RB)	today
POprc559_9:520	erm	UH(UH)	erm
POprc559_9:521	_1	PA(PA)	
POprc559_9:522	this	DT(DT)	this
POprc559_9:523	_0	PA(PA)	
POprc559_9:524	c-	XX(XX)	
POprc559_9:525	can	MD(MD)	can
POprc559_9:526	of	RB(RB)	of
POprc559_9:527	course	RB(RB)	course
POprc559_9:528	also	RB(RB)	also
POprc559_9:529	change	VV(VV)	change
POprc559_9:530	by	IN(IN)	by
POprc559_9:531	new	JJ(JJ)	new
POprc559_9:532	discoveries	NNS(NNS)	discovery
POprc559_9:533	but	CC(CC)	but
POprc559_9:534	but	CC(CC)	but
POprc559_9:535	what	WP(WP)	what
POprc559_9:536	what	WP(WP)	what
POprc559_9:537	we	PP(PP)	we
POprc559_9:538	know	VVP(VVP)	know
POprc559_9:539	what	WP(WP)	what
POprc559_9:540	we	PP(PP)	we
POprc559_9:541	know	VVP(VVP)	know
POprc559_9:542	at	IN(IN)	at
POprc559_9:543	the	DT(DT)	the
POprc559_9:544	moment	NN(NN)	moment
POprc559_9:545	is	VBZ(VBZ)	be
POprc559_9:546	that	IN(IN)	that
POprc559_9:547	it	PP(PP)	it
POprc559_9:548	will	MD(MD)	will
POprc559_9:549	decline	VV(VV)	decline
POprc559_9:550	er	UH(UH)	er
POprc559_9:551	in	IN(IN)	in
POprc559_9:552	the	DT(DT)	the
POprc559_9:553	beginning	VVG(NN)	begin/beginning
POprc559_9:554	of	IN(IN)	of
POprc559_9:555	next	JJ(JJ)	next
POprc559_9:556	decade	NN(NN)	decade
POprc559_9:557	_0	PA(PA)	
POprc559_9:558	erm	UH(UH)	erm
POprc559_9:559	_0	PA(PA)	
POprc559_9:560	sweden	NP(NP)	sweden
POprc559_9:561	have	VHP(VHZ)	have
POprc559_9:562	_0	PA(PA)	
POprc559_9:563	er	UH(UH)	er
POprc559_9:564	_0	PA(PA)	
POprc559_9:565	er	UH(UH)	er
POprc559_9:566	a	DT(DT)	a
POprc559_9:567	very	RB(RB)	very
POprc559_9:568	ambitious	JJ(JJ)	ambitious
POprc559_9:569	target	NN(NN)	target
POprc559_9:570	when	WRB(WRB)	when
POprc559_9:571	it	PP(PP)	it
POprc559_9:572	comes	VVZ(VVZ)	come
POprc559_9:573	to	IN(IN)	to
POprc559_9:574	er	UH(UH)	er
POprc559_9:575	_0	PA(PA)	
POprc559_9:576	to	IN(IN)	to
POprc559_9:577	er	UH(UH)	er
POprc559_9:578	to	IN(IN)	to
POprc559_9:579	de-	XX(XX)	
POprc559_9:580	dependency	NN(NN)	dependency
POprc559_9:581	on	IN(IN)	on
POprc559_9:582	oil	NN(NN)	oil
POprc559_9:583	and	CC(CC)	and
POprc559_9:584	er	UH(UH)	er
POprc559_9:585	and	CC(CC)	and
POprc559_9:586	er	UH(UH)	er
POprc559_9:587	gas	NN(NN)	gas
POprc559_9:588	_0	PA(PA)	
POprc559_9:589	norway	NP(NP)	norway
POprc559_9:590	do	VVP(VVZ)	do
POprc559_9:591	not	RB(RB)	not
POprc559_9:592	have	VH(VH)	have
POprc559_9:593	the	DT(DT)	the
POprc559_9:594	same	JJ(JJ)	same
POprc559_9:595	_0	PA(PA)	
POprc559_9:596	ambition	NN(NN)	ambition
POprc559_9:597	erm	UH(UH)	erm
POprc559_9:598	_1	PA(PA)	
POprc559_9:599	and	CC(CC)	and
POprc559_9:600	i	PP(PP)	i
POprc559_9:601	think	VVP(VVP)	think
POprc559_9:602	er	UH(UH)	er
POprc559_9:603	sweden	NP(NP)	sweden
POprc559_9:604	has	VHZ(VHZ)	have
POprc559_9:605	set	VVN(VVN)	set
POprc559_9:606	a	DT(DT)	a
POprc559_9:607	rather	RB(RB)	rather
POprc559_9:608	hard	JJ(JJ)	hard
POprc559_9:609	_0	PA(PA)	
POprc559_9:610	target	NN(NN)	target
POprc559_9:611	to	TO(TO)	to
POprc559_9:612	be	VB(VB)	be
POprc559_9:613	able	JJ(JJ)	able
POprc559_9:614	to	TO(TO)	to
POprc559_9:615	do	VV(VV)	do
POprc559_9:616	so	RB(RB)	so
POprc559_9:617	in	IN(IN)	in
POprc559_9:618	twenty	CD(CD)	twenty
POprc559_9:619	twenty	CD(CD)	twenty
POprc559_9:620	but	CC(CC)	but
POprc559_9:621	even	RB(RB)	even
POprc559_9:622	so	RB(RB)	so
POprc559_9:623	_0	PA(PA)	
POprc559_9:624	it	PP(PP)	it
POprc559_9:625	is	VBZ(VBZ)	be
POprc559_9:626	a-	XX(XX)	
POprc559_9:627	an	DT(DT)	a
POprc559_9:628	impressing	JJ(JJ)	impressing
POprc559_9:629	target	NN(NN)	target
POprc559_9:630	and	CC(CC)	and
POprc559_9:631	norway	NP(NP)	norway
POprc559_9:632	_0	PA(PA)	
POprc559_9:633	definitely	RB(RB)	definitely
POprc559_9:634	share	V(VVZ)	share
POprc559_9:635	sweden	NP(NP)	sweden
POprc559_9:636	's	POS(POS)	's
POprc559_9:637	er	UH(UH)	er
POprc559_9:638	ambitions	NNS(NNS)	ambition
POprc559_9:639	to	TO(TO)	to
POprc559_9:640	be	VB(VB)	be
POprc559_9:641	_0	PA(PA)	
POprc559_9:642	to	TO(TO)	to
POprc559_9:643	produce	VV(VV)	produce
POprc559_9:644	more	JJR(JJR)	more
POprc559_9:645	renewable	JJ(JJ)	renewable
POprc559_9:646	energy	NN(NN)	energy
POprc559_9:647	_0	PA(PA)	
POprc559_9:648	er	UH(UH)	er
POprc559_9:649	which	PRE(PRE)	which
POprc559_9:650	_0	PA(PA)	
POprc559_9:651	which	PRE(PRE)	which
POprc559_9:652	also	RB(RB)	also
POprc559_9:653	is	VBZ(VBZ)	be
POprc559_9:654	a	DT(DT)	a
POprc559_9:655	target	NN(NN)	target
POprc559_9:656	for	IN(IN)	for
POprc559_9:657	the	DT(DT)	the
POprc559_9:658	norwegian	JJ(JJ)	norwegian
POprc559_9:659	government	NN(NN)	government
POprc559_9:660	especially	RB(RB)	especially
POprc559_9:661	on	IN(IN)	on
POprc559_9:662	er	UH(UH)	er
POprc559_9:663	on	IN(IN)	on
POprc559_9:664	er	UH(UH)	er
POprc559_9:665	electricity	NN(NN)	electricity
POprc559_9:666	when	WRB(WRB)	when
POprc559_9:667	it	PP(PP)	it
POprc559_9:668	comes	VVZ(VVZ)	come
POprc559_9:669	to	IN(IN)	to
POprc559_9:670	electricity	NN(NN)	electricity
POprc559_9:671	where	WRB(WRB)	where
POprc559_9:672	we	PP(PP)	we
POprc559_9:673	have	VHP(VHP)	have
POprc559_9:674	_0	PA(PA)	
POprc559_9:675	high	JJ(JJ)	high
POprc559_9:676	ambitions	NNS(NNS)	ambition
POprc559_9:677	on	IN(IN)	on
POprc559_9:678	this	DT(DT)	this
POprc559_9:679	er	UH(UH)	er
POprc559_9:680	field	NN(NN)	field
POprc559_9:681	also	RB(RB)	also
POprc559_9:682	for	IN(IN)	for
POprc559_9:683	the	DT(DT)	the
POprc559_9:684	future	NN(NN)	future
POprc559_9:685	_1	PA(PA)	

POprc559_10:1	a_[S5]	NP(NP)	
POprc559_10:2	_5	PA(PA)	

POprc559_11:1	f_oui	FW(FW)	
POprc559_11:2	f_trois	FW(FW)	
POprc559_11:3	f_questions	FW(FW)	
POprc559_11:4	_1	PA(PA)	
POprc559_11:5	f_la	FW(FW)	
POprc559_11:6	f_premiere	FW(FW)	
POprc559_11:7	f_ce	FW(FW)	
POprc559_11:8	f_sur	FW(FW)	
POprc559_11:9	f_les	FW(FW)	
POprc559_11:10	f_chiffres	FW(FW)	

POprc559_12:1	ah	UH(UH)	ah
POprc559_12:2	okay	RE(RE)	okay
POprc559_12:3	a_[S5]	NP(NP)	
POprc559_12:4	a_[S5/last]	NP(NP)	
POprc559_12:5	a_[org1]	NP(NP)	
POprc559_12:6	_1	PA(PA)	
POprc559_12:7	er	UH(UH)	er
POprc559_12:8	the	DT(DT)	the
POprc559_12:9	first	JJ(JJ)	first
POprc559_12:10	question	NN(NN)	question
POprc559_12:11	is	VBZ(VBZ)	be
POprc559_12:12	on	IN(IN)	on
POprc559_12:13	the	DT(DT)	the
POprc559_12:14	figures	NNS(NNS)	figure
POprc559_12:15	_0	PA(PA)	
POprc559_12:16	can	MD(MD)	can
POprc559_12:17	you	PP(PP)	you
POprc559_12:18	just	RB(RB)	just
POprc559_12:19	clarify	VV(VV)	clarify
POprc559_12:20	about	IN(IN)	about
POprc559_12:21	th-	XX(XX)	
POprc559_12:22	you	PP(PP)	you
POprc559_12:23	talked	VVD(VVD)	talk
POprc559_12:24	about	IN(IN)	about
POprc559_12:25	thirty	CD(CD)	thirty
POprc559_12:26	_0	PA(PA)	
POprc559_12:27	er	UH(UH)	er
POprc559_12:28	billions	NNS(NNS)	billion
POprc559_12:29	of	IN(IN)	of
POprc559_12:30	_2	PA(PA)	
POprc559_12:31	f_meter	FW(FW)	
POprc559_12:32	f_cubes	FW(FW)	
POprc559_12:33	_0	PA(PA)	

POprc559_13:1	cubic	JJ(JJ)	cubic
POprc559_13:2	meters	NNS(NNS)	meter
POprc559_13:3	_0	PA(PA)	

POprc559_14:1	@	LA(LA)	
POprc559_14:2	_1	PA(PA)	
POprc559_14:3	of	IN(IN)	of
POprc559_14:4	er	UH(UH)	er
POprc559_14:5	i	PP(DM)	i
POprc559_14:6	mean	VVP(DM)	mean
POprc559_14:7	by	IN(IN)	by
POprc559_14:8	er	UH(UH)	er
POprc559_14:9	_0	PA(PA)	
POprc559_14:10	twelve	CD(CD)	twelve
POprc559_14:11	ten	CD(CD)	ten
POprc559_14:12	is	VBZ(VBZ)	be
POprc559_14:13	that	DT(DT)	that
POprc559_14:14	_0	PA(PA)	
POprc559_14:15	true	JJ(JJ)	true
POprc559_14:16	_1	PA(PA)	

POprc559_15:1	twenty	CD(CD)	twenty
POprc559_15:2	ten	CD(CD)	ten
POprc559_15:3	_0	PA(PA)	
POprc559_15:4	it	PP(PP)	it
POprc559_15:5	is	VBZ(VBZ)	be
POprc559_15:6	er	UH(UH)	er
POprc559_15:7	one	CD(CD)	one
POprc559_15:8	hundred	CD(CD)	hundred
POprc559_15:9	thirty	CD(CD)	thirty
POprc559_15:10	million	CD(CD)	million
POprc559_15:11	cubic	JJ(JJ)	cubic
POprc559_15:12	meters	NNS(NNS)	meter
POprc559_15:13	bi-	XX(XX)	
POprc559_15:14	billion	CD(CD)	billion
POprc559_15:15	cubic	JJ(JJ)	cubic
POprc559_15:16	meters	NNS(NNS)	meter
POprc559_15:17	_0	PA(PA)	

POprc559_16:1	twenty	CD(CD)	twenty
POprc559_16:2	ten	CD(CD)	ten

POprc559_17:1	er	UH(UH)	er
POprc559_17:2	by	IN(IN)	by
POprc559_17:3	twenty	CD(CD)	twenty
POprc559_17:4	ten	CD(CD)	ten

POprc559_18:1	hm	RE(RE)	hm
POprc559_18:2	_0	PA(PA)	

POprc559_19:1	and	CC(CC)	and
POprc559_19:2	what	WP(WP)	what
POprc559_19:3	is	VBZ(VBZ)	be
POprc559_19:4	the	DT(DT)	the
POprc559_19:5	the	DT(DT)	the
POprc559_19:6	figure	NN(NN)	figure
POprc559_19:7	actually	RB(RB)	actually
POprc559_19:8	_0	PA(PA)	

POprc559_20:1	eighty	CD(CD)	eighty
POprc559_20:2	fi-	XX(XX)	
POprc559_20:3	eighty-two	CD(CD)	eighty-two
POprc559_20:4	point	NN(NN)	point
POprc559_20:5	five	CD(CD)	five

POprc559_21:1	er	UH(UH)	er

POprc559_22:1	eighty-five	CD(CD)	eighty-five
POprc559_22:2	_1	PA(PA)	

POprc559_23:1	at	IN(IN)	at
POprc559_23:2	the	DT(DT)	the
POprc559_23:3	moment	NN(NN)	moment
POprc559_23:4	yes	RE(RE)	yes
POprc559_23:5	_0	PA(PA)	

POprc559_24:1	eighty-two	CD(CD)	eighty-two
POprc559_24:2	point	NN(NN)	point
POprc559_24:3	five	CD(CD)	five
POprc559_24:4	_0	PA(PA)	

POprc559_25:1	yes	RE(RE)	yes

POprc559_26:1	yes	RE(RE)	yes
POprc559_26:2	_1	PA(PA)	
POprc559_26:3	i-	XX(XX)	
POprc559_26:4	in	IN(IN)	in
POprc559_26:5	in	IN(IN)	in
POprc559_26:6	two	CD(CD)	two
POprc559_26:7	thousand	CD(CD)	thousand
POprc559_26:8	an-	XX(XX)	
POprc559_26:9	and	CC(CC)	and
POprc559_26:10	five	CD(CD)	five
POprc559_26:11	it	PP(PP)	it
POprc559_26:12	was	VBD(VBD)	be
POprc559_26:13	eighty-two	CD(CD)	eighty-two
POprc559_26:14	point	NN(NN)	point
POprc559_26:15	five	CD(CD)	five
POprc559_26:16	er	UH(UH)	er
POprc559_26:17	in	IN(IN)	in
POprc559_26:18	the	DT(DT)	the
POprc559_26:19	beginning	VVG(NN)	begin/beginning
POprc559_26:20	of	IN(IN)	of
POprc559_26:21	next	JJ(JJ)	next
POprc559_26:22	decade	NN(NN)	decade
POprc559_26:23	or	CC(CC)	or
POprc559_26:24	two	CD(CD)	two
POprc559_26:25	thousand	CD(CD)	thousand
POprc559_26:26	and	CC(CC)	and
POprc559_26:27	ten	CD(CD)	ten
POprc559_26:28	we	PP(PP)	we
POprc559_26:29	will	MD(MD)	will
POprc559_26:30	be	VB(VB)	be
POprc559_26:31	able	JJ(JJ)	able
POprc559_26:32	to	TO(TO)	to
POprc559_26:33	supply	VV(VV)	supply
POprc559_26:34	one	CD(CD)	one
POprc559_26:35	hundred	CD(CD)	hundred
POprc559_26:36	and	CC(CC)	and
POprc559_26:37	thirty	CD(CD)	thirty
POprc559_26:38	billion	CD(CD)	billion
POprc559_26:39	cubic	JJ(JJ)	cubic
POprc559_26:40	meters	NNS(NNS)	meter
POprc559_26:41	_3	PA(PA)	

POprc559_27:1	f_ca	FW(FW)	
