POprc522_1:1	okay	RE(RE)	okay
POprc522_3:650	we	PP(PP)	we
POprc522_3:651	have	VHP(VHP)	have
POprc522_3:652	_0	PA(PA)	
POprc522_3:653	er	UH(UH)	er
POprc522_3:654	hh	BR(BR)	
POprc522_3:655	er	UH(UH)	er
POprc522_3:656	been	VBN(VBN)	be
POprc522_3:657	_0	PA(PA)	
POprc522_3:658	a	DT(DT)	a
POprc522_3:659	party	NN(NN)	party
POprc522_3:660	to	IN(IN)	to
POprc522_3:661	previously	RB(RB)	previously
POprc522_3:662	hh	BR(BR)	
POprc522_3:663	er	UH(UH)	er
POprc522_3:664	will	MD(MD)	will
POprc522_3:665	er	UH(UH)	er
POprc522_3:666	require	VV(VV)	require
POprc522_3:667	_0	PA(PA)	
POprc522_3:668	er	UH(UH)	er
POprc522_3:669	_1	PA(PA)	
POprc522_3:670	parliamentary	JJ(JJ)	parliamentary
POprc522_3:671	approval	NN(NN)	approval
POprc522_3:672	_0	PA(PA)	
POprc522_3:673	er	UH(UH)	er
POprc522_3:674	_1	PA(PA)	
POprc522_3:675	as	IN(IN)	as
POprc522_3:676	_0	PA(PA)	
POprc522_3:677	x	UNI(UNI)	
POprc522_3:678	put	UNK(UNK)	put
POprc522_3:679	forth	RB(RB)	forth
POprc522_3:680	in	IN(IN)	in
POprc522_3:681	in	IN(IN)	in
POprc522_3:682	each	DT(DT)	each
POprc522_3:683	country	NN(NN)	country
POprc522_3:684	's	POS(POS)	's
POprc522_3:685	own	JJ(JJ)	own
POprc522_3:686	hh	BR(BR)	
POprc522_3:687	er	UH(UH)	er
POprc522_3:688	constitutional	JJ(JJ)	constitutional
POprc522_3:689	_0	PA(PA)	
POprc522_3:690	arrangements	NNS(NNS)	arrangement
POprc522_3:691	_0	PA(PA)	
POprc522_3:692	but	CC(CC)	but
POprc522_3:693	the	DT(DT)	the
POprc522_3:694	important	JJ(JJ)	important
POprc522_3:695	thing	NN(NN)	thing
POprc522_3:696	is	VBZ(VBZ)	be
POprc522_3:697	that	IN(IN)	that
POprc522_3:698	the	DT(DT)	the
POprc522_3:699	the	DT(DT)	the
POprc522_3:700	there	EX(EX)	there
POprc522_3:701	is	VBZ(VBZ)	be
POprc522_3:702	a	DT(DT)	a
POprc522_3:703	unified	JJ(JJ)	unified
POprc522_3:704	_0	PA(PA)	
POprc522_3:705	commitment	NN(NN)	commitment
POprc522_3:706	_1	PA(PA)	
POprc522_3:707	of	IN(IN)	of
POprc522_3:708	the	DT(DT)	the
POprc522_3:709	european	NP(NP)	european
POprc522_3:710	union	NP(NP)	union
POprc522_3:711	_0	PA(PA)	
POprc522_3:712	behind	IN(IN)	behind
POprc522_3:713	this	DT(DT)	this
POprc522_3:714	program	NN(NN)	program
POprc522_3:715	_0	PA(PA)	
POprc522_3:716	immediate	JJ(JJ)	immediate
POprc522_3:717	cessation	NN(NN)	cessation
POprc522_3:718	of	IN(IN)	of
POprc522_3:719	hostilities	NNS(NNS)	hostility
POprc522_3:720	_2	PA(PA)	
POprc522_3:721	to	TO(TO)	to
POprc522_3:722	be	VB(VB)	be
POprc522_3:723	followed	VVN(VVN)	follow
POprc522_3:724	by	IN(IN)	by
POprc522_3:725	a	DT(DT)	a
POprc522_3:726	sustainable	JJ(JJ)	sustainable
POprc522_3:727	p_peacefire	PVC(NN)	
POprc522_3:728	_0	PA(PA)	
POprc522_3:729	political	JJ(JJ)	political
POprc522_3:730	agreement	NN(NN)	agreement
POprc522_3:731	_0	PA(PA)	
POprc522_3:732	with	IN(IN)	with
POprc522_3:733	reference	NN(NN)	reference
POprc522_3:734	also	RB(RB)	also
POprc522_3:735	_0	PA(PA)	
POprc522_3:736	to	IN(IN)	to
POprc522_3:737	the	DT(DT)	the
POprc522_3:738	lebanese	JJ(JJ)	lebanese
POprc522_3:739	government	NN(NN)	government
POprc522_3:740	seven	CD(CD)	seven
POprc522_3:741	point	NN(NN)	point
POprc522_3:742	program	NN(NN)	program
POprc522_3:743	_0	PA(PA)	
POprc522_3:744	which	PRE(PRE)	which
POprc522_3:745	we	PP(PP)	we
POprc522_3:746	find	VVP(VVP)	find
POprc522_3:747	a	DT(DT)	a
POprc522_3:748	good	JJ(JJ)	good
POprc522_3:749	basis	NN(NN)	basis
POprc522_3:750	hh	BR(BR)	
POprc522_3:751	for	IN(IN)	for
POprc522_3:752	er	UH(UH)	er
POprc522_3:753	such	PDT(PDT)	such
POprc522_3:754	an	DT(DT)	a
POprc522_3:755	agreement	NN(NN)	agreement
POprc522_3:756	_2	PA(PA)	
POprc522_3:757	and	CC(CC)	and
POprc522_3:758	er	UH(UH)	er
POprc522_3:759	er	UH(UH)	er
POprc522_3:760	the	DT(DT)	the
POprc522_3:761	deployment	NN(NN)	deployment
POprc522_3:762	of	IN(IN)	of
POprc522_3:763	an	DT(DT)	a
POprc522_3:764	_0	PA(PA)	
POprc522_3:765	international	JJ(JJ)	international
POprc522_3:766	force	NN(NN)	force
POprc522_3:767	_1	PA(PA)	
POprc522_3:768	as	IN(IN)	as
POprc522_3:769	you	PP(PP)	you
POprc522_3:770	may	MD(MD)	may
POprc522_3:771	have	VH(VH)	have
POprc522_3:772	know-	XX(XX)	
POprc522_3:773	er	UH(UH)	er
POprc522_3:774	known	VVN(VVN)	know
POprc522_3:775	the	DT(DT)	the
POprc522_3:776	united	NP(NP)	united
POprc522_3:777	nation	NP(NPS)	nation
POprc522_3:778	secretary	NP(NP)	secretary
POprc522_3:779	general	NP(NP)	general
POprc522_3:780	has	VHZ(VHZ)	have
POprc522_3:781	er	UH(UH)	er
POprc522_3:782	_0	PA(PA)	
POprc522_3:783	er	UH(UH)	er
POprc522_3:784	had	VHD(VHD)	have
POprc522_3:785	already	RB(RB)	already
POprc522_3:786	indicatively	RB(RB)	indicatively
POprc522_3:787	called	VVN(VVN)	call
POprc522_3:788	for	IN(IN)	for
POprc522_3:789	a	DT(DT)	a
POprc522_3:790	meeting	VVG(NN)	meet/meeting
POprc522_3:791	yesterday	RB(RB)	yesterday
POprc522_3:792	to	TO(TO)	to
POprc522_3:793	prepare	VV(VV)	prepare
POprc522_3:794	such	PDT(PDT)	such
POprc522_3:795	a	DT(DT)	a
POprc522_3:796	force	NN(NN)	force
POprc522_3:797	_0	PA(PA)	
POprc522_3:798	but	CC(CC)	but
POprc522_3:799	er	UH(UH)	er
POprc522_3:800	_0	PA(PA)	
POprc522_3:801	having	VHG(VHG)	have
POprc522_3:802	discussed	VVN(VVN)	discuss
POprc522_3:803	er	UH(UH)	er
POprc522_3:804	er	UH(UH)	er
POprc522_3:805	the	DT(DT)	the
POprc522_3:806	er	UH(UH)	er
POprc522_3:807	issue	NN(NN)	issue
POprc522_3:808	_0	PA(PA)	
POprc522_3:809	er	UH(UH)	er
POprc522_3:810	er	UH(UH)	er
POprc522_3:811	with	IN(IN)	with
POprc522_3:812	us	PP(PP)	we
POprc522_3:813	er	UH(UH)	er
POprc522_3:814	the	DT(DT)	the
POprc522_3:815	secretary	NP(NP)	secretary
POprc522_3:816	general	NP(NP)	general
POprc522_3:817	decided	VVD(VVD)	decide
POprc522_3:818	to	TO(TO)	to
POprc522_3:819	postpone	VV(VV)	postpone
POprc522_3:820	the	DT(DT)	the
POprc522_3:821	meeting	VVG(NN)	meet/meeting
POprc522_3:822	until	IN(IN)	until
POprc522_3:823	we	PP(PP)	we
POprc522_3:824	have	VHP(VHP)	have
POprc522_3:825	had	VHN(VHN)	have
POprc522_3:826	our	PP$(PP$)	we
POprc522_3:827	_0	PA(PA)	
POprc522_3:828	hh	BR(BR)	
POprc522_3:829	own	JJ(JJ)	own
POprc522_3:830	meeting	VVG(NN)	meet/meeting
POprc522_3:831	here	RB(RB)	here
POprc522_3:832	today	RB(RB)	today
POprc522_3:833	_0	PA(PA)	
POprc522_3:834	hh	BR(BR)	
POprc522_3:835	and	CC(CC)	and
POprc522_3:836	it	PP(PP)	it
POprc522_3:837	think	V(VVZ)	think
POprc522_3:838	that	DT(DT)	that
POprc522_3:839	was	VBD(VBD)	be
POprc522_3:840	er	UH(UH)	er
POprc522_3:841	er	UH(UH)	er
POprc522_3:842	_0	PA(PA)	
POprc522_3:843	right	JJ(JJ)	right
POprc522_3:844	because	IN(IN)	because
POprc522_3:845	now	RB(RB)	now
POprc522_3:846	_0	PA(PA)	
POprc522_3:847	we	PP(PP)	we
POprc522_3:848	have	VHP(VHP)	have
POprc522_3:849	_0	PA(PA)	
POprc522_3:850	the	DT(DT)	the
POprc522_3:851	clear	JJ(JJ)	clear
POprc522_3:852	_0	PA(PA)	
POprc522_3:853	hh	BR(BR)	
POprc522_3:854	er	UH(UH)	er
POprc522_3:855	er	UH(UH)	er
POprc522_3:856	_1	PA(PA)	
POprc522_3:857	preconditions	NNS(NNS)	precondition
POprc522_3:858	an-	XX(XX)	
POprc522_3:859	and	CC(CC)	and
POprc522_3:860	frameworks	NNS(NNS)	framework
POprc522_3:861	set	VVN(VVN)	set
POprc522_3:862	out	RP(RP)	out
POprc522_3:863	_0	PA(PA)	
POprc522_3:864	in	IN(IN)	in
POprc522_3:865	our	PP$(PP$)	we
POprc522_3:866	conclusions	NNS(NNS)	conclusion
POprc522_3:867	er	UH(UH)	er
POprc522_3:868	_0	PA(PA)	
POprc522_3:869	also	RB(RB)	also
POprc522_3:870	for	IN(IN)	for
POprc522_3:871	_0	PA(PA)	
POprc522_3:872	working	VVG(VVG)	work
POprc522_3:873	_0	PA(PA)	
POprc522_3:874	now	RB(RB)	now
POprc522_3:875	on	IN(IN)	on
POprc522_3:876	the	DT(DT)	the
POprc522_3:877	international	JJ(JJ)	international
POprc522_3:878	force	NN(NN)	force
POprc522_3:879	and	CC(CC)	and
POprc522_3:880	here	RB(RB)	here
POprc522_3:881	of	RB(RB)	of
POprc522_3:882	course	RB(RB)	course
POprc522_3:883	i	PP(PP)	i
POprc522_3:884	stress	VVP(VVP)	stress
POprc522_3:885	the	DT(DT)	the
POprc522_3:886	_0	PA(PA)	
POprc522_3:887	hh	BR(BR)	
POprc522_3:888	important	JJ(JJ)	important
POprc522_3:889	role	NN(NN)	role
POprc522_3:890	that	PRE(PRE)	that
POprc522_3:891	the	DT(DT)	the
POprc522_3:892	european	NP(NP)	european
POprc522_3:893	union	NP(NP)	union
POprc522_3:894	has	VHZ(VHZ)	have
POprc522_3:895	as	IN(IN)	as
POprc522_3:896	we	PP(PP)	we
POprc522_3:897	will	MD(MD)	will
POprc522_3:898	be	VB(VB)	be
POprc522_3:899	_0	PA(PA)	
POprc522_3:900	our	PP$(PP$)	we
POprc522_3:901	member	NNS(NNS)	member
POprc522_3:902	states	NNS(NNS)	state
POprc522_3:903	the	DT(DT)	the
POprc522_3:904	greatest	JJS(JJS)	great
POprc522_3:905	er	UH(UH)	er
POprc522_3:906	_0	PA(PA)	
POprc522_3:907	troop	NN(NN)	troop
POprc522_3:908	_0	PA(PA)	
POprc522_3:909	contributors	NNS(NNS)	contributor
POprc522_3:910	but	CC(CC)	but
POprc522_3:911	not	RB(RB)	not
POprc522_3:912	the	DT(DT)	the
POprc522_3:913	only	JJ(JJ)	only
POprc522_3:914	ones	NNS(NNS)	one
POprc522_3:915	it	PP(PP)	it
POprc522_3:916	is	VBZ(VBZ)	be
POprc522_3:917	a	DT(DT)	a
POprc522_3:918	genuine	JJ(JJ)	genuine
POprc522_3:919	international	JJ(JJ)	international
POprc522_3:920	force	NN(NN)	force
POprc522_3:921	hhh	BR(BR)	
POprc522_3:922	and	CC(CC)	and
POprc522_3:923	er	UH(UH)	er
POprc522_3:924	_0	PA(PA)	
POprc522_3:925	i	PP(PP)	i
POprc522_3:926	expect	VVP(VVP)	expect
POprc522_3:927	that	IN(IN)	that
POprc522_3:928	er	UH(UH)	er
POprc522_3:929	our	PP$(PP$)	we
POprc522_3:930	_1	PA(PA)	
POprc522_3:931	discussions	NNS(NNS)	discussion
POprc522_3:932	and	CC(CC)	and
POprc522_3:933	er	UH(UH)	er
POprc522_3:934	our	PP$(PP$)	we
POprc522_3:935	decision	NN(NN)	decision
POprc522_3:936	er	UH(UH)	er
POprc522_3:937	today	RB(RB)	today
POprc522_3:938	_0	PA(PA)	
POprc522_3:939	on	IN(IN)	on
POprc522_3:940	the	DT(DT)	the
POprc522_3:941	conclusions	NNS(NNS)	conclusion
POprc522_3:942	hh	BR(BR)	
POprc522_3:943	will	MD(MD)	will
POprc522_3:944	_0	PA(PA)	
POprc522_3:945	show	VV(VV)	show
POprc522_3:946	that	IN(IN)	that
POprc522_3:947	the	DT(DT)	the
POprc522_3:948	european	NP(NP)	european
POprc522_3:949	union	NP(NP)	union
POprc522_3:950	er	UH(UH)	er
POprc522_3:951	_1	PA(PA)	
POprc522_3:952	is	VBZ(VBZ)	be
POprc522_3:953	able	JJ(JJ)	able
POprc522_3:954	to	TO(TO)	to
POprc522_3:955	live	VV(VV)	live
POprc522_3:956	up	RP(RP)	up
POprc522_3:957	to	IN(IN)	to
POprc522_3:958	its	PP$(PP$)	it
POprc522_3:959	responsibilities	NNS(NNS)	responsibility
POprc522_3:960	hh	BR(BR)	
POprc522_3:961	and	CC(CC)	and
POprc522_3:962	indeed	RB(RB)	indeed
POprc522_3:963	of	RB(RB)	of
POprc522_3:964	course	RB(RB)	course
POprc522_3:965	er	UH(UH)	er
POprc522_3:966	th-	XX(XX)	
POprc522_3:967	_0	PA(PA)	
POprc522_3:968	what	WP(WP)	what
POprc522_3:969	we	PP(PP)	we
POprc522_3:970	need	VVP(VVP)	need
POprc522_3:971	now	RB(RB)	now
POprc522_3:972	is	VBZ(VBZ)	be
POprc522_3:973	a	DT(DT)	a
POprc522_3:974	follow-up	NN(NN)	follow-up
POprc522_3:975	to	IN(IN)	to
POprc522_3:976	these	DT(DT)	these
POprc522_3:977	decisions	NNS(NNS)	decision
POprc522_3:978	_0	PA(PA)	
POprc522_3:979	and	CC(CC)	and
POprc522_3:980	er	UH(UH)	er
POprc522_3:981	the	DT(DT)	the
POprc522_3:982	council	NN(NN)	council
POprc522_3:983	hh	BR(BR)	
POprc522_3:984	_0	PA(PA)	
POprc522_3:985	er	UH(UH)	er
POprc522_3:986	gave	VVD(VVD)	give
POprc522_3:987	a	DT(DT)	a
POprc522_3:988	clear	JJ(JJ)	clear
POprc522_3:989	mandate	NN(NN)	mandate
POprc522_3:990	_0	PA(PA)	
POprc522_3:991	to	IN(IN)	to
POprc522_3:992	the	DT(DT)	the
POprc522_3:993	high	JJ(JJ)	high
POprc522_3:994	representative	NN(NN)	representative
POprc522_3:995	_0	PA(PA)	
POprc522_3:996	to	TO(TO)	to
POprc522_3:997	remain	VV(VV)	remain
POprc522_3:998	engage	VV(VV)	engage
POprc522_3:999	_0	PA(PA)	
POprc522_3:1000	and	CC(CC)	and
POprc522_3:1001	to	TO(TO)	to
POprc522_3:1002	remain	VV(VV)	remain
POprc522_3:1003	in	IN(IN)	in
POprc522_3:1004	contact	NN(NN)	contact
POprc522_3:1005	_0	PA(PA)	
POprc522_3:1006	with	IN(IN)	with
POprc522_3:1007	all	DT(DT)	all
POprc522_3:1008	_0	PA(PA)	
POprc522_3:1009	relevant	JJ(JJ)	relevant
POprc522_3:1010	parties	NNS(NNS)	party
POprc522_3:1011	_0	PA(PA)	
POprc522_3:1012	and	CC(CC)	and
POprc522_3:1013	to	TO(TO)	to
POprc522_3:1014	be	VB(VB)	be
POprc522_3:1015	ready	JJ(JJ)	ready
POprc522_3:1016	_0	PA(PA)	
POprc522_3:1017	to	TO(TO)	to
POprc522_3:1018	be	VB(VB)	be
POprc522_3:1019	contribute	VV(VV)	contribute
POprc522_3:1020	to	IN(IN)	to
POprc522_3:1021	a	DT(DT)	a
POprc522_3:1022	political	JJ(JJ)	political
POprc522_3:1023	solution	NN(NN)	solution
POprc522_3:1024	hh	BR(BR)	
POprc522_3:1025	and	CC(CC)	and
POprc522_3:1026	to	IN(IN)	to
POprc522_3:1027	the	DT(DT)	the
POprc522_3:1028	peace	NN(NN)	peace
POprc522_3:1029	process	NN(NN)	process
POprc522_3:1030	_0	PA(PA)	
POprc522_3:1031	this	DT(DT)	this
POprc522_3:1032	wi-	XX(XX)	
POprc522_3:1033	he	PP(PP)	he
POprc522_3:1034	will	MD(MD)	will
POprc522_3:1035	be	VB(VB)	be
POprc522_3:1036	supported	VVN(VVN)	support
POprc522_3:1037	by	IN(IN)	by
POprc522_3:1038	the	DT(DT)	the
POprc522_3:1039	presidency	NN(NN)	presidency
POprc522_3:1040	_0	PA(PA)	
POprc522_3:1041	the	DT(DT)	the
POprc522_3:1042	commission	NN(NN)	commission
POprc522_3:1043	_0	PA(PA)	
POprc522_3:1044	and	CC(CC)	and
POprc522_3:1045	all	PDT(PDT)	all
POprc522_3:1046	the	DT(DT)	the
POprc522_3:1047	member	NNS(NNS)	member
POprc522_3:1048	states	NNS(NNS)	state
POprc522_3:1049	_0	PA(PA)	
POprc522_3:1050	but	CC(CC)	but
POprc522_3:1051	we	PP(PP)	we
POprc522_3:1052	also	RB(RB)	also
POprc522_3:1053	er	UH(UH)	er
POprc522_3:1054	_0	PA(PA)	
POprc522_3:1055	took	VVD(VVD)	take
POprc522_3:1056	note	NN(NN)	note
POprc522_3:1057	_0	PA(PA)	
POprc522_3:1058	of	IN(IN)	of
POprc522_3:1059	the	DT(DT)	the
POprc522_3:1060	need	NN(NN)	need
POprc522_3:1061	to	TO(TO)	to
POprc522_3:1062	coordinate	VV(VV)	coordinate
POprc522_3:1063	our	PP$(PP$)	we
POprc522_3:1064	efforts	NNS(NNS)	effort
POprc522_3:1065	_0	PA(PA)	
POprc522_3:1066	it	PP(PP)	it
POprc522_3:1067	is	VBZ(VBZ)	be
POprc522_3:1068	actually	RB(RB)	actually
POprc522_3:1069	a	DT(DT)	a
POprc522_3:1070	_0	PA(PA)	
POprc522_3:1071	strength	NN(NN)	strength
POprc522_3:1072	of	IN(IN)	of
POprc522_3:1073	the	DT(DT)	the
POprc522_3:1074	european	NP(NP)	european
POprc522_3:1075	union	NP(NP)	union
POprc522_3:1076	that	IN(IN)	that
POprc522_3:1077	we	PP(PP)	we
POprc522_3:1078	have	VHP(VHP)	have
POprc522_3:1079	to	IN(IN)/TO(TO)	to
POprc522_3:1080	twenty-five	CD(CD)	twenty-five
POprc522_3:1081	actors	NNS(NNS)	actor
POprc522_3:1082	_1	PA(PA)	
POprc522_3:1083	provided	IN(IN)	provided
POprc522_3:1084	_0	PA(PA)	
POprc522_3:1085	that	IN(IN)	that
POprc522_3:1086	they	PP(PP)	they
POprc522_3:1087	have	VHP(VHP)	have
POprc522_3:1088	the	DT(DT)	the
POprc522_3:1089	same	JJ(JJ)	same
POprc522_3:1090	message	NN(NN)	message
POprc522_3:1091	and	CC(CC)	and
POprc522_3:1092	the	DT(DT)	the
POprc522_3:1093	same	JJ(JJ)	same
POprc522_3:1094	program	NN(NN)	program
POprc522_3:1095	and	CC(CC)	and
POprc522_3:1096	i	PP(PP)	i
POprc522_3:1097	believe	VVP(VVP)	believe
POprc522_3:1098	this	DT(DT)	this
POprc522_3:1099	is	VBZ(VBZ)	be
POprc522_3:1100	now	RB(RB)	now
POprc522_3:1101	the	DT(DT)	the
POprc522_3:1102	case	NN(NN)	case
POprc522_3:1103	_0	PA(PA)	
POprc522_3:1104	in	IN(IN)	in
POprc522_3:1105	er	UH(UH)	er
POprc522_3:1106	in	IN(IN)	in
POprc522_3:1107	the	DT(DT)	the
POprc522_3:1108	present	JJ(JJ)	present
POprc522_3:1109	_0	PA(PA)	
POprc522_3:1110	crisis	NN(NN)	crisis
POprc522_3:1111	hh	BR(BR)	
POprc522_3:1112	and	CC(CC)	and
POprc522_3:1113	that	IN(IN)	that
POprc522_3:1114	we	PP(PP)	we
POprc522_3:1115	we	PP(PP)	we
POprc522_3:1116	can	MD(MD)	can
POprc522_3:1117	_0	PA(PA)	
POprc522_3:1118	bring	VV(VV)	bring
POprc522_3:1119	a	DT(DT)	a
POprc522_3:1120	significant	JJ(JJ)	significant
POprc522_3:1121	_1	PA(PA)	
POprc522_3:1122	decisive	JJ(JJ)	decisive
POprc522_3:1123	contribution	NN(NN)	contribution
POprc522_3:1124	to	IN(IN)	to
POprc522_3:1125	bringing	VVG(VVG)	bring
POprc522_3:1126	an	DT(DT)	a
POprc522_3:1127	end	NN(NN)	end
POprc522_3:1128	to	IN(IN)	to
POprc522_3:1129	the	DT(DT)	the
POprc522_3:1130	conflict	NN(NN)	conflict
POprc522_3:1131	we	PP(PP)	we
POprc522_3:1132	are	VBP(VBP)	be
POprc522_3:1133	not	RB(RB)	not
POprc522_3:1134	going	VVG(VVG)	go
POprc522_3:1135	to	TO(TO)	to
POprc522_3:1136	do	VV(VV)	do
POprc522_3:1137	it	PP(PP)	it
POprc522_3:1138	alone	RB(RB)	alone
POprc522_3:1139	_0	PA(PA)	
POprc522_3:1140	that	DT(DT)	that
POprc522_3:1141	is	VBZ(VBZ)	be
POprc522_3:1142	quite	RB(RB)	quite
POprc522_3:1143	clear	JJ(JJ)	clear
POprc522_3:1144	hh	BR(BR)	
POprc522_3:1145	we	PP(PP)	we
POprc522_3:1146	will	MD(MD)	will
POprc522_3:1147	be	VB(VB)	be
POprc522_3:1148	working	VVG(VVG)	work
POprc522_3:1149	together	RB(RB)	together
POprc522_3:1150	with	IN(IN)	with
POprc522_3:1151	er	UH(UH)	er
POprc522_3:1152	_0	PA(PA)	
POprc522_3:1153	er	UH(UH)	er
POprc522_3:1154	other	JJ(JJ)	other
POprc522_3:1155	parties	NNS(NNS)	party
POprc522_3:1156	and	CC(CC)	and
POprc522_3:1157	partners	NNS(NNS)	partner
POprc522_3:1158	hh	BR(BR)	
POprc522_3:1159	er	UH(UH)	er
POprc522_3:1160	particularly	RB(RB)	particularly
POprc522_3:1161	in	IN(IN)	in
POprc522_3:1162	the	DT(DT)	the
POprc522_3:1163	security	NN(NN)	security
POprc522_3:1164	council	NN(NN)	council
POprc522_3:1165	where	WRB(WRB)	where
POprc522_3:1166	the	DT(DT)	the
POprc522_3:1167	er	UH(UH)	er
POprc522_3:1168	next	JJ(JJ)	next
POprc522_3:1169	important	JJ(JJ)	important
POprc522_3:1170	decisions	NNS(NNS)	decision
POprc522_3:1171	_0	PA(PA)	
POprc522_3:1172	will	MD(MD)	will
POprc522_3:1173	be	VB(VB)	be
POprc522_3:1174	taken	VVN(VVN)	take
POprc522_3:1175	_1	PA(PA)	
POprc522_3:1176	thank	FI(FI)	thank
POprc522_3:1177	you	FI(FI)	you
POprc522_3:1178	_1	PA(PA)	

POprc522_4:1	th-	XX(XX)	
POprc522_4:2	thank	FI(FI)	thank
POprc522_4:3	you	FI(FI)	you
POprc522_4:4	thank	FI(FI)	thank
POprc522_4:5	you	FI(FI)	you
POprc522_4:6	very	RB(RB)	very
POprc522_4:7	much	RB(RB)	much
POprc522_4:8	a_[S2]	NP(NP)	
POprc522_4:9	on	IN(IN)	on
POprc522_4:10	the	DT(DT)	the
POprc522_4:11	on	IN(IN)	on
POprc522_4:12	the	DT(DT)	the
POprc522_4:13	_0	PA(PA)	
POprc522_4:14	on	IN(IN)	on
POprc522_4:15	the	DT(DT)	the
POprc522_4:16	talks	NNS(NNS)	talk
POprc522_4:17	that	PRE(PRE)	that
POprc522_4:18	we	PP(PP)	we
POprc522_4:19	have	VHP(VHP)	have
POprc522_4:20	had	VHN(VHN)	have
POprc522_4:21	today	RB(RB)	today
POprc522_4:22	of	IN(IN)	of
POprc522_4:23	xx	UNI(UNI)	
POprc522_4:24	_0	PA(PA)	
POprc522_4:25	lunch	NN(NN)	lunch
POprc522_4:26	and	CC(CC)	and
POprc522_4:27	of	IN(IN)	of
POprc522_4:28	xx	UNI(UNI)	
POprc522_4:29	_0	PA(PA)	
POprc522_4:30	the	DT(DT)	the
POprc522_4:31	meeting	VVG(NN)	meet/meeting
POprc522_4:32	of	IN(IN)	of
POprc522_4:33	the	DT(DT)	the
POprc522_4:34	_0	PA(PA)	
POprc522_4:35	of	IN(IN)	of
POprc522_4:36	the	DT(DT)	the
POprc522_4:37	european	NP(NP)	european
POprc522_4:38	of	IN(IN)	of
POprc522_4:39	the	DT(DT)	the
POprc522_4:40	european	NP(NP)	european
POprc522_4:41	council	NP(NP)	council
POprc522_4:42	_0	PA(PA)	
POprc522_4:43	we	PP(PP)	we
POprc522_4:44	have	VHP(VHP)	have
POprc522_4:45	been	VBN(VBN)	be
POprc522_4:46	talking	VVG(VVG)	talk
POprc522_4:47	with	IN(IN)	with
POprc522_4:48	er	UH(UH)	er
POprc522_4:49	many	JJ(JJ)	many
POprc522_4:50	_0	PA(PA)	
POprc522_4:51	of	IN(IN)	of
POprc522_4:52	the	DT(DT)	the
POprc522_4:53	countries	NNS(NNS)	country
POprc522_4:54	which	PRE(PRE)	which
POprc522_4:55	are	VBP(VBP)	be
POprc522_4:56	going	VVG(VVG)	go
POprc522_4:57	to	TO(TO)	to
POprc522_4:58	play	VV(VV)	play
POprc522_4:59	a	DT(DT)	a
POprc522_4:60	role	NN(NN)	role
POprc522_4:61	_0	PA(PA)	
POprc522_4:62	i	PP(PP)	i
POprc522_4:63	want	VVP(VVP)	want
POprc522_4:64	to	TO(TO)	to
POprc522_4:65	tell	VV(VV)	tell
POprc522_4:66	you	PP(PP)	you
POprc522_4:67	that	IN(IN)	that
POprc522_4:68	er	UH(UH)	er
POprc522_4:69	_0	PA(PA)	
POprc522_4:70	the	DT(DT)	the
POprc522_4:71	european	NP(NP)	european
POprc522_4:72	union	NP(NP)	union
POprc522_4:73	is	VBZ(VBZ)	be
POprc522_4:74	supporting	VVG(VVG)	support
POprc522_4:75	the	DT(DT)	the
POprc522_4:76	meeting	VVG(NN)	meet/meeting
POprc522_4:77	that	IN(IN)	that
POprc522_4:78	the	DT(DT)	the
POprc522_4:79	_0	PA(PA)	
POprc522_4:80	er	UH(UH)	er
POprc522_4:81	united	NP(NP)	united
POprc522_4:82	nation	NP(NPS)	nation
POprc522_4:83	is	VBZ(VBZ)	be
POprc522_4:84	going	VVG(VVG)	go
POprc522_4:85	to	TO(TO)	to
POprc522_4:86	take	VV(VV)	take
POprc522_4:87	place	NN(NN)	place
POprc522_4:88	_0	PA(PA)	
POprc522_4:89	probably	RB(RB)	probably
POprc522_4:90	security	NN(NN)	security
POprc522_4:91	council	NN(NN)	council
POprc522_4:92	will	MD(MD)	will
POprc522_4:93	take	VV(VV)	take
POprc522_4:94	place	NN(NN)	place
POprc522_4:95	probably	RB(RB)	probably
POprc522_4:96	_0	PA(PA)	
POprc522_4:97	before	IN(IN)	before
POprc522_4:98	the	DT(DT)	the
POprc522_4:99	end	NN(NN)	end
POprc522_4:100	of	IN(IN)	of
POprc522_4:101	this	DT(DT)	this
POprc522_4:102	week	NN(NN)	week
POprc522_4:103	hh	BR(BR)	
POprc522_4:104	and	CC(CC)	and
POprc522_4:105	i	PP(PP)	i
POprc522_4:106	want	VVP(VVP)	want
POprc522_4:107	to	TO(TO)	to
POprc522_4:108	remind	VV(VV)	remind
POprc522_4:109	you	PP(PP)	you
POprc522_4:110	that	IN(IN)	that
POprc522_4:111	there	EX(EX)	there
POprc522_4:112	are	VBP(VBP)	be
POprc522_4:113	five	CD(CD)	five
POprc522_4:114	members	NNS(NNS)	member
POprc522_4:115	of	IN(IN)	of
POprc522_4:116	the	DT(DT)	the
POprc522_4:117	out	IN(IN)	out
POprc522_4:118	of	IN(IN)	of
POprc522_4:119	fifteen	CD(CD)	fifteen
POprc522_4:120	_0	PA(PA)	
POprc522_4:121	which	PRE(PRE)	which
POprc522_4:122	are	VBP(VBP)	be
POprc522_4:123	members	NNS(NNS)	member
POprc522_4:124	of	IN(IN)	of
POprc522_4:125	the	DT(DT)	the
POprc522_4:126	european	NP(NP)	european
