PBsve426_1:1	hello	FI(FI)	hello
PBsve426_52:8	acc-	XX(XX)	
PBsve426_52:9	er	UH(UH)	er
PBsve426_52:10	for	IN(IN)	for
PBsve426_52:11	for	IN(IN)	for
PBsve426_52:12	the	DT(DT)	the
PBsve426_52:13	whole	JJ(JJ)	whole
PBsve426_52:14	ad-	XX(XX)	
PBsve426_52:15	administration	NN(NN)	administration
PBsve426_52:16	fee	NN(NN)	fee
PBsve426_52:17	before	IN(IN)	before
PBsve426_52:18	i	PP(PP)	i
PBsve426_52:19	can	MD(MD)	can
PBsve426_52:20	care	VV(VV)	care
PBsve426_52:21	for	IN(IN)	for
PBsve426_52:22	_0	PA(PA)	
PBsve426_52:23	a	DT(DT)	a
PBsve426_52:24	pro-	XX(XX)	
PBsve426_52:25	er	UH(UH)	er
PBsve426_52:26	prolongation	NN(NN)	prolongation
PBsve426_52:27	_0	PA(PA)	

PBsve426_53:1	er	UH(UH)	er
PBsve426_53:2	when	WRB(WRB)	when
PBsve426_53:3	should	MD(MD)	shall
PBsve426_53:4	i	PP(PP)	i
PBsve426_53:5	pay	VV(VV)	pay
PBsve426_53:6	_1	PA(PA)	

PBsve426_54:1	you	PP(PP)	you
PBsve426_54:2	can	MD(MD)	can
PBsve426_54:3	pay	VV(VV)	pay
PBsve426_54:4	it	PP(PP)	it
PBsve426_54:5	right	RB(RB)	right
PBsve426_54:6	now	RB(RB)	now
PBsve426_54:7	_1	PA(PA)	
PBsve426_54:8	and	CC(CC)	and
PBsve426_54:9	_0	PA(PA)	
PBsve426_54:10	i	PP(PP)	i
PBsve426_54:11	just	RB(RB)	just
PBsve426_54:12	_0	PA(PA)	
PBsve426_54:13	or	CC(CC)	or
PBsve426_54:14	i	PP(PP)	i
PBsve426_54:15	even	RB(RB)	even
PBsve426_54:16	can	MD(MD)	can
PBsve426_54:17	phone	VV(VV)	phone
PBsve426_54:18	a_[place1]	NP(NP)	
PBsve426_54:19	_0	PA(PA)	
PBsve426_54:20	do	VVP(VVP)	do
PBsve426_54:21	you	PP(PP)	you
PBsve426_54:22	have	VH(VH)	have
PBsve426_54:23	one	CD(CD)	one
PBsve426_54:24	hundred	CD(CD)	hundred
PBsve426_54:25	twenty-five	CD(CD)	twenty-five
PBsve426_54:26	euro	NPS(NPS)	euro
PBsve426_54:27	here	RB(RB)	here
PBsve426_54:28	right	RB(RB)	right
PBsve426_54:29	now	RB(RB)	now

PBsve426_55:1	now	RB(RB)	now
PBsve426_55:2	no	RE(RE)	no

PBsve426_56:1	because	IN(IN)	because
PBsve426_56:2	_0	PA(PA)	
PBsve426_56:3	at	IN(IN)	at
PBsve426_56:4	first	RB(RB)	first
PBsve426_56:5	i	PP(PP)	i
PBsve426_56:6	need	VVP(VVP)	need
PBsve426_56:7	_0	PA(PA)	
PBsve426_56:8	one	CD(CD)	one
PBsve426_56:9	hundred	CD(CD)	hundred
PBsve426_56:10	twenty-five	CD(CD)	twenty-five
PBsve426_56:11	and	CC(CC)	and
PBsve426_56:12	afterwards	RB(RB)	afterwards
PBsve426_56:13	i	PP(PP)	i
PBsve426_56:14	can	MD(MD)	can
PBsve426_56:15	prolong	VV(VV)	prolong
PBsve426_56:16	you	PP(PP)	you
PBsve426_56:17	so	DM(DM)	so
PBsve426_56:18	you	PP(PP)	you
PBsve426_56:19	could	MD(MD)	can
PBsve426_56:20	go	VV(VV)	go
PBsve426_56:21	_0	PA(PA)	
PBsve426_56:22	to	IN(IN)	to
PBsve426_56:23	a	DT(DT)	a
PBsve426_56:24	bank	NN(NN)	bank
PBsve426_56:25	right	RB(RB)	right
PBsve426_56:26	now	RB(RB)	now
PBsve426_56:27	there	EX(EX)	there
PBsve426_56:28	's	VBS(VBS)	be
PBsve426_56:29	one	CD(CD)	one
PBsve426_56:30	on	IN(IN)	on
PBsve426_56:31	the	DT(DT)	the
PBsve426_56:32	campus	NN(NN)	campus
PBsve426_56:33	_0	PA(PA)	
PBsve426_56:34	or	CC(CC)	or
PBsve426_56:35	i	PP(PP)	i
PBsve426_56:36	give	VVP(VVP)	give
PBsve426_56:37	you	PP(PP)	you
PBsve426_56:38	a	DT(DT)	a
PBsve426_56:39	payment	NN(NN)	payment
PBsve426_56:40	slip	NN(NN)	slip
PBsve426_56:41	and	CC(CC)	and
PBsve426_56:42	you	PP(PP)	you
PBsve426_56:43	transfer	VVP(VVP)	transfer
PBsve426_56:44	it	PP(PP)	it
PBsve426_56:45	_3	PA(PA)	

PBsve426_57:1	er	UH(UH)	er
PBsve426_57:2	yes	RE(RE)	yes
PBsve426_57:3	xx	UNI(UNI)	

PBsve426_58:1	you	PP(PP)	you
PBsve426_58:2	prefer	VVP(VVP)	prefer
PBsve426_58:3	this	DT(DT)	this
PBsve426_58:4	_1	PA(PA)	
PBsve426_58:5	so	DM(DM)	so
PBsve426_58:6	just	RB(RB)	just
PBsve426_58:7	one	CD(CD)	one
PBsve426_58:8	second	NN(NN)	second
PBsve426_58:9	_57	PA(PA)	
PBsve426_58:10	okay	RE(RE)	okay
PBsve426_58:11	you	PP(PP)	you
PBsve426_58:12	do	VVP(VVP)	do
PBsve426_58:13	n't	RB(RB)	not
PBsve426_58:14	have	VH(VH)	have
PBsve426_58:15	to	TO(TO)	to
PBsve426_58:16	pay	VV(VV)	pay
PBsve426_58:17	anything	NN(NN)	anything
PBsve426_58:18	for	IN(IN)	for
PBsve426_58:19	september	NP(NP)	september
PBsve426_58:20	you	PP(PP)	you
PBsve426_58:21	're	VBP(VBP)	be
PBsve426_58:22	right	JJ(JJ)	right
PBsve426_58:23	_0	PA(PA)	
PBsve426_58:24	i	PP(PP)	i
PBsve426_58:25	'm	VBP(VBP)	be
PBsve426_58:26	sorry	JJ(JJ)	sorry
PBsve426_58:27	for	IN(IN)	for
PBsve426_58:28	this	DT(DT)	this
PBsve426_58:29	mistake	NN(NN)	mistake
PBsve426_58:30	_10	PA(PA)	

PBsve426_59:1	did	VVD(VVD)	do
PBsve426_59:2	you	PP(PP)	you
PBsve426_59:3	correct	VV(VV)	correct
PBsve426_59:4	_0	PA(PA)	

PBsve426_60:1	pardon	FI(FI)	pardon

PBsve426_61:1	did	VVD(VVD)	do
PBsve426_61:2	you	PP(PP)	you
PBsve426_61:3	did	VVD(VVD)	do
PBsve426_61:4	you	PP(PP)	you
PBsve426_61:5	correct	VV(VV)	correct
PBsve426_61:6	_1	PA(PA)	
PBsve426_61:7	er	UH(UH)	er
PBsve426_61:8	with	IN(IN)	with
PBsve426_61:9	the	DT(DT)	the
PBsve426_61:10	rent	NN(NN)	rent

PBsve426_62:1	erm	UH(UH)	erm
PBsve426_62:2	_0	PA(PA)	

PBsve426_63:1	what	WP(WP)	what
PBsve426_63:2	do	VVP(VVP)	do
PBsve426_63:3	you	PP(PP)	you
PBsve426_63:4	mean	VV(VV)	mean

PBsve426_64:1	the	DT(DT)	the
PBsve426_64:2	re-	XX(XX)	
PBsve426_64:3	the	DT(DT)	the
PBsve426_64:4	rent	NN(NN)	rent
PBsve426_64:5	_0	PA(PA)	

PBsve426_65:1	yes	RE(RE)	yes
PBsve426_65:2	everything	NN(NN)	everything
PBsve426_65:3	is	VBZ(VBZ)	be
PBsve426_65:4	okay	JJ(JJ)	okay
PBsve426_65:5	_0	PA(PA)	
PBsve426_65:6	right	RB(RB)	right
PBsve426_65:7	now	RB(RB)	now
PBsve426_65:8	i	PP(PP)	i
PBsve426_65:9	just	RB(RB)	just
PBsve426_65:10	will	MD(MD)	will
PBsve426_65:11	erm	UH(UH)	erm
PBsve426_65:12	_0	PA(PA)	
PBsve426_65:13	will	MD(MD)	will
PBsve426_65:14	phone	VV(VV)	phone
PBsve426_65:15	a_[place1]	NP(NP)	
PBsve426_65:16	if	IN(IN)	if
PBsve426_65:17	they	PP(PP)	they
PBsve426_65:18	have	VHP(VHP)	have
PBsve426_65:19	a	DT(DT)	a
PBsve426_65:20	deposit	NN(NN)	deposit
PBsve426_65:21	of	IN(IN)	of
PBsve426_65:22	you	PP(PP)	you
PBsve426_65:23	_0	PA(PA)	
PBsve426_65:24	then	RB(RB)	then
PBsve426_65:25	you	PP(PP)	you
PBsve426_65:26	do	VVP(VVP)	do
PBsve426_65:27	n't	RB(RB)	not
PBsve426_65:28	have	VH(VH)	have
PBsve426_65:29	to	TO(TO)	to
PBsve426_65:30	come	VV(VV)	come
PBsve426_65:31	back	RB(RB)	back
PBsve426_65:32	with	IN(IN)	with
PBsve426_65:33	the	DT(DT)	the
PBsve426_65:34	confirmation	NN(NN)	confirmation
PBsve426_65:35	of	IN(IN)	of
PBsve426_65:36	a_[place1]	NP(NP)	
PBsve426_65:37	_1	PA(PA)	
PBsve426_65:38	that	DT(DT)	that
PBsve426_65:39	's	VBS(VBS)	be
PBsve426_65:40	the	DT(DT)	the
PBsve426_65:41	last	JJ(JJ)	last
PBsve426_65:42	one	NN(NN)	one
PBsve426_65:43	_36	PA(PA)	
PBsve426_65:44	so	DM(DM)	so
PBsve426_65:45	as	RB(RB)	as
PBsve426_65:46	soon	RB(RB)	soon
PBsve426_65:47	as	IN(IN)	as
PBsve426_65:48	i	PP(PP)	i
PBsve426_65:49	_0	PA(PA)	
PBsve426_65:50	receive	VVP(VVP)	receive
PBsve426_65:51	_0	PA(PA)	
PBsve426_65:52	this	DT(DT)	this
PBsve426_65:53	amount	NN(NN)	amount
PBsve426_65:54	on	IN(IN)	on
PBsve426_65:55	our	PP$(PP$)	we
PBsve426_65:56	account	NN(NN)	account
PBsve426_65:57	_0	PA(PA)	
PBsve426_65:58	i	PP(PP)	i
PBsve426_65:59	'm	VBP(VBP)	be
PBsve426_65:60	sending	VVG(VVG)	send
PBsve426_65:61	you	PP(PP)	you
PBsve426_65:62	a	DT(DT)	a
PBsve426_65:63	confirmation	NN(NN)	confirmation
PBsve426_65:64	to	IN(IN)	to
PBsve426_65:65	your	PP$(PP$)	you
PBsve426_65:66	email	NN(NN)	email
PBsve426_65:67	address	NN(NN)	address
PBsve426_65:68	_1	PA(PA)	
PBsve426_65:69	for	IN(IN)	for
PBsve426_65:70	the	DT(DT)	the
PBsve426_65:71	prolongation	NN(NN)	prolongation
PBsve426_65:72	until	IN(IN)	until
PBsve426_65:73	the	DT(DT)	the
PBsve426_65:74	end	NN(NN)	end
PBsve426_65:75	of	IN(IN)	of
PBsve426_65:76	september	NP(NP)	september
PBsve426_65:77	two	CD(CD)	two
PBsve426_65:78	thousand	CD(CD)	thousand
PBsve426_65:79	and	CC(CC)	and
PBsve426_65:80	six	CD(CD)	six
PBsve426_65:81	_1	PA(PA)	

PBsve426_66:1	hm	RE(RE)	hm
PBsve426_66:2	email	NN(NN)	email

PBsve426_67:1	so	DM(DM)	so
PBsve426_67:2	hh	BR(BR)	
PBsve426_67:3	erm	UH(UH)	erm
PBsve426_67:4	_0	PA(PA)	
PBsve426_67:5	you	PP(PP)	you
PBsve426_67:6	pay	VVP(VVP)	pay
PBsve426_67:7	this	DT(DT)	this
PBsve426_67:8	amount	NN(NN)	amount
PBsve426_67:9	in	IN(IN)	in
PBsve426_67:10	the	DT(DT)	the
PBsve426_67:11	bank	NN(NN)	bank
PBsve426_67:12	_0	PA(PA)	
PBsve426_67:13	and	CC(CC)	and
PBsve426_67:14	when	WRB(WRB)	when
PBsve426_67:15	i	PP(PP)	i
PBsve426_67:16	see	VVP(VVP)	see
PBsve426_67:17	it	PP(PP)	it
PBsve426_67:18	in	IN(IN)	in
PBsve426_67:19	our	PP$(PP$)	we
PBsve426_67:20	account	NN(NN)	account
PBsve426_67:21	_0	PA(PA)	
PBsve426_67:22	i	PP(PP)	i
PBsve426_67:23	'm	VBP(VBP)	be
PBsve426_67:24	going	VVG(VVG)	go
PBsve426_67:25	to	TO(TO)	to
PBsve426_67:26	send	VV(VV)	send
PBsve426_67:27	_0	PA(PA)	
PBsve426_67:28	an	DT(DT)	a
PBsve426_67:29	a	DT(DT)	a
PBsve426_67:30	confirmation	NN(NN)	confirmation
PBsve426_67:31	_0	PA(PA)	
PBsve426_67:32	to	IN(IN)	to
PBsve426_67:33	your	PP$(PP$)	you
PBsve426_67:34	email	NN(NN)	email
PBsve426_67:35	address	NN(NN)	address

PBsve426_68:1	ah	UH(UH)	ah
PBsve426_68:2	do	VVP(VVP)	do
PBsve426_68:3	you	PP(PP)	you
PBsve426_68:4	know	VV(VV)	know
PBsve426_68:5	my	PP$(PP$)	i

PBsve426_69:1	that	PRE(PRE)	that
PBsve426_69:2	confirms	VVZ(VVZ)	confirm
PBsve426_69:3	yes	RE(RE)	yes
PBsve426_69:4	i	PP(PP)	i
PBsve426_69:5	think	VVP(VVP)	think
PBsve426_69:6	so	RB(RB)	so
PBsve426_69:7	i	PP(PP)	i
PBsve426_69:8	should	MD(MD)	shall
PBsve426_69:9	have	VH(VH)	have
PBsve426_69:10	it	PP(PP)	it
PBsve426_69:11	in	IN(IN)	in
PBsve426_69:12	the	DT(DT)	the
PBsve426_69:13	system	NN(NN)	system
PBsve426_69:14	_0	PA(PA)	
PBsve426_69:15	is	VBZ(VBZ)	be
PBsve426_69:16	this	DT(DT)	this
PBsve426_69:17	the	DT(DT)	the
PBsve426_69:18	right	JJ(JJ)	right
PBsve426_69:19	one	NN(NN)	one
PBsve426_69:20	_1	PA(PA)	

PBsve426_70:1	yes	RE(RE)	yes

PBsve426_71:1	yeah	RE(RE)	yeah
PBsve426_71:2	_0	PA(PA)	
PBsve426_71:3	and	CC(CC)	and
PBsve426_71:4	then	RB(RB)	then
PBsve426_71:5	you	PP(PP)	you
PBsve426_71:6	get	VVP(VVP)	get
PBsve426_71:7	a	DT(DT)	a
PBsve426_71:8	confirmation	NN(NN)	confirmation
PBsve426_71:9	_0	PA(PA)	

PBsve426_72:1	uhu	RE(RE)	uhu
PBsve426_72:2	okay	RE(RE)	okay
PBsve426_72:3	i	PP(PP)	i

PBsve426_73:1	via	IN(IN)	via
PBsve426_73:2	email	NN(NN)	email
PBsve426_73:3	_0	PA(PA)	
PBsve426_73:4	but	CC(CC)	but
PBsve426_73:5	_0	PA(PA)	
PBsve426_73:6	first	RB(RB)	first
PBsve426_73:7	i	PP(PP)	i
PBsve426_73:8	i	PP(PP)	i
PBsve426_73:9	i	PP(PP)	i
PBsve426_73:10	_0	PA(PA)	
PBsve426_73:11	i	PP(PP)	i
PBsve426_73:12	have	VHP(VHP)	have
PBsve426_73:13	er	UH(UH)	er
PBsve426_73:14	i	PP(PP)	i
PBsve426_73:15	need	VVP(VVP)	need
PBsve426_73:16	this	DT(DT)	this
PBsve426_73:17	amount	NN(NN)	amount
PBsve426_73:18	on	IN(IN)	on
PBsve426_73:19	our	PP$(PP$)	we
PBsve426_73:20	account	NN(NN)	account

PBsve426_74:1	i	PP(DM)	i
PBsve426_74:2	see	VVP(DM)	see

PBsve426_75:1	okay	RE(RE)	okay

PBsve426_76:1	erm	UH(UH)	erm
PBsve426_76:2	erm	UH(UH)	erm
PBsve426_76:3	the	DT(DT)	the
PBsve426_76:4	the	DT(DT)	the
PBsve426_76:5	er	UH(UH)	er
PBsve426_76:6	_2	PA(PA)	
PBsve426_76:7	but	CC(CC)	but
PBsve426_76:8	including	IN(IN)	including
PBsve426_76:9	that	DT(DT)	that
PBsve426_76:10	_1	PA(PA)	
PBsve426_76:11	five	CD(CD)	five
PBsve426_76:12	hundred	CD(CD)	hundred

PBsve426_77:1	yes	RE(RE)	yes
PBsve426_77:2	i	PP(PP)	i
PBsve426_77:3	would	MD(MD)	will
PBsve426_77:4	use	VV(VV)	use
PBsve426_77:5	the	DT(DT)	the
PBsve426_77:6	deposit	NN(NN)	deposit
PBsve426_77:7	you	PP(PP)	you
PBsve426_77:8	paid	VVD(VVD)	pay
PBsve426_77:9	the	DT(DT)	the
PBsve426_77:10	four	CD(CD)	four
PBsve426_77:11	hundred	CD(CD)	hundred
PBsve426_77:12	euro	NPS(NPS)	euro
PBsve426_77:13	_1	PA(PA)	
PBsve426_77:14	hh	BR(BR)	
PBsve426_77:15	i	PP(PP)	i
PBsve426_77:16	would	MD(MD)	will
PBsve426_77:17	use	VV(VV)	use
PBsve426_77:18	this	DT(DT)	this
PBsve426_77:19	amount	NN(NN)	amount
PBsve426_77:20	for	IN(IN)	for
PBsve426_77:21	th-	XX(XX)	
PBsve426_77:22	for	IN(IN)	for
PBsve426_77:23	the	DT(DT)	the
PBsve426_77:24	rest	NN(NN)	rest
PBsve426_77:25	of	IN(IN)	of
PBsve426_77:26	the	DT(DT)	the
PBsve426_77:27	administration	NN(NN)	administration
PBsve426_77:28	fee	NN(NN)	fee
PBsve426_77:29	and	CC(CC)	and
PBsve426_77:30	then	RB(RB)	then
PBsve426_77:31	all	DT(DT)	all
PBsve426_77:32	admini-	XX(XX)	
PBsve426_77:33	er	UH(UH)	er
PBsve426_77:34	for	IN(IN)	for
PBsve426_77:35	for	IN(IN)	for
PBsve426_77:36	each	DT(DT)	each
PBsve426_77:37	month	NN(NN)	month
PBsve426_77:38	_0	PA(PA)	
PBsve426_77:39	the	DT(DT)	the
PBsve426_77:40	administration	NN(NN)	administration
PBsve426_77:41	fee	NN(NN)	fee
PBsve426_77:42	_0	PA(PA)	
PBsve426_77:43	is	VBZ(VBZ)	be
PBsve426_77:44	paid	VVN(VVN)	pay
PBsve426_77:45	until	IN(IN)	until
PBsve426_77:46	the	DT(DT)	the
PBsve426_77:47	end	NN(NN)	end
PBsve426_77:48	of	IN(IN)	of
PBsve426_77:49	september	NP(NP)	september
PBsve426_77:50	two	CD(CD)	two
PBsve426_77:51	thousand	CD(CD)	thousand
PBsve426_77:52	and	CC(CC)	and
PBsve426_77:53	six	CD(CD)	six
PBsve426_77:54	so	DM(DM)	so
PBsve426_77:55	for	IN(IN)	for
PBsve426_77:56	the	DT(DT)	the
PBsve426_77:57	whole	JJ(JJ)	whole
PBsve426_77:58	_0	PA(PA)	
PBsve426_77:59	period	NN(NN)	period
PBsve426_77:60	_0	PA(PA)	
PBsve426_77:61	and	CC(CC)	and
PBsve426_77:62	even	RB(RB)	even
PBsve426_77:63	for	IN(IN)	for
PBsve426_77:64	the	DT(DT)	the
PBsve426_77:65	prolongation	NN(NN)	prolongation
PBsve426_77:66	_0	PA(PA)	
PBsve426_77:67	then	RB(RB)	then
PBsve426_77:68	you	PP(PP)	you
PBsve426_77:69	do	VVP(VVP)	do
PBsve426_77:70	n't	RB(RB)	not
PBsve426_77:71	have	VH(VH)	have
PBsve426_77:72	to	TO(TO)	to
PBsve426_77:73	pay	VV(VV)	pay
PBsve426_77:74	anything	NN(NN)	anything
PBsve426_77:75	else	RB(RB)	else
PBsve426_77:76	to	IN(IN)	to
PBsve426_77:77	a_[org1]	NP(NP)	
PBsve426_77:78	_1	PA(PA)	
PBsve426_77:79	okay	RE(RE)	okay
PBsve426_77:80	_0	PA(PA)	

PBsve426_78:1	okay	RE(RE)	okay

PBsve426_79:1	okay	RE(RE)	okay
PBsve426_79:2	here	RB(RB)	here
PBsve426_79:3	you	PP(PP)	you
PBsve426_79:4	are	VBP(VBP)	be
PBsve426_79:5	@@@	LA(LA)	
PBsve426_79:6	_7	PA(PA)	

PBsve426_80:1	and	CC(CC)	and
PBsve426_80:2	the	DT(DT)	the
PBsve426_80:3	next	JJ(JJ)	next
PBsve426_80:4	bank	NN(NN)	bank

PBsve426_81:1	hh	BR(BR)	
PBsve426_81:2	yes	RE(RE)	yes
PBsve426_81:3	and	CC(CC)	and
PBsve426_81:4	i	PP(PP)	i
PBsve426_81:5	will	MD(MD)	will
PBsve426_81:6	send	VV(VV)	send
PBsve426_81:7	you	PP(PP)	you
PBsve426_81:8	a	DT(DT)	a
PBsve426_81:9	confirmation	NN(NN)	confirmation
PBsve426_81:10	such	PDT(PDT)	such
PBsve426_81:11	a	DT(DT)	a
PBsve426_81:12	confirmation	NN(NN)	confirmation
PBsve426_81:13	via	IN(IN)	via
PBsve426_81:14	email	NN(NN)	email

PBsve426_82:1	i	PP(DM)	i
PBsve426_82:2	see	VVP(DM)	see

PBsve426_83:1	okay	RE(RE)	okay

PBsve426_84:1	okay	RE(RE)	okay
PBsve426_84:2	so	DM(DM)	so
PBsve426_84:3	i	PP(PP)	i
PBsve426_84:4	_3	PA(PA)	
PBsve426_84:5	bye-bye	FI(FI)	bye-bye

PBsve426_85:1	bye	FI(FI)	bye
PBsve426_85:2	have	VH(VH)	have
PBsve426_85:3	a	DT(DT)	a
PBsve426_85:4	nice	JJ(JJ)	nice
PBsve426_85:5	day	NN(NN)	day

