POwsd256_1:1	okay	RE(RE)	okay
POwsd256_21:1	yeah	RE(RE)	yeah
POwsd256_21:2	for	IN(IN)	for
POwsd256_21:3	me	PP(PP)	i
POwsd256_21:4	it	PP(PP)	it
POwsd256_21:5	's	VBS(VBS)	be
POwsd256_21:6	as	RB(RB)	as
POwsd256_21:7	well	RB(RB)	well
POwsd256_21:8	the	DT(DT)	the
POwsd256_21:9	the	DT(DT)	the
POwsd256_21:10	question	NN(NN)	question
POwsd256_21:11	was	VBD(VBD)	be
POwsd256_21:12	how	WRB(WRB)	how
POwsd256_21:13	_0	PA(PA)	
POwsd256_21:14	as	IN(IN)	as
POwsd256_21:15	_0	PA(PA)	
POwsd256_21:16	an	DT(DT)	a
POwsd256_21:17	organization	NN(NN)	organization
POwsd256_21:18	_0	PA(PA)	
POwsd256_21:19	erm	UH(UH)	erm
POwsd256_21:20	_0	PA(PA)	
POwsd256_21:21	are	VBP(VBP)	be
POwsd256_21:22	we	PP(PP)	we
POwsd256_21:23	able	JJ(JJ)	able
POwsd256_21:24	to	TO(TO)	to
POwsd256_21:25	make	VV(VV)	make
POwsd256_21:26	possible	JJ(JJ)	possible
POwsd256_21:27	_0	PA(PA)	
POwsd256_21:28	er	UH(UH)	er
POwsd256_21:29	the	DT(DT)	the
POwsd256_21:30	meeting	VVG(NN)	meet/meeting
POwsd256_21:31	between	IN(IN)	between
POwsd256_21:32	the	DT(DT)	the
POwsd256_21:33	p_polical	PVC(JJ)	
POwsd256_21:34	people	NNS(NNS)	people
POwsd256_21:35	and	CC(CC)	and
POwsd256_21:36	er	UH(UH)	er
POwsd256_21:37	the	DT(DT)	the
POwsd256_21:38	young	JJ(JJ)	young
POwsd256_21:39	people	NNS(NNS)	people
POwsd256_21:40	from	IN(IN)	from
POwsd256_21:41	the	DT(DT)	the
POwsd256_21:42	grass	NNS(NNS)	gras
POwsd256_21:43	roots	NNS(NNS)	root
POwsd256_21:44	_23	PA(PA)	

POwsd256_22:1	mhm	RE(RE)	mhm
POwsd256_22:2	_2	PA(PA)	
POwsd256_22:3	so	DM(DM)	so
POwsd256_22:4	how	WRB(WRB)	how
POwsd256_22:5	to	TO(TO)	to
POwsd256_22:6	bring	VV(VV)	bring
POwsd256_22:7	everybody	NN(NN)	everybody
POwsd256_22:8	from	IN(IN)	from
POwsd256_22:9	the	DT(DT)	the
POwsd256_22:10	grass-roots	NNS(NNS)/NNS(JJ)	grass-root
POwsd256_22:11	level	NN(NN)	level
POwsd256_22:12	_1	PA(PA)	
POwsd256_22:13	and	CC(CC)	and
POwsd256_22:14	_0	PA(PA)	
POwsd256_22:15	policy	NN(NN)	policy
POwsd256_22:16	makers	NNS(NNS)	maker
POwsd256_22:17	together	RB(RB)	together

POwsd256_23:1	yeah	RE(RE)	yeah
POwsd256_23:2	_10	PA(PA)	

POwsd256_24:1	can	MD(MD)	can
POwsd256_24:2	you	PP(PP)	you
POwsd256_24:3	read	VV(VV)	read
POwsd256_24:4	it	PP(PP)	it
POwsd256_24:5	_0	PA(PA)	

POwsd256_25:1	xxxxxxxxxx	UNI(UNI)	

POwsd256_26:1	sorry	FI(FI)	sorry
POwsd256_26:2	for	IN(IN)	for
POwsd256_26:3	that	DT(DT)	that

POwsd256_27:1	perhaps	RB(RB)	perhaps
POwsd256_27:2	ca-	XX(XX)	
POwsd256_27:3	capital	JJ(JJ)	capital
POwsd256_27:4	letters	NNS(NNS)	letter

POwsd256_28:1	i	PP(PP)	i
POwsd256_28:2	blame	VVP(VVP)	blame
POwsd256_28:3	it	PP(PP)	it
POwsd256_28:4	on	IN(IN)	on
POwsd256_28:5	the	DT(DT)	the
POwsd256_28:6	_0	PA(PA)	
POwsd256_28:7	xx	UNI(UNI)	
POwsd256_28:8	_0	PA(PA)	
POwsd256_28:9	erm	UH(UH)	erm
POwsd256_28:10	_0	PA(PA)	

POwsd256_29:1	yeah	RE(RE)	yeah
POwsd256_29:2	if	IN(IN)	if
POwsd256_29:3	maybe	RB(RB)	maybe
POwsd256_29:4	if	IN(IN)	if
POwsd256_29:5	you	PP(PP)	you
POwsd256_29:6	can	MD(MD)	can
POwsd256_29:7	write	VV(VV)	write
POwsd256_29:8	in	IN(IN)	in
POwsd256_29:9	capital	JJ(JJ)	capital
POwsd256_29:10	letters	NNS(NNS)	letter
POwsd256_29:11	_0	PA(PA)	
POwsd256_29:12	after	IN(IN)	after
POwsd256_29:13	that	DT(DT)	that
POwsd256_29:14	after	IN(IN)	after
POwsd256_29:15	what	WP(WP)	what
POwsd256_29:16	from	IN(IN)	from
POwsd256_29:17	the	DT(DT)	the
POwsd256_29:18	next	JJ(JJ)	next
POwsd256_29:19	question	NN(NN)	question
POwsd256_29:20	it	PP(PP)	it
POwsd256_29:21	may	MD(MD)	may
POwsd256_29:22	help	VV(VV)	help

POwsd256_30:1	like	IN(IN)	like
POwsd256_30:2	that	DT(DT)	that
POwsd256_30:3	okay	RE(RE)	okay

POwsd256_31:1	yeah	RE(RE)	yeah
POwsd256_31:2	_3	PA(PA)	

POwsd256_32:1	yeah	RE(RE)	yeah
POwsd256_32:2	_0	PA(PA)	
POwsd256_32:3	any	DT(DT)	any
POwsd256_32:4	other	JJ(JJ)	other
POwsd256_32:5	_1	PA(PA)	
POwsd256_32:6	yeah	RE(RE)	yeah

POwsd256_33:1	erm	UH(UH)	erm
POwsd256_33:2	for	IN(IN)	for
POwsd256_33:3	me	PP(PP)	i
POwsd256_33:4	an	DT(DT)	a
POwsd256_33:5	interesting	JJ(JJ)	interesting
POwsd256_33:6	question	NN(NN)	question
POwsd256_33:7	was	VBD(VBD)	be
POwsd256_33:8	who	WP(WP)	who
POwsd256_33:9	's	VBS(VBS)	be
POwsd256_33:10	responsible	JJ(JJ)	responsible
POwsd256_33:11	_0	PA(PA)	
POwsd256_33:12	er	UH(UH)	er
POwsd256_33:13	on	IN(IN)	on
POwsd256_33:14	the	DT(DT)	the
POwsd256_33:15	national	JJ(JJ)	national
POwsd256_33:16	level	NN(NN)	level
POwsd256_33:17	for	IN(IN)	for
POwsd256_33:18	the	DT(DT)	the
POwsd256_33:19	youth	NN(NN)	youth
POwsd256_33:20	pact	NN(NN)	pact
POwsd256_33:21	_0	PA(PA)	
POwsd256_33:22	because	IN(IN)	because
POwsd256_33:23	erm	UH(UH)	erm
POwsd256_33:24	i	PP(PP)	i
POwsd256_33:25	think	VVP(VVP)	think
POwsd256_33:26	_0	PA(PA)	
POwsd256_33:27	a_[firstname2]	NP(NP)	
POwsd256_33:28	mentioned	VVD(VVD)	mention
POwsd256_33:29	that	IN(IN)	that
POwsd256_33:30	in	IN(IN)	in
POwsd256_33:31	sweden	NP(NP)	sweden
POwsd256_33:32	it	PP(PP)	it
POwsd256_33:33	's	VBS(VBS)	be
POwsd256_33:34	the	DT(DT)	the
POwsd256_33:35	prime	NN(NN)	prime
POwsd256_33:36	minister	NN(NN)	minister

POwsd256_34:1	mhm	RE(RE)	mhm
POwsd256_34:2	_0	PA(PA)	

POwsd256_35:1	and	CC(CC)	and
POwsd256_35:2	i	PP(PP)	i
POwsd256_35:3	think	VVP(VVP)	think
POwsd256_35:4	in	IN(IN)	in
POwsd256_35:5	austria	NP(NP)	austria
POwsd256_35:6	it	PP(PP)	it
POwsd256_35:7	's	VBS(VBS)	be
POwsd256_35:8	only	RB(RB)	only
POwsd256_35:9	a	DT(DT)	a
POwsd256_35:10	ministry	NN(NN)	ministry

POwsd256_36:1	yeah	RE(RE)	yeah
POwsd256_36:2	_0	PA(PA)	
POwsd256_36:3	and	CC(CC)	and
POwsd256_36:4	there	EX(EX)	there
POwsd256_36:5	's	VBS(VBS)	be
POwsd256_36:6	just	RB(RB)	just
POwsd256_36:7	the	DT(DT)	the
POwsd256_36:8	_0	PA(PA)	

POwsd256_37:1	hm	RE(RE)	hm

POwsd256_38:1	question	NN(NN)	question
POwsd256_38:2	like	DM(DM)	like
POwsd256_38:3	_0	PA(PA)	
POwsd256_38:4	you	PP(PP)	you
POwsd256_38:5	wan-	XX(XX)	
POwsd256_38:6	you	PP(PP)	you
POwsd256_38:7	would	MD(MD)	will
POwsd256_38:8	like	VV(VV)	like
POwsd256_38:9	to	TO(TO)	to
POwsd256_38:10	know	VV(VV)	know
POwsd256_38:11	who	WP(WP)	who
POwsd256_38:12	is	VBZ(VBZ)	be
POwsd256_38:13	responsible	JJ(JJ)	responsible
POwsd256_38:14	_0	PA(PA)	
POwsd256_38:15	or	CC(CC)	or
POwsd256_38:16	who	WP(WP)	who
POwsd256_38:17	should	MD(MD)	shall
POwsd256_38:18	be	VB(VB)	be
POwsd256_38:19	responsible	JJ(JJ)	responsible

POwsd256_39:1	hm	RE(RE)	hm

POwsd256_40:1	mhm	RE(RE)	mhm

POwsd256_41:1	yeah	RE(RE)	yeah
POwsd256_41:2	you	PP(PP)	you
POwsd256_41:3	you	PP(PP)	you
POwsd256_41:4	can	MD(MD)	can
POwsd256_41:5	not	RB(RB)	not
POwsd256_41:6	say	VV(VV)	say
POwsd256_41:7	that	DT(DT)	that

POwsd256_42:1	yeah	RE(RE)	yeah

POwsd256_43:1	xxxxxx	UNI(UNI)	

POwsd256_44:1	yeah	RE(RE)	yeah
POwsd256_44:2	_5	PA(PA)	
POwsd256_44:3	and	CC(CC)	and
POwsd256_44:4	another	DT(DT)	another
POwsd256_44:5	point	NN(NN)	point
POwsd256_44:6	was	VBD(VBD)	be

POwsd256_45:1	but	CC(CC)	but

POwsd256_46:1	but	CC(CC)	but
POwsd256_46:2	but	CC(CC)	but

POwsd256_47:1	yeah	RE(RE)	yeah

POwsd256_48:1	you	PP(PP)	you
POwsd256_48:2	can	MD(MD)	can
POwsd256_48:3	not	RB(RB)	not
POwsd256_48:4	decide	VV(VV)	decide
POwsd256_48:5	it	PP(PP)	it

POwsd256_49:1	no	RE(RE)	no
POwsd256_49:2	no	RE(RE)	no
POwsd256_49:3	yeah	RE(RE)	yeah
POwsd256_49:4	_0	PA(PA)	
POwsd256_49:5	but	CC(CC)	but
POwsd256_49:6	_1	PA(PA)	

POwsd256_50:1	you	PP(PP)	you
POwsd256_50:2	can	MD(MD)	can
POwsd256_50:3	make	VV(VV)	make
POwsd256_50:4	another	DT(DT)	another
POwsd256_50:5	mention	NN(NN)	mention
POwsd256_50:6	still	RB(RB)	still
POwsd256_50:7	presumably	RB(RB)	presumably

POwsd256_51:1	yeah	RE(RE)	yeah

POwsd256_52:1	mhm	RE(RE)	mhm
POwsd256_52:2	yeah	RE(RE)	yeah

POwsd256_53:1	if	IN(IN)	if
POwsd256_53:2	we	PP(PP)	we
POwsd256_53:3	're	VBP(VBP)	be
POwsd256_53:4	writing	VVG(VVG)	write
POwsd256_53:5	a	DT(DT)	a
POwsd256_53:6	paper	NN(NN)	paper
POwsd256_53:7	we	PP(PP)	we
POwsd256_53:8	can	MD(MD)	can
POwsd256_53:9	_0	PA(PA)	
POwsd256_53:10	say	VV(VV)	say
POwsd256_53:11	what	WP(WP)	what
POwsd256_53:12	we	PP(PP)	we
POwsd256_53:13	would	MD(MD)	will
POwsd256_53:14	like	VV(VV)	like
POwsd256_53:15	to	TO(TO)	to
POwsd256_53:16	see	VV(VV)	see
POwsd256_53:17	_0	PA(PA)	
POwsd256_53:18	@	LA(LA)	
POwsd256_53:19	xxxxx	UNI(UNI)	
POwsd256_53:20	whatever	DM(DM)	whatever
POwsd256_53:21	_1	PA(PA)	

POwsd256_54:1	mhm	RE(RE)	mhm

POwsd256_55:1	well	DM(DM)	well
POwsd256_55:2	that	DT(DT)	that
POwsd256_55:3	's	VBS(VBS)	be
POwsd256_55:4	what	WP(WP)	what
POwsd256_55:5	x	UNI(UNI)	
POwsd256_55:6	policy	NN(NN)	policy
POwsd256_55:7	paper	NN(NN)	paper
POwsd256_55:8	is	VBZ(VBZ)	be
POwsd256_55:9	about	IN(IN)	about
POwsd256_55:10	_35	PA(PA)	

POwsd256_56:1	erm	UH(UH)	erm
POwsd256_56:2	_0	PA(PA)	
POwsd256_56:3	a_[S6]	NP(NP)	

POwsd256_57:1	erm	UH(UH)	erm
POwsd256_57:2	_0	PA(PA)	
POwsd256_57:3	coming	VVG(VVG)	come
POwsd256_57:4	back	RB(RB)	back
POwsd256_57:5	on	IN(IN)	on
POwsd256_57:6	the	DT(DT)	the
POwsd256_57:7	first	JJ(JJ)	first
POwsd256_57:8	and	CC(CC)	and
POwsd256_57:9	the	DT(DT)	the
POwsd256_57:10	_0	PA(PA)	
POwsd256_57:11	it	PP(PP)	it
POwsd256_57:12	's	VBS(VBS)	be
POwsd256_57:13	not	RB(RB)	not
POwsd256_57:14	just	RB(RB)	just
POwsd256_57:15	erm	UH(UH)	erm
POwsd256_57:16	teaching	VVG(VVG)	teach
POwsd256_57:17	young	JJ(JJ)	young
POwsd256_57:18	people	NNS(NNS)	people
POwsd256_57:19	and	CC(CC)	and
POwsd256_57:20	_0	PA(PA)	
POwsd256_57:21	and	CC(CC)	and
POwsd256_57:22	how	WRB(WRB)	how
POwsd256_57:23	to	TO(TO)	to
POwsd256_57:24	be	VB(VB)	be
POwsd256_57:25	employees	NNS(NNS)	employee
POwsd256_57:26	but	CC(CC)	but
POwsd256_57:27	how	WRB(WRB)	how
POwsd256_57:28	to	TO(TO)	to
POwsd256_57:29	_0	PA(PA)	
POwsd256_57:30	be	VB(VB)	be
POwsd256_57:31	xxx	UNI(UNI)	
POwsd256_57:32	_0	PA(PA)	
POwsd256_57:33	how	WRB(WRB)	how
POwsd256_57:34	to	TO(TO)	to
POwsd256_57:35	set	VV(VV)	set
POwsd256_57:36	up	RP(RP)	up
POwsd256_57:37	their	PP$(PP$)	they
POwsd256_57:38	own	JJ(JJ)	own
POwsd256_57:39	businesses	NNS(NNS)	business
POwsd256_57:40	_0	PA(PA)	
POwsd256_57:41	erm	UH(UH)	erm
POwsd256_57:42	and	CC(CC)	and
POwsd256_57:43	how	WRB(WRB)	how
POwsd256_57:44	to	TO(TO)	to
POwsd256_57:45	get	VV(VV)	get
POwsd256_57:46	ahead	RB(RB)	ahead
POwsd256_57:47	because	IN(IN)	because
POwsd256_57:48	what	WP(WP)	what
POwsd256_57:49	we	PP(PP)	we
POwsd256_57:50	've	VHP(VHP)	have
POwsd256_57:51	seen	VVN(VVN)	see
POwsd256_57:52	in	IN(IN)	in
POwsd256_57:53	england	NP(NP)	england
POwsd256_57:54	is	VBZ(VBZ)	be
POwsd256_57:55	the	DT(DT)	the
POwsd256_57:56	decrease	NN(NN)	decrease
POwsd256_57:57	of	IN(IN)	of
POwsd256_57:58	small	JJ(JJ)	small
POwsd256_57:59	businesses	NNS(NNS)	business

POwsd256_58:1	mhm	RE(RE)	mhm

POwsd256_59:1	mhm	RE(RE)	mhm

POwsd256_60:1	erm	UH(UH)	erm
POwsd256_60:2	and	CC(CC)	and
POwsd256_60:3	also	RB(RB)	also
POwsd256_60:4	that	DT(DT)	that
POwsd256_60:5	leads	VVZ(VVZ)	lead
POwsd256_60:6	to	IN(IN)	to
POwsd256_60:7	the	DT(DT)	the
POwsd256_60:8	decrease	NN(NN)	decrease
POwsd256_60:9	of	IN(IN)	of
POwsd256_60:10	customer	NN(NN)	customer
POwsd256_60:11	choice	NN(NN)	choice
POwsd256_60:12	where	WRB(WRB)	where
POwsd256_60:13	it	PP(PP)	it
POwsd256_60:14	's	VBS(VBS)	be
POwsd256_60:15	therefore	RB(RB)	therefore
POwsd256_60:16	falls	VVZ(VVZ)	fall
POwsd256_60:17	right	RB(RB)	right
POwsd256_60:18	into	IN(IN)	into
POwsd256_60:19	the	DT(DT)	the
POwsd256_60:20	hands	NNS(NNS)	hand
POwsd256_60:21	of	IN(IN)	of
POwsd256_60:22	capitalism	NN(NN)	capitalism
POwsd256_60:23	_0	PA(PA)	
POwsd256_60:24	erm	UH(UH)	erm
POwsd256_60:25	_0	PA(PA)	
POwsd256_60:26	and	CC(CC)	and
POwsd256_60:27	it	PP(PP)	it
POwsd256_60:28	kind	RB(RB)	kind
POwsd256_60:29	of	RB(RB)	of
POwsd256_60:30	all	DT(DT)	all
POwsd256_60:31	works	VVZ(VVZ)	work
POwsd256_60:32	hand	NN(NN)	hand
POwsd256_60:33	in	IN(IN)	in
POwsd256_60:34	hand	NN(NN)	hand
POwsd256_60:35	if	IN(IN)	if
POwsd256_60:36	we	PP(PP)	we
POwsd256_60:37	're	VBP(VBP)	be
POwsd256_60:38	gon	VVG(VVG)	go
POwsd256_60:39	na	TO(TO)	to
POwsd256_60:40	fight	VV(VV)	fight
POwsd256_60:41	the	DT(DT)	the
POwsd256_60:42	wide	JJ(JJ)	wide
POwsd256_60:43	picture	NN(NN)	picture
POwsd256_60:44	we	PP(PP)	we
POwsd256_60:45	need	VVP(VVP)	need
POwsd256_60:46	to	TO(TO)	to
POwsd256_60:47	make	VV(VV)	make
POwsd256_60:48	sure	JJ(JJ)	sure
POwsd256_60:49	that	IN(IN)	that
POwsd256_60:50	_0	PA(PA)	
POwsd256_60:51	our	PP$(PP$)	we
POwsd256_60:52	young	JJ(JJ)	young
POwsd256_60:53	people	NNS(NNS)	people
POwsd256_60:54	erm	UH(UH)	erm
POwsd256_60:55	to	TO(TO)	to
POwsd256_60:56	go	VV(VV)	go
POwsd256_60:57	forward	RB(RB)	forward
POwsd256_60:58	and	CC(CC)	and
POwsd256_60:59	create	VV(VV)	create
POwsd256_60:60	their	PP$(PP$)	they
POwsd256_60:61	own	JJ(JJ)	own
POwsd256_60:62	_0	PA(PA)	
POwsd256_60:63	erm	UH(UH)	erm
POwsd256_60:64	businesses	NNS(NNS)	business
POwsd256_60:65	with	IN(IN)	with
POwsd256_60:66	their	PP$(PP$)	they
POwsd256_60:67	own	JJ(JJ)	own
POwsd256_60:68	sets	NNS(NNS)	set
POwsd256_60:69	of	IN(IN)	of
POwsd256_60:70	standards	NNS(NNS)	standard
POwsd256_60:71	where	WRB(WRB)	where
POwsd256_60:72	we	PP(PP)	we
POwsd256_60:73	can	MD(MD)	can
POwsd256_60:74	implement	VV(VV)	implement
POwsd256_60:75	_0	PA(PA)	

POwsd256_61:1	mhm	RE(RE)	mhm

POwsd256_62:1	erm	UH(UH)	erm
POwsd256_62:2	_0	PA(PA)	
POwsd256_62:3	more	JJR(JJR)	more
POwsd256_62:4	workers	NNS(NNS)	worker
POwsd256_62:5	rights	NNS(NNS)	right

POwsd256_63:1	yeah	RE(RE)	yeah
POwsd256_63:2	_3	PA(PA)	

POwsd256_64:1	so	DM(DM)	so
POwsd256_64:2	how	WRB(WRB)	how
POwsd256_64:3	to	TO(TO)	to
POwsd256_64:4	encourage	VV(VV)	encourage
POwsd256_64:5	young	JJ(JJ)	young
POwsd256_64:6	people	NNS(NNS)	people
POwsd256_64:7	to	TO(TO)	to
POwsd256_64:8	set	VV(VV)	set
POwsd256_64:9	up	RP(RP)	up
POwsd256_64:10	their	PP$(PP$)	they
POwsd256_64:11	own	JJ(JJ)	own
POwsd256_64:12	business	NN(NN)	business
POwsd256_64:13	_0	PA(PA)	
POwsd256_64:14	or	CC(CC)	or
POwsd256_64:15	is	VBZ(VBZ)	be
POwsd256_64:16	it	PP(PP)	it
POwsd256_64:17	not	RB(RB)	not

POwsd256_65:1	y-	XX(XX)	
POwsd256_65:2	t-	XX(XX)	
POwsd256_65:3	t-	XX(XX)	
POwsd256_65:4	_0	PA(PA)	
POwsd256_65:5	yes	RE(RE)	yes

POwsd256_66:1	yes	RE(RE)	yes
POwsd256_66:2	_11	PA(PA)	

POwsd256_67:1	or	CC(CC)	or
POwsd256_67:2	not	RB(RB)	not
POwsd256_67:3	to	TO(TO)	to
POwsd256_67:4	encourage	VV(VV)	encourage
POwsd256_67:5	_0	PA(PA)	
POwsd256_67:6	but	CC(CC)	but
POwsd256_67:7	to	TO(TO)	to
POwsd256_67:8	give	VV(VV)	give
POwsd256_67:9	them	PP(PP)	they
POwsd256_67:10	a	DT(DT)	a
POwsd256_67:11	tool	NN(NN)	tool
POwsd256_67:12	so	IN(IN)	so
POwsd256_67:13	that	IN(IN)	that
POwsd256_67:14	they	PP(PP)	they
POwsd256_67:15	can	MD(MD)	can
POwsd256_67:16	if	IN(IN)	if
POwsd256_67:17	they	PP(PP)	they
POwsd256_67:18	want	VVP(VVP)	want
POwsd256_67:19	to	TO(TO)	to
POwsd256_67:20	_1	PA(PA)	

POwsd256_68:1	mhm	RE(RE)	mhm
POwsd256_68:2	_2	PA(PA)	

POwsd256_69:1	erm	UH(UH)	erm
POwsd256_69:2	_4	PA(PA)	

POwsd256_70:1	maybe	RB(RB)	maybe
POwsd256_70:2	empower	VV(VV)	empower
POwsd256_70:3	_0	PA(PA)	

POwsd256_71:1	hm	RE(RE)	hm
POwsd256_71:2	_0	PA(PA)	

POwsd256_72:1	empower	VV(VV)	empower

POwsd256_73:1	empower	VV(VV)	empower
POwsd256_73:2	_0	PA(PA)	

POwsd256_74:1	empower	VV(VV)	empower

POwsd256_75:1	you	PP(PP)	you
POwsd256_75:2	know	VVP(VVP)	know
POwsd256_75:3	about	IN(IN)	about
POwsd256_75:4	that	DT(DT)	that
POwsd256_75:5	_6	PA(PA)	

POwsd256_76:1	yes	RE(RE)	yes
POwsd256_76:2	also	RB(RB)	also
POwsd256_76:3	_0	PA(PA)	

POwsd256_77:1	yes	RE(RE)	yes

POwsd256_78:1	x	UNI(UNI)	
POwsd256_78:2	x	UNI(UNI)	
POwsd256_78:3	x	UNI(UNI)	
POwsd256_78:4	x	UNI(UNI)	
POwsd256_78:5	that	IN(IN)	that
POwsd256_78:6	erm	UH(UH)	erm
POwsd256_78:7	_0	PA(PA)	
POwsd256_78:8	like	DM(DM)/IN(IN)	like
POwsd256_78:9	the	DT(DT)	the
POwsd256_78:10	p_controversity	PVC(NN)	
POwsd256_78:11	between	IN(IN)	between
POwsd256_78:12	erm	UH(UH)	erm
POwsd256_78:13	implementation	NN(NN)	implementation
POwsd256_78:14	at	IN(IN)	at
POwsd256_78:15	municipal	JJ(JJ)	municipal
POwsd256_78:16	level	NN(NN)	level
POwsd256_78:17	_0	PA(PA)	
POwsd256_78:18	so	IN(IN)	so
POwsd256_78:19	that	IN(IN)	that
POwsd256_78:20	the	DT(DT)	the
POwsd256_78:21	youth	NN(NN)	youth
POwsd256_78:22	pact	NN(NN)	pact
POwsd256_78:23	will	MD(MD)	will
POwsd256_78:24	be	VB(VB)	be
POwsd256_78:25	er	UH(UH)	er
POwsd256_78:26	_0	PA(PA)	
POwsd256_78:27	you	PP(DM)	you
POwsd256_78:28	know	VVP(DM)	know
POwsd256_78:29	er	UH(UH)	er
POwsd256_78:30	_0	PA(PA)	
POwsd256_78:31	more	RBR(RBR)	more
POwsd256_78:32	er	UH(UH)	er
POwsd256_78:33	liberated	JJ(JJ)	liberated
POwsd256_78:34	in	IN(IN)	in
POwsd256_78:35	depth	NN(NN)	depth
POwsd256_78:36	_0	PA(PA)	
POwsd256_78:37	that	DT(DT)	that
POwsd256_78:38	was	VBD(VBD)	be
POwsd256_78:39	e-	XX(XX)	
POwsd256_78:40	er	UH(UH)	er
POwsd256_78:41	what	WP(WP)	what
POwsd256_78:42	i	PP(PP)	i
POwsd256_78:43	noticed	VVD(VVD)	notice
POwsd256_78:44	that	IN(IN)	that
POwsd256_78:45	the	DT(DT)	the
POwsd256_78:46	youth	NN(NN)	youth
POwsd256_78:47	pact	NN(NN)	pact
POwsd256_78:48	has	VHZ(VHZ)	have
POwsd256_78:49	to	TO(TO)	to
POwsd256_78:50	be	VB(VB)	be
POwsd256_78:51	implemented	VVN(VVN)	implement
POwsd256_78:52	at	IN(IN)	at
POwsd256_78:53	municipal	JJ(JJ)	municipal
POwsd256_78:54	level	NN(NN)	level
POwsd256_78:55	_0	PA(PA)	
POwsd256_78:56	but	CC(CC)	but
POwsd256_78:57	also	RB(RB)	also
POwsd256_78:58	the	DT(DT)	the
POwsd256_78:59	problem	NN(NN)	problem
POwsd256_78:60	that	PRE(PRE)	that
POwsd256_78:61	is	VBZ(VBZ)	be
POwsd256_78:62	erm	UH(UH)	erm
POwsd256_78:63	h-	XX(XX)	
POwsd256_78:64	has	VHZ(VHZ)	have
POwsd256_78:65	been	VBN(VBN)	be
POwsd256_78:66	noticed	VVN(VVN)	notice
POwsd256_78:67	by	IN(IN)	by
POwsd256_78:68	the	DT(DT)	the
POwsd256_78:69	national	JJ(JJ)	national
POwsd256_78:70	government	NN(NN)	government
POwsd256_78:71	that	IN(IN)	that
POwsd256_78:72	there	EX(EX)	there
POwsd256_78:73	is	VBZ(VBZ)	be
POwsd256_78:74	a	DT(DT)	a
POwsd256_78:75	lack	NN(NN)	lack
POwsd256_78:76	of	IN(IN)	of
POwsd256_78:77	_0	PA(PA)	
POwsd256_78:78	erm	UH(UH)	erm
POwsd256_78:79	_0	PA(PA)	
POwsd256_78:80	coordination	NN(NN)	coordination
POwsd256_78:81	_0	PA(PA)	
POwsd256_78:82	as	RB(RB)	as
POwsd256_78:83	well	RB(RB)	well
POwsd256_78:84	as	IN(IN)	as
POwsd256_78:85	between	IN(IN)	between
POwsd256_78:86	er	UH(UH)	er
POwsd256_78:87	_0	PA(PA)	
POwsd256_78:88	different	JJ(JJ)	different
POwsd256_78:89	sectors	NNS(NNS)	sector
POwsd256_78:90	as	IN(IN)	as
POwsd256_78:91	between	IN(IN)	between
POwsd256_78:92	er	UH(UH)	er
POwsd256_78:93	_0	PA(PA)	
POwsd256_78:94	the	DT(DT)	the
POwsd256_78:95	responsible	JJ(JJ)	responsible
POwsd256_78:96	ministries	NNS(NNS)	ministry
POwsd256_78:97	_0	PA(PA)	
POwsd256_78:98	i	PP(PP)	i
POwsd256_78:99	guess	VVP(VVP)	guess

POwsd256_79:1	mhm	RE(RE)	mhm

POwsd256_80:1	and	CC(CC)	and
POwsd256_80:2	i	PP(PP)	i
POwsd256_80:3	guess	VVP(VVP)	guess
POwsd256_80:4	erm	UH(UH)	erm
POwsd256_80:5	the	DT(DT)	the
POwsd256_80:6	p_controversity	PVC(NN)	
POwsd256_80:7	between	IN(IN)	between
POwsd256_80:8	er	UH(UH)	er
POwsd256_80:9	er	UH(UH)	er
POwsd256_80:10	implementing	VVG(VVG)	implement
POwsd256_80:11	at	IN(IN)	at
POwsd256_80:12	a	DT(DT)	a
POwsd256_80:13	municipal	JJ(JJ)	municipal
POwsd256_80:14	level	NN(NN)	level
POwsd256_80:15	even	RB(RB)	even
POwsd256_80:16	_0	PA(PA)	

POwsd256_81:1	hm	RE(RE)	hm

POwsd256_82:1	erm	UH(UH)	erm
POwsd256_82:2	_1	PA(PA)	
POwsd256_82:3	e-	XX(XX)	
POwsd256_82:4	er	UH(UH)	er
POwsd256_82:5	er	UH(UH)	er
POwsd256_82:6	create	VV(VV)/V(V)	create
POwsd256_82:7	more	JJR(JJR)	more
POwsd256_82:8	fragmentation	NN(NN)	fragmentation
POwsd256_82:9	_0	PA(PA)	

POwsd256_83:1	mhm	RE(RE)	mhm

POwsd256_84:1	in	IN(IN)	in
POwsd256_84:2	an	DT(DT)	a
POwsd256_84:3	in	IN(IN)	in
POwsd256_84:4	the	DT(DT)	the
POwsd256_84:5	policy	NN(NN)	policy
POwsd256_84:6	of	IN(IN)	of
POwsd256_84:7	youth	NN(NN)	youth
POwsd256_84:8	policy	NN(NN)	policy
POwsd256_84:9	_0	PA(PA)	
POwsd256_84:10	actually	RB(RB)	actually
POwsd256_84:11	i	PP(PP)	i
POwsd256_84:12	think	VVP(VVP)	think
POwsd256_84:13	that	IN(IN)	that
POwsd256_84:14	maybe	RB(RB)	maybe
POwsd256_84:15	youth	NNS(NNS)	youth
