PBpan25_1:1	good	FI(FI)	good
PBpan25_8:657	of	IN(IN)	of
PBpan25_8:658	the	DT(DT)	the
PBpan25_8:659	euro	NN(NN)	euro
PBpan25_8:660	monetary	JJ(JJ)	monetary
PBpan25_8:661	policy	NN(NN)	policy
PBpan25_8:662	are	VBP(VBP)	be
PBpan25_8:663	_0	PA(PA)	
PBpan25_8:664	taken	VVN(VVN)	take
PBpan25_8:665	_0	PA(PA)	
PBpan25_8:666	erm	UH(UH)	erm
PBpan25_8:667	_0	PA(PA)	
PBpan25_8:668	so	DM(DM)	so
PBpan25_8:669	the	DT(DT)	the
PBpan25_8:670	monetar-	XX(XX)	
PBpan25_8:671	the	DT(DT)	the
PBpan25_8:672	the	DT(DT)	the
PBpan25_8:673	the	DT(DT)	the
PBpan25_8:674	er	UH(UH)	er
PBpan25_8:675	currency	NN(NN)	currency
PBpan25_8:676	area	NN(NN)	area
PBpan25_8:677	of	IN(IN)	of
PBpan25_8:678	euro	NP(NP)	euro
PBpan25_8:679	_0	PA(PA)	
PBpan25_8:680	is	VBZ(VBZ)	be
PBpan25_8:681	assessed	VVN(VVN)	assess
PBpan25_8:682	to	TO(TO)	to
PBpan25_8:683	be	VB(VB)	be
PBpan25_8:684	er	UH(UH)	er
PBpan25_8:685	a	DT(DT)	a
PBpan25_8:686	_0	PA(PA)	
PBpan25_8:687	proper	JJ(JJ)	proper
PBpan25_8:688	m-	XX(XX)	
PBpan25_8:689	er	UH(UH)	er
PBpan25_8:690	situation	NN(NN)	situation
PBpan25_8:691	_0	PA(PA)	
PBpan25_8:692	of	RB(RB)	of
PBpan25_8:693	course	RB(RB)	course
PBpan25_8:694	with	IN(IN)	with
PBpan25_8:695	the	DT(DT)	the
PBpan25_8:696	notion	NN(NN)	notion
PBpan25_8:697	that	IN(IN)	that
PBpan25_8:698	er	UH(UH)	er
PBpan25_8:699	_0	PA(PA)	
PBpan25_8:700	erm	UH(UH)	erm
PBpan25_8:701	adjustment	NN(NN)	adjustment
PBpan25_8:702	for	IN(IN)	for
PBpan25_8:703	_0	PA(PA)	
PBpan25_8:704	possible	JJ(JJ)	possible
PBpan25_8:705	asymmetric	JJ(JJ)	asymmetric
PBpan25_8:706	shocks	NNS(NNS)	shock
PBpan25_8:707	_0	PA(PA)	
PBpan25_8:708	has	VHZ(VHZ)	have
PBpan25_8:709	to	TO(TO)	to
PBpan25_8:710	be	VB(VB)	be
PBpan25_8:711	_0	PA(PA)	
PBpan25_8:712	er	UH(UH)	er
PBpan25_8:713	_0	PA(PA)	
PBpan25_8:714	er	UH(UH)	er
PBpan25_8:715	available	JJ(JJ)	available
PBpan25_8:716	and	CC(CC)	and
PBpan25_8:717	er	UH(UH)	er
PBpan25_8:718	_0	PA(PA)	
PBpan25_8:719	this	DT(DT)	this
PBpan25_8:720	er	UH(UH)	er
PBpan25_8:721	enters	VVZ(VVZ)	enter
PBpan25_8:722	into	IN(IN)	into
PBpan25_8:723	the	DT(DT)	the
PBpan25_8:724	area	NN(NN)	area
PBpan25_8:725	of	IN(IN)	of
PBpan25_8:726	_0	PA(PA)	
PBpan25_8:727	er	UH(UH)	er
PBpan25_8:728	x	UNI(UNI)	
PBpan25_8:729	_0	PA(PA)	
PBpan25_8:730	and	CC(CC)	and
PBpan25_8:731	capital	NN(NN)	capital
PBpan25_8:732	erm	UH(UH)	erm
PBpan25_8:733	_0	PA(PA)	
PBpan25_8:734	mobility	NN(NN)	mobility
PBpan25_8:735	_0	PA(PA)	
PBpan25_8:736	and	CC(CC)	and
PBpan25_8:737	of	RB(RB)	of
PBpan25_8:738	course	RB(RB)	course
PBpan25_8:739	er	UH(UH)	er
PBpan25_8:740	the	DT(DT)	the
PBpan25_8:741	possi-	XX(XX)	
PBpan25_8:742	er	UH(UH)	er
PBpan25_8:743	_0	PA(PA)	
PBpan25_8:744	the	DT(DT)	the
PBpan25_8:745	possibility	NN(NN)	possibility
PBpan25_8:746	of	IN(IN)	of
PBpan25_8:747	adjustment	NN(NN)	adjustment
PBpan25_8:748	of	IN(IN)	of
PBpan25_8:749	eastern	JJ(JJ)	eastern
PBpan25_8:750	and	CC(CC)	and
PBpan25_8:751	income	NN(NN)	income
PBpan25_8:752	policies	NNS(NNS)	policy
PBpan25_8:753	x	UNI(UNI)	
PBpan25_8:754	xx	UNI(UNI)	
PBpan25_8:755	x	UNI(UNI)	
PBpan25_8:756	_1	PA(PA)	

PBpan25_9:1	thank	FI(FI)	thank
PBpan25_9:2	you	FI(FI)	you
PBpan25_9:3	very	RB(RB)	very
PBpan25_9:4	much	RB(RB)	much
PBpan25_9:5	perhaps	RB(RB)	perhaps
PBpan25_9:6	er	UH(UH)	er
PBpan25_9:7	_0	PA(PA)	
PBpan25_9:8	to	TO(TO)	to
PBpan25_9:9	adopt	VV(VV)	adopt
PBpan25_9:10	er	UH(UH)	er
PBpan25_9:11	_0	PA(PA)	
PBpan25_9:12	er	UH(UH)	er
PBpan25_9:13	i	PP(DM)	i
PBpan25_9:14	mean	VVP(DM)	mean
PBpan25_9:15	to	TO(TO)	to
PBpan25_9:16	meet	VV(VV)	meet
PBpan25_9:17	the	DT(DT)	the
PBpan25_9:18	open	JJ(JJ)	open
PBpan25_9:19	xxxxx	UNI(UNI)	
PBpan25_9:20	criteria	NNS(NNS)	criterion
PBpan25_9:21	_0	PA(PA)	
PBpan25_9:22	is	VBZ(VBZ)	be
PBpan25_9:23	er	UH(UH)	er
PBpan25_9:24	definitely	RB(RB)	definitely
PBpan25_9:25	the	DT(DT)	the
PBpan25_9:26	necessary	JJ(JJ)	necessary
PBpan25_9:27	but	CC(CC)	but
PBpan25_9:28	not	RB(RB)	not
PBpan25_9:29	sufficient	JJ(JJ)	sufficient
PBpan25_9:30	condition	NN(NN)	condition
PBpan25_9:31	to	TO(TO)	to
PBpan25_9:32	adopt	VV(VV)	adopt
PBpan25_9:33	the	DT(DT)	the
PBpan25_9:34	euro	NP(NP)	euro
PBpan25_9:35	_0	PA(PA)	
PBpan25_9:36	perhaps	RB(RB)	perhaps
PBpan25_9:37	later	RBR(RBR)	late
PBpan25_9:38	on	RP(RP)	on
PBpan25_9:39	we	PP(PP)	we
PBpan25_9:40	can	MD(MD)	can
PBpan25_9:41	return	VV(VV)	return
PBpan25_9:42	to	IN(IN)	to
PBpan25_9:43	this	DT(DT)	this
PBpan25_9:44	er	UH(UH)	er
PBpan25_9:45	question	NN(NN)	question
PBpan25_9:46	that	IN(IN)/PRE(PRE)	that
PBpan25_9:47	xx	UNI(UNI)	
PBpan25_9:48	_0	PA(PA)	
PBpan25_9:49	xx	UNI(UNI)	
PBpan25_9:50	other	JJ(JJ)	other
PBpan25_9:51	conditions	NNS(NNS)	condition
PBpan25_9:52	_0	PA(PA)	
PBpan25_9:53	have	VHP(VHP)	have
PBpan25_9:54	to	TO(TO)	to
PBpan25_9:55	be	VB(VB)	be
PBpan25_9:56	met	VVN(VVN)	meet
PBpan25_9:57	in	IN(IN)	in
PBpan25_9:58	order	IN(IN)	order
PBpan25_9:59	to	IN(IN)	to
PBpan25_9:60	be	VB(VB)	be
PBpan25_9:61	able	JJ(JJ)	able
PBpan25_9:62	to	TO(TO)	to
PBpan25_9:63	join	VV(VV)	join
PBpan25_9:64	the	DT(DT)	the
PBpan25_9:65	the	DT(DT)	the
PBpan25_9:66	monetary	NN(NN)	monetary
PBpan25_9:67	union	NN(NN)	union
PBpan25_9:68	_0	PA(PA)	
PBpan25_9:69	now	RB(RB)	now
PBpan25_9:70	we	PP(PP)	we
PBpan25_9:71	might	MD(MD)	may
PBpan25_9:72	er	UH(UH)	er
PBpan25_9:73	turn	VV(VV)	turn
PBpan25_9:74	to	IN(IN)	to
PBpan25_9:75	a	DT(DT)	a
PBpan25_9:76	also	RB(RB)	also
PBpan25_9:77	very	RB(RB)	very
PBpan25_9:78	exciting	JJ(JJ)	exciting
PBpan25_9:79	if	IN(IN)	if
PBpan25_9:80	not	RB(RB)	not
PBpan25_9:81	er	UH(UH)	er
PBpan25_9:82	touchy	JJ(JJ)	touchy
PBpan25_9:83	issue	NN(NN)	issue
PBpan25_9:84	_0	PA(PA)	
PBpan25_9:85	namely	RB(RB)	namely
PBpan25_9:86	the	DT(DT)	the
PBpan25_9:87	cooperation	NN(NN)	cooperation
PBpan25_9:88	between	IN(IN)	between
PBpan25_9:89	the	DT(DT)	the
PBpan25_9:90	central	NNS(NNS)	central
PBpan25_9:91	banks	NNS(NNS)	bank
PBpan25_9:92	and	CC(CC)	and
PBpan25_9:93	the	DT(DT)	the
PBpan25_9:94	ministries	NNS(NNS)	ministry
PBpan25_9:95	of	IN(IN)	of
PBpan25_9:96	finance	NN(NN)	finance
PBpan25_9:97	_0	PA(PA)	
PBpan25_9:98	this	DT(DT)	this
PBpan25_9:99	is	VBZ(VBZ)	be
PBpan25_9:100	an	DT(DT)	a
PBpan25_9:101	evergreen	NN(NN)	evergreen
PBpan25_9:102	er	UH(UH)	er
PBpan25_9:103	debate	NN(NN)	debate
PBpan25_9:104	_0	PA(PA)	
PBpan25_9:105	and	CC(CC)	and
PBpan25_9:106	conflict	NN(NN)	conflict
PBpan25_9:107	er	UH(UH)	er
PBpan25_9:108	i	PP(PP)	i
PBpan25_9:109	would	MD(MD)	will
PBpan25_9:110	say	VV(VV)	say
PBpan25_9:111	_0	PA(PA)	
PBpan25_9:112	a	DT(DT)	a
PBpan25_9:113	sociological	JJ(JJ)	sociological
PBpan25_9:114	established	VVN(VVN)	establish
PBpan25_9:115	conflict	NN(NN)	conflict
PBpan25_9:116	er	UH(UH)	er
PBpan25_9:117	between	IN(IN)	between
PBpan25_9:118	these	DT(DT)	these
PBpan25_9:119	institutions	NNS(NNS)	institution
PBpan25_9:120	_0	PA(PA)	
PBpan25_9:121	however	RB(RB)	however
PBpan25_9:122	there	EX(EX)	there
PBpan25_9:123	might	MD(MD)	may
PBpan25_9:124	be	VB(VB)	be
PBpan25_9:125	some	DT(DT)	some
PBpan25_9:126	positive	JJ(JJ)	positive
PBpan25_9:127	experience	NN(NN)	experience
PBpan25_9:128	as	RB(RB)	as
PBpan25_9:129	well	RB(RB)	well
PBpan25_9:130	_0	PA(PA)	
PBpan25_9:131	as	IN(IN)	as
PBpan25_9:132	perhaps	RB(RB)	perhaps
PBpan25_9:133	in	IN(IN)	in
PBpan25_9:134	case	NN(NN)	case
PBpan25_9:135	of	IN(IN)	of
PBpan25_9:136	the	DT(DT)	the
PBpan25_9:137	a_[place6]	NP(NP)	
PBpan25_9:138	where	WRB(WRB)	where
PBpan25_9:139	the	DT(DT)	the
PBpan25_9:140	central	NN(NN)	central
PBpan25_9:141	bank	NN(NN)	bank
PBpan25_9:142	and	CC(CC)	and
PBpan25_9:143	the	DT(DT)	the
PBpan25_9:144	ministry	NN(NN)	ministry
PBpan25_9:145	of	IN(IN)	of
PBpan25_9:146	finance	NN(NN)	finance
PBpan25_9:147	can	MD(MD)	can
PBpan25_9:148	cooperate	VV(VV)	cooperate
PBpan25_9:149	_0	PA(PA)	
PBpan25_9:150	er	UH(UH)	er
PBpan25_9:151	pretty	RB(RB)	pretty
PBpan25_9:152	pragmatic	JJ(JJ)	pragmatic
PBpan25_9:153	and	CC(CC)	and
PBpan25_9:154	er	UH(UH)	er
PBpan25_9:155	in	IN(IN)	in
PBpan25_9:156	order	IN(IN)	order
PBpan25_9:157	to	IN(IN)	to
PBpan25_9:158	keep	VV(VV)	keep
PBpan25_9:159	xxxx	UNI(UNI)	
PBpan25_9:160	sufficient	JJ(JJ)	sufficient
PBpan25_9:161	xx	UNI(UNI)	
PBpan25_9:162	xxx	UNI(UNI)	
PBpan25_9:163	x	UNI(UNI)	
PBpan25_9:164	x	UNI(UNI)	
PBpan25_9:165	_1	PA(PA)	

PBpan25_10:1	okay	RE(RE)	okay
PBpan25_10:2	thank	FI(FI)	thank
PBpan25_10:3	you	FI(FI)	you
PBpan25_10:4	good	FI(FI)	good
PBpan25_10:5	morning	FI(FI)	morning
PBpan25_10:6	er	UH(UH)	er
PBpan25_10:7	_0	PA(PA)	
PBpan25_10:8	er	UH(UH)	er
PBpan25_10:9	probably	RB(RB)	probably
PBpan25_10:10	you	PP(DM)	you
PBpan25_10:11	know	VVP(DM)	know
PBpan25_10:12	that	IN(IN)	that
PBpan25_10:13	er	UH(UH)	er
PBpan25_10:14	the	DT(DT)	the
PBpan25_10:15	in	IN(IN)	in
PBpan25_10:16	the	DT(DT)	the
PBpan25_10:17	a_[place6]	NP(NP)	
PBpan25_10:18	we	PP(PP)	we
PBpan25_10:19	p_experien	PVC(VVP)	
PBpan25_10:20	of	IN(IN)	of
PBpan25_10:21	the	DT(DT)	the
PBpan25_10:22	period	NN(NN)	period
PBpan25_10:23	of	IN(IN)	of
PBpan25_10:24	er	UH(UH)	er
PBpan25_10:25	severe	JJ(JJ)	severe
PBpan25_10:26	xxxxx	UNI(UNI)	
PBpan25_10:27	within	IN(IN)	within
PBpan25_10:28	the	DT(DT)	the
PBpan25_10:29	central	NN(NN)	central
PBpan25_10:30	bank	NN(NN)	bank
PBpan25_10:31	_0	PA(PA)	
PBpan25_10:32	and	CC(CC)	and
PBpan25_10:33	the	DT(DT)	the
PBpan25_10:34	government	NN(NN)	government
PBpan25_10:35	_0	PA(PA)	
PBpan25_10:36	now	RB(RB)	now
PBpan25_10:37	er	UH(UH)	er
PBpan25_10:38	the	DT(DT)	the
PBpan25_10:39	situation	NN(NN)	situation
PBpan25_10:40	changed	VVN(VVN)	change
PBpan25_10:41	and	CC(CC)	and
PBpan25_10:42	i	PP(PP)	i
PBpan25_10:43	think	VVP(VVP)	think
PBpan25_10:44	there	EX(EX)	there
PBpan25_10:45	are	VBP(VBP)	be
PBpan25_10:46	some	DT(DT)	some
PBpan25_10:47	examples	NNS(NNS)	example
PBpan25_10:48	of	IN(IN)	of
PBpan25_10:49	_0	PA(PA)	
PBpan25_10:50	positive	JJ(JJ)	positive
PBpan25_10:51	er	UH(UH)	er
PBpan25_10:52	cooperation	NN(NN)	cooperation
PBpan25_10:53	between	IN(IN)	between
PBpan25_10:54	the	DT(DT)	the
PBpan25_10:55	both	DT(DT)/DT(NN)	both
PBpan25_10:56	_0	PA(PA)	
PBpan25_10:57	institution	NN(NN)	institution
PBpan25_10:58	_0	PA(PA)	
PBpan25_10:59	this	DT(DT)	this
PBpan25_10:60	conflict	NN(NN)	conflict
PBpan25_10:61	turned	VVD(VVD)	turn
PBpan25_10:62	to	TO(TO)	to
PBpan25_10:63	_0	PA(PA)	
PBpan25_10:64	turned	VVD(VVD)	turn
PBpan25_10:65	to	TO(TO)	to
PBpan25_10:66	emanate	VV(VV)	emanate
PBpan25_10:67	quite	RB(RB)	quite
PBpan25_10:68	frequently	RB(RB)	frequently
PBpan25_10:69	_0	PA(PA)	
PBpan25_10:70	and	CC(CC)	and
PBpan25_10:71	it	PP(PP)	it
PBpan25_10:72	is	VBZ(VBZ)	be
PBpan25_10:73	important	JJ(JJ)	important
PBpan25_10:74	to	TO(TO)	to
PBpan25_10:75	find	VV(VV)	find
PBpan25_10:76	us	PP(PP)	we
PBpan25_10:77	safeguards	NNS(NNS)	safeguard
PBpan25_10:78	for	IN(IN)	for
PBpan25_10:79	them	PP(PP)	they
PBpan25_10:80	s-	XX(XX)	
PBpan25_10:81	those	DT(DT)	those
PBpan25_10:82	conflict	NN(NN)	conflict
PBpan25_10:83	_0	PA(PA)	
PBpan25_10:84	i	PP(PP)	i
PBpan25_10:85	personally	RB(RB)	personally
PBpan25_10:86	think	VVP(VVP)	think
PBpan25_10:87	that	IN(IN)	that
PBpan25_10:88	er	UH(UH)	er
PBpan25_10:89	our	PP$(PP$)	we
PBpan25_10:90	current	JJ(JJ)	current
PBpan25_10:91	regime	NN(NN)	regime
PBpan25_10:92	of	IN(IN)	of
PBpan25_10:93	monetary	JJ(JJ)	monetary
PBpan25_10:94	policy	NN(NN)	policy
PBpan25_10:95	which	PRE(PRE)	which
PBpan25_10:96	is	VBZ(VBZ)	be
PBpan25_10:97	_0	PA(PA)	
PBpan25_10:98	the	DT(DT)	the
PBpan25_10:99	inflation	NN(NN)	inflation
PBpan25_10:100	targeting	VVG(NN)	target/targeting
PBpan25_10:101	er	UH(UH)	er
PBpan25_10:102	_0	PA(PA)	
PBpan25_10:103	er	UH(UH)	er
PBpan25_10:104	create	VVP(VVP)	create
PBpan25_10:105	some	DT(DT)	some
PBpan25_10:106	precondition	NN(NN)	precondition
PBpan25_10:107	er	UH(UH)	er
PBpan25_10:108	for	IN(IN)	for
PBpan25_10:109	_0	PA(PA)	
PBpan25_10:110	er	UH(UH)	er
PBpan25_10:111	limiting	VVG(VVG)	limit
PBpan25_10:112	this	DT(DT)	this
PBpan25_10:113	er	UH(UH)	er
PBpan25_10:114	conflict	NN(NN)	conflict
PBpan25_10:115	_0	PA(PA)	
PBpan25_10:116	and	CC(CC)	and
PBpan25_10:117	er	UH(UH)	er
PBpan25_10:118	the	DT(DT)	the
PBpan25_10:119	main	JJ(JJ)	main
PBpan25_10:120	reason	NN(NN)	reason
PBpan25_10:121	is	VBZ(VBZ)	be
PBpan25_10:122	that	IN(IN)	that
PBpan25_10:123	it	PP(PP)	it
PBpan25_10:124	tends	VVZ(VVZ)	tend
PBpan25_10:125	to	TO(TO)	to
PBpan25_10:126	create	VV(VV)	create
PBpan25_10:127	a	DT(DT)	a
PBpan25_10:128	sort	NN(NN)	sort
PBpan25_10:129	of	IN(IN)	of
PBpan25_10:130	cultural	JJ(JJ)	cultural
PBpan25_10:131	cooperation	NN(NN)	cooperation
PBpan25_10:132	because	IN(IN)	because
PBpan25_10:133	_0	PA(PA)	
PBpan25_10:134	if	IN(IN)	if
PBpan25_10:135	the	DT(DT)	the
PBpan25_10:136	_0	PA(PA)	
PBpan25_10:137	er	UH(UH)	er
PBpan25_10:138	central	NN(NN)	central
PBpan25_10:139	bank	NN(NN)	bank
PBpan25_10:140	is	VBZ(VBZ)	be
PBpan25_10:141	interested	JJ(JJ)	interested
PBpan25_10:142	in	IN(IN)	in
PBpan25_10:143	er	UH(UH)	er
PBpan25_10:144	sanctioning	VVG(VVG)	sanction
PBpan25_10:145	the	DT(DT)	the
PBpan25_10:146	target	NN(NN)	target
PBpan25_10:147	by	IN(IN)	by
PBpan25_10:148	the	DT(DT)	the
PBpan25_10:149	government	NN(NN)	government
PBpan25_10:150	and	CC(CC)	and
PBpan25_10:151	the	DT(DT)	the
PBpan25_10:152	ministry	NN(NN)	ministry
PBpan25_10:153	of	IN(IN)	of
PBpan25_10:154	finance	NN(NN)	finance
PBpan25_10:155	_0	PA(PA)	
PBpan25_10:156	so	DM(DM)	so
PBpan25_10:157	_0	PA(PA)	
PBpan25_10:158	it	PP(PP)	it
PBpan25_10:159	creates	VVZ(VVZ)	create
PBpan25_10:160	some	DT(DT)	some
PBpan25_10:161	er	UH(UH)	er
PBpan25_10:162	sense	NN(NN)	sense
PBpan25_10:163	of	IN(IN)	of
PBpan25_10:164	er	UH(UH)	er
PBpan25_10:165	common	JJ(JJ)	common
PBpan25_10:166	_0	PA(PA)	
PBpan25_10:167	er	UH(UH)	er
PBpan25_10:168	responsibility	NN(NN)	responsibility
PBpan25_10:169	_0	PA(PA)	
PBpan25_10:170	for	IN(IN)	for
PBpan25_10:171	the	DT(DT)	the
PBpan25_10:172	inflation	NN(NN)	inflation
PBpan25_10:173	environment	NN(NN)	environment
PBpan25_10:174	er	UH(UH)	er
PBpan25_10:175	_0	PA(PA)	
PBpan25_10:176	in	IN(IN)	in
PBpan25_10:177	the	DT(DT)	the
PBpan25_10:178	economy	NN(NN)	economy
PBpan25_10:179	_0	PA(PA)	
PBpan25_10:180	so	DM(DM)	so
PBpan25_10:181	it	PP(PP)	it
PBpan25_10:182	was	VBD(VBD)	be
PBpan25_10:183	the	DT(DT)	the
PBpan25_10:184	idea	NN(NN)	idea
PBpan25_10:185	of	IN(IN)	of
PBpan25_10:186	the	DT(DT)	the
PBpan25_10:187	a_[place6]	NP(NP)	
PBpan25_10:188	why	WRB(WRB)	why
PBpan25_10:189	we	PP(PP)	we
PBpan25_10:190	wanted	VVD(VVD)	want
PBpan25_10:191	_0	PA(PA)	
PBpan25_10:192	the	DT(DT)	the
PBpan25_10:193	government	NN(NN)	government
PBpan25_10:194	to	TO(TO)	to
PBpan25_10:195	approve	VV(VV)	approve
PBpan25_10:196	our	PP$(PP$)	we
PBpan25_10:197	targets	NNS(NNS)	target
PBpan25_10:198	_0	PA(PA)	
PBpan25_10:199	and	CC(CC)	and
PBpan25_10:200	as	IN(IN)	as
PBpan25_10:201	a	DT(DT)	a
PBpan25_10:202	result	NN(NN)	result
PBpan25_10:203	of	IN(IN)	of
PBpan25_10:204	this	DT(DT)	this
PBpan25_10:205	_0	PA(PA)	
PBpan25_10:206	er	UH(UH)	er
PBpan25_10:207	we	PP(PP)	we
PBpan25_10:208	launch	VVP(VVP)	launch
PBpan25_10:209	er	UH(UH)	er
PBpan25_10:210	several	JJ(JJ)	several
PBpan25_10:211	debates	NNS(NNS)	debate
PBpan25_10:212	discussions	NNS(NNS)	discussion
PBpan25_10:213	_0	PA(PA)	
PBpan25_10:214	and	CC(CC)	and
PBpan25_10:215	within	IN(IN)	within
PBpan25_10:216	these	DT(DT)	these
PBpan25_10:217	discussions	NNS(NNS)	discussion
PBpan25_10:218	_0	PA(PA)	
PBpan25_10:219	we	PP(PP)	we
PBpan25_10:220	agreed	VVD(VVD)	agree
PBpan25_10:221	er	UH(UH)	er
PBpan25_10:222	that	IN(IN)	that
PBpan25_10:223	er	UH(UH)	er
PBpan25_10:224	that	IN(IN)	that
PBpan25_10:225	some	DT(DT)	some
PBpan25_10:226	what	WP(WP)	what
PBpan25_10:227	what	WP(WP)	what
PBpan25_10:228	is	VBZ(VBZ)	be
PBpan25_10:229	the	DT(DT)	the
PBpan25_10:230	important	JJ(JJ)	important
PBpan25_10:231	mix	NN(NN)	mix
PBpan25_10:232	of	IN(IN)	of
PBpan25_10:233	er	UH(UH)	er
PBpan25_10:234	_0	PA(PA)	
PBpan25_10:235	what	WP(WP)	what
PBpan25_10:236	is	VBZ(VBZ)	be
PBpan25_10:237	this	DT(DT)	this
PBpan25_10:238	to	TO(TO)	to
PBpan25_10:239	support	VV(VV)	support
PBpan25_10:240	this	DT(DT)	this
PBpan25_10:241	target	NN(NN)	target
PBpan25_10:242	_0	PA(PA)	
PBpan25_10:243	er	UH(UH)	er
PBpan25_10:244	_0	PA(PA)	
PBpan25_10:245	there	EX(EX)	there
PBpan25_10:246	was	VBD(VBD)	be
PBpan25_10:247	a	DT(DT)	a
PBpan25_10:248	period	NN(NN)	period
PBpan25_10:249	when	WRB(WRB)	when
PBpan25_10:250	the	DT(DT)	the
PBpan25_10:251	a_[place6]	NP(NP)	
PBpan25_10:252	faced	VVD(VVD)	face
PBpan25_10:253	a	DT(DT)	a
PBpan25_10:254	sharp	JJ(JJ)	sharp
PBpan25_10:255	er	UH(UH)	er
PBpan25_10:256	exchange	NN(NN)	exchange
PBpan25_10:257	rate	NN(NN)	rate
PBpan25_10:258	appreciation	NN(NN)	appreciation
PBpan25_10:259	as	IN(IN)	as
PBpan25_10:260	a	DT(DT)	a
PBpan25_10:261	result	NN(NN)	result
PBpan25_10:262	of	IN(IN)	of
PBpan25_10:263	er	UH(UH)	er
PBpan25_10:264	_0	PA(PA)	
PBpan25_10:265	expecting	VVG(VVG)	expect
PBpan25_10:266	large	JJ(JJ)	large
PBpan25_10:267	privatization	NN(NN)	privatization
PBpan25_10:268	_0	PA(PA)	
PBpan25_10:269	er	UH(UH)	er
PBpan25_10:270	influx	NN(NN)	influx
PBpan25_10:271	_0	PA(PA)	
PBpan25_10:272	at	IN(IN)	at
PBpan25_10:273	er	UH(UH)	er
PBpan25_10:274	that	DT(DT)	that
PBpan25_10:275	time	NN(NN)	time
PBpan25_10:276	_0	PA(PA)	
PBpan25_10:277	we	PP(PP)	we
PBpan25_10:278	also	RB(RB)	also
PBpan25_10:279	were	VBD(VBD)	be
PBpan25_10:280	able	JJ(JJ)	able
PBpan25_10:281	to	TO(TO)	to
PBpan25_10:282	find	VV(VV)	find
PBpan25_10:283	_0	PA(PA)	
PBpan25_10:284	er	UH(UH)	er
PBpan25_10:285	er	UH(UH)	er
PBpan25_10:286	com-	XX(XX)	
PBpan25_10:287	_0	PA(PA)	
PBpan25_10:288	agreement	NN(NN)	agreement
PBpan25_10:289	between	IN(IN)	between
PBpan25_10:290	the	DT(DT)	the
PBpan25_10:291	central	NN(NN)	central
PBpan25_10:292	bank	NN(NN)	bank
PBpan25_10:293	and	CC(CC)	and
PBpan25_10:294	the	DT(DT)	the
PBpan25_10:295	ministry	NN(NN)	ministry
PBpan25_10:296	of	IN(IN)	of
PBpan25_10:297	finance	NN(NN)	finance
PBpan25_10:298	_0	PA(PA)	
PBpan25_10:299	about	IN(IN)	about
PBpan25_10:300	so-called	JJ(JJ)	so-called
PBpan25_10:301	privatization	NN(NN)	privatization
PBpan25_10:302	_0	PA(PA)	
PBpan25_10:303	account	NN(NN)	account
PBpan25_10:304	_0	PA(PA)	
PBpan25_10:305	er	UH(UH)	er
PBpan25_10:306	of	RB(RB)	of
PBpan25_10:307	course	RB(RB)	course
PBpan25_10:308	the	DT(DT)	the
PBpan25_10:309	technique	NN(NN)	technique
PBpan25_10:310	of	IN(IN)	of
PBpan25_10:311	er	UH(UH)	er
PBpan25_10:312	privatization	NN(NN)	privatization
PBpan25_10:313	account	NN(NN)	account
PBpan25_10:314	is	VBZ(VBZ)	be
PBpan25_10:315	er	UH(UH)	er
PBpan25_10:316	quite	RB(RB)	quite
PBpan25_10:317	er	UH(UH)	er
PBpan25_10:318	er	UH(UH)	er
PBpan25_10:319	simple	JJ(JJ)	simple
PBpan25_10:320	_0	PA(PA)	
PBpan25_10:321	it	PP(PP)	it
PBpan25_10:322	's	VBS(VBS)	be
PBpan25_10:323	er	UH(UH)	er
PBpan25_10:324	_0	PA(PA)	
PBpan25_10:325	it	PP(PP)	it
PBpan25_10:326	only	RB(RB)	only
PBpan25_10:327	means	VVZ(VVZ)	mean
PBpan25_10:328	that	IN(IN)	that
PBpan25_10:329	er	UH(UH)	er
PBpan25_10:330	the	DT(DT)	the
PBpan25_10:331	a_[place6]	NP(NP)	
PBpan25_10:332	er	UH(UH)	er
PBpan25_10:333	national	JJ(JJ)	national
PBpan25_10:334	central	NN(NN)	central
PBpan25_10:335	bank	NN(NN)	bank
PBpan25_10:336	er	UH(UH)	er
PBpan25_10:337	_0	PA(PA)	
PBpan25_10:338	buys	VVZ(VVZ)	buy
PBpan25_10:339	the	DT(DT)	the
PBpan25_10:340	currency	NN(NN)	currency
PBpan25_10:341	_0	PA(PA)	
PBpan25_10:342	and	CC(CC)	and
PBpan25_10:343	er	UH(UH)	er
PBpan25_10:344	_0	PA(PA)	
PBpan25_10:345	er	UH(UH)	er
PBpan25_10:346	the	DT(DT)	the
PBpan25_10:347	exchange	NN(NN)	exchange
PBpan25_10:348	rate	NN(NN)	rate
PBpan25_10:349	er	UH(UH)	er
PBpan25_10:350	_0	PA(PA)	
PBpan25_10:351	appreciation	NN(NN)	appreciation
PBpan25_10:352	as	IN(IN)	as
PBpan25_10:353	a	DT(DT)	a
PBpan25_10:354	result	NN(NN)	result
PBpan25_10:355	of	IN(IN)	of
PBpan25_10:356	this	DT(DT)	this
PBpan25_10:357	_0	PA(PA)	
PBpan25_10:358	is	VBZ(VBZ)	be
PBpan25_10:359	not	RB(RB)	not
PBpan25_10:360	er	UH(UH)	er
PBpan25_10:361	_0	PA(PA)	
PBpan25_10:362	er	UH(UH)	er
PBpan25_10:363	is	VBZ(VBZ)	be
PBpan25_10:364	not	RB(RB)	not
