EDwsd302:1	S1:	 er i'm studying english and spanish and my keywords are literature as well foreign students and amsterdam
EDwsd302:503	S17:	 the only thing i don't agree is that it's really a value because you also need food but it's not a value 
EDwsd302:504	S12:	 yeah 
EDwsd302:505	S18:	 but but security is something else if you don't have food you would definitely die without eating you would not definitely die without security if you like live live in an area where war's on 
EDwsd302:506	S17:	 yeah there is more into it 
EDwsd302:507	S18:	 you you migh- you might survive as well but i don't think it's a very it's a life really i mean i don't think it's a good life if you're constantly 
EDwsd302:508	S20:	 but okay i explain but you you should explain what you mean er e- equality 
EDwsd302:509	S12:	 xxx it's not a value something you you 
EDwsd302:510	S12:	 you develop your if you x yourself 
EDwsd302:511	S17:	 well 
EDwsd302:512	S12:	 and with tha- depend on how you define er freedom 
EDwsd302:513	S17:	 equality is equal rights and equal responsibility not some people feeling superior to other people 
EDwsd302:514	S12:	 you need to develop xx you need security okay
EDwsd302:515	S20:	 okay
EDwsd302:516	S18:	 yeah but i think 
EDwsd302:517	S12:	 good
EDwsd302:518	S12:	 hence you have freedom but this is not a value like freedom is something you need if you love something 
EDwsd302:519	S17:	 i think we can reach a compromise so let's just take it easy
EDwsd302:520	S12:	 i i i think it's xxxxx equality 
EDwsd302:521	S18:	 @ @@ you're not for the compromise 
EDwsd302:522	S17:	 @@
EDwsd302:523	SS:	 @@@@@
EDwsd302:524	S12:	 no and i i i i can say no to other thing but it- 
EDwsd302:525	S17:	 i i 
EDwsd302:526	S17:	 i have some i have some er doubts concerning equality people are never equal to be honest 
EDwsd302:527	S18:	 yeah 
EDwsd302:528	S18:	 right 
EDwsd302:529	S17:	 but 
EDwsd302:530	S18:	 initially i had democracy and equality and xxx but they erm 
EDwsd302:531	S17:	 yeah i think that equality can be included in democracy 
EDwsd302:532	S18:	 x 
EDwsd302:533	S12:	 @@@
EDwsd302:534	S18:	 yes 
EDwsd302:535	S12:	 no no way 
EDwsd302:536	S18:	 because and democracy is about somehow equal rights
EDwsd302:537	S17:	 yes democracy is equal rights for obligations
EDwsd302:538	S18:	 yeah so 
EDwsd302:539	S17:	 er i mean xx and de- er and democracy just cover equality so we can compromise about this
EDwsd302:540	S12:	 no no
EDwsd302:541	SS:	 @@@
EDwsd302:542	S12:	 no no no no i don't agree
EDwsd302:543	S18:	 i would say so 
EDwsd302:544	S17:	 so we can if we take this security we can leave it to the last place is it okay for you
EDwsd302:545	S12:	 and we will we will have
EDwsd302:546	S17:	 and we will leave out equality because freedom and democracy are 
EDwsd302:547	S12:	 no no 
EDwsd302:548	S17:	 very much endorse are very much about equality
EDwsd302:549	S12:	 no no no no no no way it's not 
EDwsd302:550	S18:	 i think that is something to do on- on the one hand in democracy
EDwsd302:551	S12:	 okay i there're democra- th- 
EDwsd302:552	S17:	 because democracy means equal rights after all 
EDwsd302:553	S12:	 there erm look at u s a there is democracy a- and there is no equality for example like may- maybe 
EDwsd302:554	S17:	 there is no country with equality
EDwsd302:555	SX-18:	 erm
EDwsd302:556	S12:	 er no i i didn't mean i don't er er no oh @@ that's not equality
EDwsd302:557	S17:	 maybe except china @@ except china but they don't really have democracy 
EDwsd302:558	S20:	 i i see this xx you 
EDwsd302:559	S12:	 i i mean equality not the same but er x x normal life not xxxx and 
EDwsd302:560	SX-f:	 which is the same 
EDwsd302:561	S18:	 and very xx 
EDwsd302:562	S12:	 because it's that is the case with democracy with kind of democracy and that is x- 
EDwsd302:563	S18:	 probably we should leave out democracy and and substitute it by equality then i think equality
EDwsd302:564	S20:	 xx are important 
EDwsd302:565	S20:	 i think de- democracy's more important i mean that 
EDwsd302:566	S18:	 because what he just said is completely right there might be and there are definitely countries where democracy is just you see a form but still i mean 
EDwsd302:567	S17:	 well in fact democracy is the only form of governing that general
EDwsd302:568	S18:	 this lacks a lot
EDwsd302:569	S17:	 no erm that x support such an requirement of tolerance and er no there are countries in which people have a certain degree of security but since there is no democracy they can't real tolerance towards o- otherness and no democracy is the only ki- form of governing that allows this kind of requirement
EDwsd302:570	S18:	 yeah 
EDwsd302:571	S12:	 yeah yeah yeah 
EDwsd302:572	S18:	 yah and there's such a different x 
EDwsd302:573	S12:	 you're right but 
EDwsd302:574	S12:	 it's they they are two values they are working together but they they are not the same value you have democracy and you have equality but to to xx equality you need some er xxxx our erm further or deeper democracy 
EDwsd302:575	S18:	 mhm i mean 
EDwsd302:576	S17:	 but i think that the sense of ju- er equality you have or is er more like your financial security you know 
EDwsd302:577	S12:	 like democracy er in the in the nineteenth century 
EDwsd302:578	S17:	 to be sure about 
EDwsd302:579	S12:	 democracies in the nineteenth century didn't have equality
EDwsd302:580	SX-17:	 if you want xx 
EDwsd302:581	S12:	 democracies in the nineteenth century 
EDwsd302:582	S18:	 yeah
EDwsd302:583	S12:	 didn't have equality 
EDwsd302:584	S18:	 if you want i mean i could i could if we agree that security is somehow the prerequisite we can agree erm to my mind to take equality as the fifth one
EDwsd302:585	S20:	 for me the same 
EDwsd302:586	S18:	 if you agree that it is not a value but that it is something people want to have at the basis of xx 
EDwsd302:587	S20:	 so we can er 
EDwsd302:588	S12:	 yeah of course 
EDwsd302:589	S17:	 so what is the suggestion
EDwsd302:590	S12:	 i want to have 
EDwsd302:591	S18:	 that we take equality 
EDwsd302:592	S17:	 equality 
EDwsd302:593	S12:	 so you agree right 
EDwsd302:594	S17:	 okay so you will have to explain it what do we mean by equality okay
EDwsd302:595	S20:	 xxxx 
EDwsd302:596	S12:	 we have to argue xx we take 
EDwsd302:597	S18:	 yeah yeah 
EDwsd302:598	S17:	 so let's let's take 
EDwsd302:599	S12:	 xxx 
EDwsd302:600	S17:	 now let's er let's rank them 
EDwsd302:601	S12:	 so once we find er 
EDwsd302:602	S20:	 by some number er 
EDwsd302:603	S17:	 so the first one is freedom okay
EDwsd302:604	S18:	 yeah
EDwsd302:605	S20:	 yeah 
EDwsd302:606	S12:	 i like er 
EDwsd302:607	S17:	 the second one was i think that tolerance is okay because i- i- it's first and it's third in our lists so 
EDwsd302:608	SX-18:	 i 
EDwsd302:609	S17:	 i think is tolerance is okay for the second place 
EDwsd302:610	S18:	 so it's the second all right
EDwsd302:611	S12:	 tolerance 
EDwsd302:612	S20:	 tolerance
EDwsd302:613	S17:	 second
EDwsd302:614	S18:	 cooperation now it says 
EDwsd302:615	S17:	 yeah i'm for cooperation
EDwsd302:616	S12:	 cooperation xx
EDwsd302:617	S20:	 yeah mhm 
EDwsd302:618	S18:	 all right 
EDwsd302:619	S17:	 then democracy or equality 
EDwsd302:620	S12:	 er 
EDwsd302:621	S20:	 equality first
EDwsd302:622	S12:	 equality
EDwsd302:623	S18:	 yeah
EDwsd302:624	S17:	 equality okay 
EDwsd302:625	S20:	 and 
EDwsd302:626	S18:	 and then 
EDwsd302:627	S17:	 democracy we are good 
EDwsd302:628	S18:	 all right @@@
EDwsd302:629	S17:	 it was not that hard to 
EDwsd302:630	S18:	 that was not that difficult yes @@
EDwsd302:631	S17:	 okay now let's join another quartet @@@
EDwsd302:632	S18:	 all right
EDwsd302:633	S17:	 are you ready are the four of you ready
EDwsd302:634	S18:	 all right
EDwsd302:635	S17:	 we can join other quartet now 
EDwsd302:636	S4:	 yeah 
EDwsd302:637	S17:	 are we correct 
EDwsd302:638	SS:	 yah 
EDwsd302:639	S20:	 so 
EDwsd302:640	S12:	 so
EDwsd302:641	S20:	 can we xxx 
EDwsd302:642	S17:	 er are you five of us oh we don't need six before @@@
EDwsd302:643	SX-4:	 no no no no then it goes only with ten 
EDwsd302:644	S17:	 i see oh it will be a xx discussion @@@@
EDwsd302:645	S4:	 you would 
EDwsd302:646	S17:	 okay 
EDwsd302:647	S4:	 yah 
EDwsd302:648	S12:	 okay we have four 
EDwsd302:649	SX-f:	 okay xx three 
EDwsd302:650	S18:	 all right should we read out ours 
EDwsd302:651	S17:	 let's read them and see which are the common ones
EDwsd302:652	SX-m:	 okay yeah that's good 
EDwsd302:653	SS:	 yeah 
EDwsd302:654	S17:	 so our group has agreed upon freedom first tolerance second 
EDwsd302:655	SX-m:	 what is this 
EDwsd302:656	SX-f:	 xx 
EDwsd302:657	SX-m:	 good okay 
EDwsd302:658	S17:	 er cooperation third equality number four number five participative democracy
EDwsd302:659	SX-f:	 xxxx 
EDwsd302:660	S17:	 participative democracy i mean that er not just as a form of democracy but democracy which people really influence xx make 
EDwsd302:661	S17:	 okay so let's hear the others let's hear the others
EDwsd302:662	S17:	 @@@
EDwsd302:663	SX-f:	 oh i mean xx is first second is xx third is xxxx erm fourth is dialogue 
EDwsd302:664	SX-f:	 is what
EDwsd302:665	SX-f:	 dialogue 
EDwsd302:666	S18:	 dialogue 
EDwsd302:667	SX-f:	 and fifth is ecology 
EDwsd302:668	S20:	 so i er 
EDwsd302:669	S18:	 all right
EDwsd302:670	S17:	 no nothing in common 
EDwsd302:671	S18:	 we we can agree on that cooperation er 
EDwsd302:672	S17:	 yeah the cooperation with dialogue
EDwsd302:673	S20:	 i would like to make er i'd like to er that we include er 
EDwsd302:674	SX-m:	 like solidarity equality 
EDwsd302:675	S17:	 let's let's hear the others i think that is another way
EDwsd302:676	S18:	 yes 
EDwsd302:677	SX-f:	 yes 
EDwsd302:678	SX-f:	 no no we are 
EDwsd302:679	SX-17:	 oh 
EDwsd302:680	SX-f:	 there're all xx other things
EDwsd302:681	S17:	 oh @@@@
EDwsd302:682	S20:	 i guess that we include 
EDwsd302:683	S18:	 that dialogue and coop- 
EDwsd302:684	SX-f:	 xx that
EDwsd302:685	S17:	 dialogue is cooperation i think 
EDwsd302:686	S18:	 do you agree that dialogue and cooperation 
EDwsd302:687	SS:	 are the same 
EDwsd302:688	S18:	 are the same that we can stick to that
EDwsd302:689	SX-f:	 yeah 
EDwsd302:690	SX-f:	 yeah 
EDwsd302:691	S17:	 so we have one
EDwsd302:692	S20:	 dialogue and cooperation is the same
EDwsd302:693	S17:	 let's c- 
EDwsd302:694	S18:	 and how do we call it now 
EDwsd302:695	SX-f:	 yeah @@@@
EDwsd302:696	S18:	 dialogue or cooperation
EDwsd302:697	S17:	 i think that cooperation includes dialogue and some xx 
EDwsd302:698	SX-7:	 cooperation is about a little more 
EDwsd302:699	S17:	 because 
EDwsd302:700	S18:	 higher somehow
EDwsd302:701	SX-f:	 yeah 
EDwsd302:702	S17:	 yeah cos cooperation is agree on something do it together 
EDwsd302:703	S18:	 yeah 
EDwsd302:704	S17:	 cos that would be first step of cooperation do you agree xx 
EDwsd302:705	S18:	 yeah
EDwsd302:706	SX-7:	 i do agree 
EDwsd302:707	SS:	 yeah 
EDwsd302:708	SX-18:	 it's the same as cooperation
EDwsd302:709	SX-f:	 so cooperation 
EDwsd302:710	SX-f:	 okay
EDwsd302:711	SX-12:	 that's okay
EDwsd302:712	SX-7:	 yeah i just did xx 
EDwsd302:713	S17:	 so now 
EDwsd302:714	S22:	 i think it was necessary to er pretty much x saying 
EDwsd302:715	SX-20:	 but 
EDwsd302:716	S22:	 xx my my voluntary or has it some more x 
EDwsd302:717	SX-7:	 the various 
EDwsd302:718	S17:	 our definition of equality is @ quite difficult to grasp 
EDwsd302:719	S22:	 x 
EDwsd302:720	SX-m:	 all right 
EDwsd302:721	S17:	 if we can explain it now 
EDwsd302:722	SX-f:	 no 
EDwsd302:723	SX-18:	 we leave that i agree with [S22] 
EDwsd302:724	SX-f:	 yeah
EDwsd302:725	SX-f:	 have solidarity 
EDwsd302:726	S17:	 to leave solidarity 
EDwsd302:727	S18:	 so- solidarity because that's the more xx at the moment of creating x 
EDwsd302:728	S20:	 but 
EDwsd302:729	S20:	 what you think about x 
EDwsd302:730	SX-12:	 it's okay 
EDwsd302:731	SX-7:	 yeah @@@
EDwsd302:732	S17:	 we can con- x are xx so important 
EDwsd302:733	S18:	 what i mean we can just say that our cooperations included first was also 
EDwsd302:734	S12:	 solidarity 
EDwsd302:735	S18:	 human relations because we mean- we talked about friendship and stuff before and then we we somehow found the subtitle of cooperation so probably we can still say that love is part of cooperation 
EDwsd302:736	S12:	 okay cooperation it's okay 
EDwsd302:737	SS:	 yeah 
EDwsd302:738	S18:	 because cooperation is not 
EDwsd302:739	SX-f:	 yeah 
EDwsd302:740	S18:	 only at a formal level but also on the interpersonal level 
EDwsd302:741	SX-7:	 no it is 
EDwsd302:742	SX-6:	 but i mean i can understand it but i don't agree in any way 
EDwsd302:743	S12:	 yeah 
EDwsd302:744	S20:	 yeah it's comparing xxx 
EDwsd302:745	S18:	 sharing intimate feelings xxx together with friends 
EDwsd302:746	S12:	 cooperation is bigger than love 
EDwsd302:747	S17:	 @@@@ hh 
EDwsd302:748	S12:	 i can cooperate with a friend or with a female friend 
EDwsd302:749	SX-f:	 yeah well @
EDwsd302:750	S12:	 and then i x cooperate in a people with er 
EDwsd302:751	S17:	 and i think i- j- it's also er in interpersonal relation tolerance is even more important because you might not love your 
EDwsd302:752	S18:	 sexy 
EDwsd302:753	S18:	 @@
EDwsd302:754	S12:	 @@@
EDwsd302:755	S17:	 the person next to you but you if you respect him or her 
EDwsd302:756	SX-7:	 okay so l- let's just okay 
EDwsd302:757	SX-6:	 okay mutual tolerance 
EDwsd302:758	SX-6:	 is it standard x enough
EDwsd302:759	S17:	 you would still have other relations
EDwsd302:760	SX-m:	 @
EDwsd302:761	SX-7:	 @@
EDwsd302:762	SX-m:	 they are not understanding understanding tolerance @@
EDwsd302:763	SX-f:	 if your x is respecting 
EDwsd302:764	SX-f:	 @@@@
EDwsd302:765	SX-f:	 respect and tolerance 
EDwsd302:766	S12:	 it's it's so elastic 
EDwsd302:767	SX-f:	 you have tolerance 
EDwsd302:768	S18:	 respect 
EDwsd302:769	SX-m:	 tolerant wi- with xx @@
EDwsd302:770	S19:	 yeah we have respect 
EDwsd302:771	S18:	 yeah 
EDwsd302:772	SX-f:	 oh no 
EDwsd302:773	S19:	 or or it was our y- our 
EDwsd302:774	SX-f:	 yes xxx 
EDwsd302:775	S19:	 all right the first one 
EDwsd302:776	S18:	 xx first 
EDwsd302:777	SX-m:	 should we going erm 
EDwsd302:778	S17:	 but you cannot want the xx 
EDwsd302:779	SX-7:	 because we have two spots so how about xxxxx 
EDwsd302:780	S17:	 yeah some people do but er @@
EDwsd302:781	SX-f:	 either or 
EDwsd302:782	S18:	 what kind do you have
EDwsd302:783	SX-6:	 if there was something which with love and then something with interpersonal 
EDwsd302:784	SX-7:	 my x is got xx 
EDwsd302:785	SX-f:	 what was everybody inside and it changes him you know and that's 
EDwsd302:786	SX-f:	 very individual 
EDwsd302:787	SX-f:	 xx numbers 
EDwsd302:788	SX-f:	 we change as every individual it's not like wow of the whole nation or so it's just 
EDwsd302:789	S18:	 mhm 
EDwsd302:790	S17:	 or i think that love is too complicated an issue so let's move to the the other one and then leave love for then and 
EDwsd302:791	S18:	 i feel that love is part of cooperation because cooperation is interpersonal x that 
EDwsd302:792	S20:	 yah 
EDwsd302:793	S18:	 somehow work together in a way if you love somebody 
EDwsd302:794	S17:	 so so far we have cooperation and solidarity let's move on 
EDwsd302:795	S19:	 yeah i i i st- 
EDwsd302:796	S12:	 it's not a value maybe it's a it's a practical
EDwsd302:797	SX-m:	 value 
EDwsd302:798	S19:	 no but i i totally agree with in that sense that it's a
EDwsd302:799	SX-f:	 but this can be a value xxx 
EDwsd302:800	S19:	 actually i i started from more like a sorry i started a more like a broader kind of erm respect i know that w- you need something that x you don't burn everything like in a er er i i started from that kind of s- er word like sustainability but you don't er er like use your own energy like 
EDwsd302:801	SX-m:	 okay 
EDwsd302:802	SX-7:	 if you're like a workaholic and you xxx xxx it gets burn x then i thought well actually you know erm because sustainable er 
EDwsd302:803	SX-17:	 develop 
EDwsd302:804	SX-19:	 development it sounds more like a like in an ecological sense that you you don't because your cooperation might be all er xxxxx 
EDwsd302:805	S18:	 so it's a step further when it comes to the xx 
EDwsd302:806	SX-f:	 well it's kind of yeah 
EDwsd302:807	S19:	 xx the meaning of 
EDwsd302:808	S18:	 mhm 
EDwsd302:809	S19:	 xx 
EDwsd302:810	S18:	 mhm 
EDwsd302:811	S18:	 exactly there's a point point somehow if you don't restrict yourself only thinking about your xx but xx 
EDwsd302:812	SX-f:	 yeah 
EDwsd302:813	S18:	 xxxx it's like that feeling that these are things which xx xx nowadays now own xxx xx 
EDwsd302:814	S22:	 but isn't the word sustainability a bit er xxx awareness xxx 
EDwsd302:815	S18:	 it's bolder exactly 
EDwsd302:816	S22:	 yah 
EDwsd302:817	SX-f:	 you are ready to negotiate
EDwsd302:818	S17:	 no 
EDwsd302:819	S15:	 no they're not ready yet just make it a little bit easier in the last round please if you have your five proper values pick two persons who's who are gonna negotiate for your group four or five values okay and then you get together with six persons and xxxxx so 
EDwsd302:820	S17:	 it will be much easier @@
EDwsd302:821	S15:	 yeah it will be easy because now the group is getting too fixed 
EDwsd302:822	S18:	 yeah 
EDwsd302:823	S15:	 yeah
EDwsd302:824	S18:	 all right
EDwsd302:825	S15:	 but take it easy you have xx 
EDwsd302:826	S17:	 we're already curious 
EDwsd302:827	S18:	 what xx sus- sustainability xx all include 
EDwsd302:828	S20:	 yah 
EDwsd302:829	S18:	 the term to your mind 
EDwsd302:830	S17:	 erm xx xx 
EDwsd302:831	S19:	 i think it's quite an european xx you don't use the the old generation x er doesn't live in the sense in a way that it er doesn't stay with the next xxx 
EDwsd302:832	S17:	 i think that there is a point in eco- in ecology because er in order to survive we need to keep our planet otherwise democracy xxx 
EDwsd302:833	SX-m:	 okay 
EDwsd302:834	S18:	 but yes yes yes but a- and and i mean two people said cos they notice probably the er bro- boarder term it includes more probably 
EDwsd302:835	S22:	 yes okay x say that's not just nature that's not to be er deployed but all resources that are not to be deployed 
EDwsd302:836	S18:	 xxx 
EDwsd302:837	S18:	 mhm 
EDwsd302:838	S19:	 also 
EDwsd302:839	S22:	 er 
EDwsd302:840	S19:	 like human 
EDwsd302:841	S18:	 it's also the state i mean the financial resources and stuff 
EDwsd302:842	S22:	 yeah 
EDwsd302:843	S22:	 and human resources
EDwsd302:844	SX-m:	 xxx 
EDwsd302:845	S18:	 exactly
EDwsd302:846	SX-f:	 yeah 
EDwsd302:847	S17:	 human resources to be called 
EDwsd302:848	S18:	 the idea that you only use it for your 
EDwsd302:849	SX-f:	 xxx explain 
EDwsd302:850	S17:	 just speak up
EDwsd302:851	S18:	 it's about the idea in in in many aspects that you do not only focus on your generation but that you think further that you also 
EDwsd302:852	S17:	 yeah yeah
EDwsd302:853	S18:	 keep something for those who come after you
EDwsd302:854	S17:	 i see i see
EDwsd302:855	SX-f:	 i think it's important to include that 
EDwsd302:856	S18:	 but did because th- it's part of the word 
EDwsd302:857	SX-19:	 i like sustainable development that's their kind of concept for that 
EDwsd302:858	S17:	 yeah
EDwsd302:859	S19:	 xxxx 
EDwsd302:860	S17:	 this is norwegian i mean @@@
EDwsd302:861	S18:	 sorry
EDwsd302:862	S17:	 xx sustainable development xxxx goes via a norwegian prime minister
EDwsd302:863	S19:	 ah okay 
EDwsd302:864	SX-f:	 yeah 
EDwsd302:865	SX-f:	 it might be 
EDwsd302:866	S17:	 okay let's let's put it try er this way and then we can just discuss if we have we have problems with it 
EDwsd302:867	S19:	 yeah 
EDwsd302:868	S17:	 and what do you think about our tolerance which we really insist on
EDwsd302:869	SX-f:	 which one 
EDwsd302:870	S17:	 tolerance 
EDwsd302:871	S18:	 @@@@ which we really insist on so we @@@
EDwsd302:872	S17:	 @@
EDwsd302:873	SX-5:	 i i 
EDwsd302:874	S18:	 accept it 
EDwsd302:875	S17:	 no what do you think @@
EDwsd302:876	SX-19:	 yes i like it
EDwsd302:877	S17:	 hh 
EDwsd302:878	SX-f:	 xxxxx 
EDwsd302:879	SX-7:	 do you have both tolerance and equality 
EDwsd302:880	SX-14:	 the same humanity 
EDwsd302:881	SX:	 xx 
EDwsd302:882	SX-7:	 because we kind of thought before we will it was just the two of us that we take xx it goes together in a way 
EDwsd302:883	S18:	 mhm 
EDwsd302:884	SX-6:	 for me it goes within respect you
EDwsd302:885	SX-f:	 yes yeah 
EDwsd302:886	S19:	 so which one 
EDwsd302:887	S18:	 but respect is toler- i mean that's the same 
EDwsd302:888	S17:	 respect is tolerance 
EDwsd302:889	SX-6:	 it dep- depends 
EDwsd302:890	S17:	 you have to respect the person around to be tolerant
EDwsd302:891	SX-12:	 x respect 
EDwsd302:892	SX-f:	 i can read the x perhaps even more 
EDwsd302:893	SX-12:	 xxx 
EDwsd302:894	S19:	 x i might be tolerant but might er not be that interested
EDwsd302:895	SX-f:	 tolerance in some way 
EDwsd302:896	S19:	 we we can just now leave it in a way you are right 
EDwsd302:897	SX-f:	 yeah i can respect that you are x somehow more involved yah
EDwsd302:898	S20:	 is but normal decision x tolerance 
EDwsd302:899	S17:	 i mean that one cannot i mean that we should be tolerant to acc- to accept otherness to find 
EDwsd302:900	SX-f:	 can i 
EDwsd302:901	S18:	 oh sorry 
EDwsd302:902	SX-f:	 cooperations so xxx 
EDwsd302:903	S12:	 poah it's impossi- it's so fucking funny 
EDwsd302:904	S23:	 i know we could find find xxx currency russian xx one thousand lei is one rouble 
EDwsd302:905	S12:	 yes i know 
EDwsd302:906	S23:	 so it's like 
EDwsd302:907	S9:	 one thousand xx is like 
EDwsd302:908	S23:	 xx yeah it's romanian currency and it's one rouble 
EDwsd302:909	S9:	 yes 
EDwsd302:910	S9:	 yeah this is is i know
EDwsd302:911	S9:	 lek er er erm in albania is lek
EDwsd302:912	S23:	 lek
EDwsd302:913	S12:	 no in romania lei 
EDwsd302:914	S9:	 but i don't know 
EDwsd302:915	S23:	 no it's in albania 
EDwsd302:916	S9:	 in xxxx 
EDwsd302:917	S12:	 albania
EDwsd302:918	S9:	 yeah
EDwsd302:919	S23:	 yeah 
EDwsd302:920	S12:	 is lek lek means xx
EDwsd302:921	S9:	 but er 
EDwsd302:922	S12:	 we have all common ancestors 
EDwsd302:923	S9:	 yeah 
EDwsd302:924	S12:	 yazyg
EDwsd302:925	S9:	 yes 
EDwsd302:926	S12:	 the albanians and romanians x 
EDwsd302:927	SX-m:	 yes 
EDwsd302:928	S9:	 yes 
EDwsd302:929	S12:	 from xxxx until albania which was a good xxxx x 
EDwsd302:930	S23:	 what about 
EDwsd302:931	S23:	 moldavian people 
EDwsd302:932	S12:	 what
EDwsd302:933	S16:	 mol- moldavian people xxxx 
EDwsd302:934	S12:	 moldavian people are romanians they speak romanians but after the
EDwsd302:935	S23:	 yeah you know and it's like x at the same language
EDwsd302:936	S12:	 stalin took a took a 
EDwsd302:937	S9:	 @@
EDwsd302:938	S12:	 yeah the same x x the same language
EDwsd302:939	S23:	 @@
EDwsd302:940	S12:	 is like er lingua franca in the united states english 
EDwsd302:941	SS:	 @@@
EDwsd302:942	S12:	 something like this
EDwsd302:943	S23:	 x xx x x the next one [S12] 
EDwsd302:944	S12:	 but are 
EDwsd302:945	S23:	 romanian 
EDwsd302:946	S12:	 but 
EDwsd302:947	S23:	 as a lingua franca @@@
EDwsd302:948	S12:	 er look er th- the the [S3] from belgium 
EDwsd302:949	S9:	 in a recent 
EDwsd302:950	S12:	 it's a romanian also @
EDwsd302:951	S9:	 he's romanian
EDwsd302:952	S12:	 yes well 
EDwsd302:953	S9:	 is romanian
EDwsd302:954	S12:	 we found out yesterday @
EDwsd302:955	S9:	 who is romanian 
EDwsd302:956	S12:	 [S3] [S3] 
EDwsd302:957	S23:	 from 
EDwsd302:958	S9:	 oh 
EDwsd302:959	S12:	 he's from belgium 
EDwsd302:960	S18:	 but freedom is not necessary erm we've got three by now two more
EDwsd302:961	S4:	 two more okay but remember that maybe s- if you decide to eliminate a value it could be brought up by another group so it's
EDwsd302:962	SX-f:	 @
EDwsd302:963	S4:	 it's not gone forever if you know what i mean 
EDwsd302:964	SS:	 @@@@@
EDwsd302:965	SX-f:	 yes 
EDwsd302:966	S17:	 but th- this doesn't sound very optimistic @
EDwsd302:967	S18:	 i would 
EDwsd302:968	S17:	 step back 
EDwsd302:969	SX-f:	 okay so what you would you xxxxxxx 
EDwsd302:970	S18:	 i would make something of respect and tolerance
EDwsd302:971	SX-m:	 okay 
EDwsd302:972	S9:	 is er in romania there are a lot of people that speaks 
EDwsd302:973	S12:	 yeah about six million so canada ten millions in u s a 
EDwsd302:974	S9:	 russian 
EDwsd302:975	S12:	 yeah 
EDwsd302:976	SX-23:	 really
EDwsd302:977	S9:	 yes 
EDwsd302:978	SX-m:	 you know them
EDwsd302:979	S9:	 no i don't know erm 
EDwsd302:980	S12:	 but the romanian there are don't speak japanese 
EDwsd302:981	S9:	 they're speaking french and castilian a bit of spanish but russian has erm but there are many people that er 
EDwsd302:982	S12:	 there are chinese 
EDwsd302:983	S12:	 in the region 
EDwsd302:984	S12:	 no romanians they speak chinese they xxxx 
EDwsd302:985	S9:	 xxx russia
EDwsd302:986	S18:	 shall we do democratic 
EDwsd302:987	S17:	 vote 
EDwsd302:988	S18:	 vote @@@
EDwsd302:989	S17:	 is it for respect
EDwsd302:990	SX-f:	 xx yeah 
EDwsd302:991	S18:	 but you can stay out of it as well in democracy can't you 
EDwsd302:992	SS:	 @@@@@ @@@
EDwsd302:993	S17:	 okay who is who is for tolerance 
EDwsd302:994	S19:	 for tolerance then 
EDwsd302:995	SX-6:	 tolerance tolerance
EDwsd302:996	SX-6:	 er what you you can xxx 
EDwsd302:997	S17:	 some some some of you are not voting 
EDwsd302:998	SS:	 @@@
EDwsd302:999	SX-m:	 we are at xx 
EDwsd302:1000	S18:	 in democracy you can 
EDwsd302:1001	SS:	 @@@
EDwsd302:1002	S17:	 ah no no no no no no
EDwsd302:1003	S18:	 i don't mind i think both 
EDwsd302:1004	S17:	 it's not gonna work this way @@ we don't have majority anyway
EDwsd302:1005	S19:	 so in essence 
EDwsd302:1006	S17:	 fifty per cent plus one one
EDwsd302:1007	SX-f:	 er 
EDwsd302:1008	SX-f:	 we must respect having quite xxxx cos we 
EDwsd302:1009	SX-f:	 respect is 
EDwsd302:1010	SX-f:	 yeah 
EDwsd302:1011	S18:	 why but say say say again why do you think we should why do you think respect is more than tolerant 
EDwsd302:1012	SX-f:	 no i'm not saying xx more than tolerant xx not saying xx word respect and everything in another in the other and that makes xxx 
EDwsd302:1013	SX-6:	 respect is more than that 
EDwsd302:1014	SX-f:	 but x you think xxx 
EDwsd302:1015	S18:	 that still because you can put you can apply respect for nature and stuff 
EDwsd302:1016	S17:	 but we have sustainable development which includes the issue of nature
EDwsd302:1017	SX-6:	 but how how why xxxxx 
EDwsd302:1018	SX-16:	 respect is is inside of tolerant you are tolerant if you show respect 
EDwsd302:1019	S18:	 all right you can be what you wanna be but respect is also acceptance
EDwsd302:1020	SX-7:	 xx 
EDwsd302:1021	SX-7:	 so you xx 
EDwsd302:1022	S17:	 we have freedom 
EDwsd302:1023	S18:	 and democracy
EDwsd302:1024	S17:	 we can freedom and 
EDwsd302:1025	SS:	 equality
EDwsd302:1026	S18:	 and democracy these are ours 
EDwsd302:1027	SX-16:	 tolerance means more xxxxx 
EDwsd302:1028	S12:	 i don't like the pronouncing like the pronunciation 
EDwsd302:1029	S9:	 i don't like english in general
EDwsd302:1030	S12:	 or something like that
EDwsd302:1031	S12:	 pronu- 
EDwsd302:1032	S23:	 pronunciation 
EDwsd302:1033	SX-m:	 xx 
EDwsd302:1034	S9:	 you know i don't like xx xx in general 
EDwsd302:1035	S12:	 i feel like i'm i'm eating my tongue 
EDwsd302:1036	SX-3:	 what about american pronunciation xx @@@
EDwsd302:1037	S9:	 xxx 
EDwsd302:1038	S12:	 xxx more and more better than just x @ is like b b c 
EDwsd302:1039	S9:	 @@@@
EDwsd302:1040	SX-m:	 good morning
EDwsd302:1041	S9:	 xx 
EDwsd302:1042	S23:	 hello how are you 
EDwsd302:1043	S12:	 how are you 
EDwsd302:1044	S23:	 how are you
EDwsd302:1045	S9:	 hello 
