POmtg546:1	SX-7:	 will you be at the [org3] meeting next week
POmtg546:243	SS:	 @@@@@@@@@@@@@@
POmtg546:244	S8:	 it's your problem 
POmtg546:245	SX-f:	 hm 
POmtg546:246	S4:	 hm 
POmtg546:247	S8:	 in europe it would not be just your problem because you have all those mechanisms so hh er hh and er 
POmtg546:248	S4:	 hm 
POmtg546:249	S8:	 well another point i i told one fairy tale about about qualifications frameworks and then er er that hh but there there is also another one and if if we could hh could er kind of formulate a common understanding on that hh you see in the r- recognition circles er especially a couple of years ago immediately after [place5] conference we often heard from quality assurance side that okay guys two years and you lose your jobs basically hh we are not so much afraid about our jobs but we are a little bit afraid that 
POmtg546:250	SX-m:	 hm 
POmtg546:251	S8:	 the collective knowledge of the european higher education systems which is in the [org1] [org2] hh it is and will be valuable because you cannot otherwise and hh i think what we are talking about today hh it just underlines that quality is one aspect very important aspect but you still have to dig on i- into those hh erm educational systems hh unfortunately the those wordings also reach the commission and commi- commission view you know is somehow ele- er connected to the sex of money and and different kinds of support hh so if we understand each other in that way it would not be bad if we could formulate it somehow that hh th- th- that we all understand that quality assurance is a is of help but it will not solve all the recognition problems and it cannot hh 
POmtg546:252	SX-f:	 hm 
POmtg546:253	S8:	 thank you 
POmtg546:254	S1:	 yes we are we are necessary but not sufficient yes we know that @@@@
POmtg546:255	SS:	 @@@@@@@@@
POmtg546:256	S8:	 it was not to remind you @@
POmtg546:257	SS:	 @@@@
POmtg546:258	S8:	 but unfortunately @@ th- there are more people around @ than @
POmtg546:259	S1:	 yah 
POmtg546:260	S1:	 yah 
POmtg546:261	S1:	 oh good i mean it's 
POmtg546:262	S1:	 i mean se- seen from from the recognition perspective we are a means to the ends which you must achieve that's very obvious and er 
POmtg546:263	SX-m:	 hm 
POmtg546:264	S1:	 i think we we all recognize that hh and [S8] i can only subscribe to your analysis of europe versus the rest of the world and er it's erm makes my and i guess yours attendance of some of these international meetings some what of a 
POmtg546:265	SX-m:	 hm 
POmtg546:266	S1:	 hh a walk in the desert but er 
POmtg546:267	SS:	 @@@@ @@
POmtg546:268	S1:	 that's part of the job that's part of the job i guess hh but i mean in a sense we have had this argument in in in [org3] as well i mean we are doing in a european sense a fairly good act should we perhaps concentrate on making that really good and then sort of expand hh er that could be an argument [S4] 
POmtg546:269	S4:	 hh i mean i definitely do- don't want to push the issue about looking to to other countries but i was more thinking about hh finding some suggestions for practices not in terms of the whole system and i don't think we can find the solutions but i was thinking more about the x hh the linkage between quality assurance and recognition and hh an- an- and the other interrelated activities so it was very specific and not in terms of of finding something a better system to to but but looking at at specifics 
POmtg546:270	SX-6:	 hm 
POmtg546:271	S4:	 sometimes that that that can be a good idea but definitely let it rest x but er thinking about the qualification framework definitely i mean it is moving forward er faster than i think any of us could ever have imagined when we met in [place8] a little more than a hh a year ago and hh and i think o- o- one of the the
POmtg546:272	S7:	 hm 
POmtg546:273	S7:	 hm 
POmtg546:274	S4:	 one of the advantages of the qualification frameworks if it comes into eff- effect in in in a hh in a in a good way and in an efficient way is that it it it is supposed to link the national and the european level hh and it will be mo- more detailed than the traditional curriculum way of of hh of steering a higher education xxx it will be more concrete hh if we managed to find because we have a language problem hh er now that we have a a a language student with us as well 
POmtg546:275	SX-6:	 @@@
POmtg546:276	S4:	 we will have a language problem when it comes to defining the qualifications in 
POmtg546:277	SX-f:	 xx 
POmtg546:278	SX-m:	 hm 
POmtg546:279	S4:	 terms that we'll all understand we shouldn't forget that hh but the point i really wanted to make was hh that we shouldn't 
POmtg546:280	SX-m:	 hm 
POmtg546:281	SX-6:	 hm 
POmtg546:282	S4:	 i mean it it's it's dangerous to think that qualification frameworks will make the quality assurance issue easier i think it'll it'll it'll be just as complicated as what we're talking about now 
POmtg546:283	SX-6:	 hm 
POmtg546:284	S8:	 n-n 
POmtg546:285	S8:	 mhm no no no @@
POmtg546:286	S7:	 it it it's the other way round 
POmtg546:287	S4:	 yah 
POmtg546:288	SX-m:	 xxxx xx 
POmtg546:289	S7:	 qualifications or in quality assurance will make qualifi- help make qualification frameworks feasible because it's one of the elements that go into the qualifications framework yeah 
POmtg546:290	S4:	 it's 
POmtg546:291	S4:	 yah yah but but it's still er it's still hh i mean i i think it's probably complicated at the same level just in another way 
POmtg546:292	S7:	 hm 
POmtg546:293	SX-m:	 yah 
POmtg546:294	SX-m:	 hm 
POmtg546:295	S4:	 in terms of when we are talking resources er and so forth making it happen 
POmtg546:296	S1:	 hh but 
POmtg546:297	S1:	 mhm 
POmtg546:298	SX-10:	 mhm 
POmtg546:299	S4:	 i think probably the the the exercise in itself will be easier because we'll have hh some of the criteria that we don't have today 
POmtg546:300	S1:	 mhm 
POmtg546:301	SX-f:	 hm 
POmtg546:302	S1:	 yah 
POmtg546:303	S4:	 but in terms of actually making this happen in a feasible way with the resources that are available 
POmtg546:304	S1:	 yah 
POmtg546:305	S4:	 that'll be complicated 
POmtg546:306	S1:	 but 
POmtg546:307	S1:	 but i mean @ basically if if y- i would invite you once again to look at the u s experiences hundred years old as they are hh because as to sit listening in on on the american discussion as i do once a year in er the c- annual conference of the the the the council for higher education accreditation it's obvious that they've been concentrating all these years on what they call input which is more or less what we would call the context 
POmtg546:308	SX-6:	 hm 
POmtg546:309	S1:	 financing funding physical x but not on the output with all things equal is what we're discussing n- now in terms of qualifications hh and as you look around europe 
POmtg546:310	SX-m:	 hm 
POmtg546:311	SX-m:	 hm 
POmtg546:312	S1:	 sad enough the same goals for a lot of quality assurance operations in europe that they have not been output-oriented or we have all considered i think in the starting off phase that to be the difficult part of it and sort of push it a little ahead 
POmtg546:313	S3:	 @
POmtg546:314	SX-m:	 @@
POmtg546:315	S1:	 er so it's so nice to hear the great expectations of the quality assurance system but actually the quality assurance sy- assurance system has to move up one level in terms of operations in quite a number of er of national cases as another interesting part of it 
POmtg546:316	SX-6:	 hm 
POmtg546:317	SX-m:	 hm 
POmtg546:318	S1:	 hh and as [S9] and i discussed er this morning i mean we we can make all the membership criteria we wish for f- for [org3] members but how do we handle this very essential dimension which is do national agencies actually fig- focus on what's important in the ongoing process of identifying credentials and qualifications hh teaching learning output whatever we'll call it that's the major challenge for us actually hh so in that sense i'm sure we need the inspiration we get from each other from er discussing these er very difficult issues hh yes any more comments on er on what this xxxx er because elsewise i suggest we you [S7] 
POmtg546:319	S7:	 hh well i d- i don't know whether we're still on item two but hh i think one of the 
POmtg546:320	S4:	 @
POmtg546:321	S7:	 challenges is also erm erm what you said about input i think is also true for the recognition community i mean we have been looking at things like er years of study et cetera which 
POmtg546:322	S1:	 mhm 
POmtg546:323	S1:	 yah 
POmtg546:324	S1:	 yah 
POmtg546:325	S7:	 incidentally is one er you know fo- for somebody whose recognition application is turned down is one of the arguments that they actually find easiest to accept hh @@ but it's not it doesn't say that much hh the other 
POmtg546:326	S1:	 yah 
POmtg546:327	S7:	 challenge is how do we translate these discussions into terms that can be communicated to people who are less involved with the discussions i'm thinking 
POmtg546:328	S1:	 mhm 
POmtg546:329	S7:	 not least about many of the countries in the bologna process who have been less actively involved in this whose representation in the follow-up group has been marked by a quite high turnover and whose national bodies may not be as attuned to this kind of discussion's principle 
POmtg546:330	S1:	 mhm 
POmtg546:331	S7:	 i mean these countries also need to implement this 
POmtg546:332	S1:	 mhm 
POmtg546:333	S7:	 and we need to convey you know whatever comes after the qualifications framework whatever comes after the quality assurance systems whatever comes after the more advanced methods of recognition also to the rest of the countries who have not been as intimately involved in these discussions and this is perhaps not the least of the challenge we're faced with 
POmtg546:334	S1:	 yah 
POmtg546:335	S1:	 yah yes but er that's @
POmtg546:336	S7:	 @@
POmtg546:337	S1:	 another challenge for sure 
POmtg546:338	S7:	 @@
POmtg546:339	S1:	 well i think we should move on to the second item because er we have been i think er 
POmtg546:340	S7:	 hm 
POmtg546:341	S1:	 doing what we should on er hh item two er and the third item is the positions towards the [place4] mandate of quality assurance which could in the light of the last half hour also have been a [place4] mandate of er recognition hh er but i'm sure the [org1] [org2] colleagues would be able to take that into consideration hh but once again starting off er with [org3] er as you i guess all know we we got er the mandate from the ministers to erm to set up er to pro- to provide the report for [place6] in terms of er hh standards er of er quality assurance of er higher education and er peer review of er of agencies hh and er we were asked to do this er through our [org3] members and in er cooperation with er the universities er [org7] and er [org8] and of course as i said in my welcome with hh due account taken of the expertise in other networks and organizations hh so er we have been on that since er early october it's er hh been a fairly intensive er process we did actually start er by having discussions in this [org9] or quadripartite forum on a way of organizing this work and the suggestion we came up with was that we set up two working groups surprise surprise one for each of these two elements o- o- of the [place4] mandate 
POmtg546:342	SX-m:	 hm 
POmtg546:343	S1:	 hh and then we had our members and er in could the er also have representatives of er [org10] [org7] and er [org8] but that didn't work out er at the end of the day or at the end of the month it was very clear that hh the three other organizations er didn't wish to hh to sit in in er in in working groups er which they felt would be dominated by by [org3] members and preferred to set up their own systems of er of working groups hh this in my mind was not perhaps the most fortunate er development on the other hand we had to stick to the point that we had been invited to have our members in on the process and concerning the specifications of the mandate er hh we we we did argue that s- several of our member agencies did have a lot of professional expertise @ exactly i- in in this field 
POmtg546:344	S4:	 hm 
POmtg546:345	S1:	 but er it xx and er so er [org3] concentrated on er on on two working groups and then we have had these what four five meetings er in in the [org9] er context er where we have discussed hh erm the process as er as it developed but what i'll do here is basically to concentrate on the preliminary results of the of the working groups i'll talk about the first working group which is the peer review of agencies which i'm chairing and [S9] will follow up with er the second working group on er quality standards which he is chairing hh but we in the terms of references we set up er we asked er this working group for one thing to go through the membership criteria and er hh look into the possibility of making them tighter and transferring them into something more alike a code of practice and not least to be the necessary background or criteria for reviews of of agencies hh er secondly we we were asked in the working group to set up hh some er mechanisms for internal quality assurance of agencies a process which actually started earlier in [org3] and thirdly to make more detailed the process of external reviews of agencies and finally to argue some kind of road for [org3] and other s- stakeholders in establishing a so-ca- what we call sort of a european metacapacity and if this so- sounds vague to you i'll explain in a moment what what the idea was hh so the membership criteria er have become tighter er not that more detailed but definitely tighter we ask members to have a clear mission statement er hh to specify the external quality assurance er focus and an- and xx of the official status hh er there's a considerable focus on the independence of the agency and how that's going to be set up in operational terms er for for the members a good old eternal question for agencies are you really independent hh 
POmtg546:346	SX-m:	 hm 
POmtg546:347	S1:	 er the methodology is still specified in terms of the self-assessment er xx public report er dimension 
POmtg546:348	S1:	 but this means that 
POmtg546:349	SX-m:	 hm 
POmtg546:350	S1:	 we have members of course who have never sort of been scrutinized in the way in which we now look at new members and i personally find it not very credible that as new bologna signatories come in they get go through a very strict admission procedure whereas we have a number of present members who have never had the pleasure 
POmtg546:351	SX-11:	 mhm 
POmtg546:352	S1:	 so 
POmtg546:353	S1:	 we'll make that sort of a more equal 
POmtg546:354	SX-m:	 hm 
POmtg546:355	S1:	 an- an- an- and just process but how the membership will react to the fact that they are all are not going to use that term that they are all demoted 
POmtg546:356	SX-m:	 hm 
POmtg546:357	S1:	 in a sense to candidate status that's going to be 
POmtg546:358	SX-m:	 hm 
POmtg546:359	SX-f:	 hm 
POmtg546:360	S1:	 fairly interesting se- several of you would be able to share my my er my feelings at the moment of hh introducing this hh th- the next point is slightly more difficult because i mean there there's no we we and or i should add in the case when a mem- an agency does not after review or after have been xx by the board's admission er a group does not meet the membership criteria there'll be a one two three year probation period for whatever er the non-meeting of criteria er i- is concerned and after that hh that period there'll be a a a a new a new hh look at er at the agency hh but the final thing i'll mention to that i- is the sort of metaeuropean capacity and you can well ask as [S9] [S9/last] repeatedly asked me what should we do with a metaeuropean capacity but it's it is out there it's a very strong part of the platform of the other four three es that there must be in some way a construction where university students er other stakeholders are have a representative dimension in in relation to what we are doing in in the quality er assurance network hh and as i understand it and my own meetings in in the bologna follow-up group this is a widely shared sentiment among several of of the of the government representatives that part of the idea of this peer review is a broader stakeholder involvement hh so what what we are coming up with and er wi- will in some form or other er finally to be decided in in a meeting in the work group tomorrow hh is a construction where we have a group wi- with members er with representatives from [org10] [org7] and [org8] possibly other stakeholders possibly the commission hh er and this group will have the c- occasion t- to give one example to comment on the reviews so hh if the danish agency has been reviewed and there is the necessary public report it will be possible for this group to comment on the report and xxx this group's suggestions in terms of follow-up on the report hh this personally i think is is a fair way of er moving them in on our hh way of thinking and doing things without transferring some kind of sanctionary power to to x the construction which i think would be difficult to handle in er the practicalities we we'll find ourselves in hh but it it's er probably the most complicated part is of it is to set up some kind of hh as i tried to use the term metaeuropean construction give it some operationality but at the same t- time hh not run the risk of providing it with a very low credibility because most of the essential decisions in issues concerning agencies and their future or non-future will be taken at a national level i mean that's a fact i'm sure we cannot escape 
POmtg546:361	S4:	 hm 
POmtg546:362	S1:	 hh fo- for quite er a number of years so that's as we are going to er present the preliminary results when we have discussed this in the general assembly next er week in stockholm we will have a platform hopefully @ a platform on which we can continue our discussions with er [org7] [org10] and and [org8] hh er during the remaining months er of the year and er hopefully have a report by january i guess the deadline is er two thousand and er five so for those of you who attend the general assembly all this stuff will come out on thursday er xxx but 
POmtg546:363	S11:	 @@
POmtg546:364	S1:	 i thought i would just give you 
POmtg546:365	S11:	 @@@@
POmtg546:366	S1:	 the preliminary introduction 
POmtg546:367	S11:	 @@
POmtg546:368	S1:	 do any of you wish to comment on these great thoughts of the working group one 
POmtg546:369	S11:	 @@ @@@ good lord 
POmtg546:370	SX-10:	 mhm 
POmtg546:371	SX-m:	 @@
POmtg546:372	S1:	 but [S11] what's the problem 
POmtg546:373	S11:	 @@ it's too much 
POmtg546:374	S1:	 it is too much 
POmtg546:375	SX-f:	 xx 
POmtg546:376	S11:	 er yeah it's too much i'm just thinking of xxx we hav- er er the problem of external review doesn't seem the problem to me er er er we will adopt a code of good practice 
POmtg546:377	S3:	 mhm 
POmtg546:378	S11:	 in which er external review will be er 
POmtg546:379	SX-m:	 hm 
POmtg546:380	S11:	 will will be a part of it er on a regular base which will er er take in practice mean five or six years and 
POmtg546:381	SX-m:	 hm 
POmtg546:382	S11:	 if the rule will be five we'll probably stick to that well the second part 
POmtg546:383	S1:	 what was the second part 
POmtg546:384	S11:	 your last question where you erm stakeholders but the- there's the position different er er er er er 
POmtg546:385	S9:	 it's another xxxxx stakeholders 
POmtg546:386	SX-m:	 mhm 
POmtg546:387	SX-m:	 mhm 
POmtg546:388	SX-m:	 yah 
POmtg546:389	S9:	 i think it's a it's a question of their politics 
POmtg546:390	S1:	 i think i think the s- the simple way yeah 
POmtg546:391	S1:	 the simple way of putting it is i- if we do not come up with a proposal others will huh and then 
POmtg546:392	SX-m:	 hm 
POmtg546:393	SX-m:	 yah 
POmtg546:394	S1:	 basically i prefer us to come up with our proposal 
POmtg546:395	SX-m:	 hm 
POmtg546:396	S1:	 and our ideas or good people will see to it that it comes in but [S11] i mean we we are not going hopefully to have two systems of external reviews one sort of for [org3] members and one for [org3] members plus [org6] members that would be 
POmtg546:397	S11:	 oh no no no 
POmtg546:398	S1:	 i mean that would create a lot of job positions for those who like to x 
POmtg546:399	S11:	 hm 
POmtg546:400	S11:	 hm 
POmtg546:401	SX-m:	 hm 
POmtg546:402	S1:	 review other agencies but er wouldn't it complicate things a little 
POmtg546:403	S11:	 xx th- the position is so different in the all the er er in the different countries er there's not a er common view in the [org6] members i would say on this point 
POmtg546:404	SX-m:	 hm 
POmtg546:405	S9:	 but the othe- 
POmtg546:406	S9:	 yah 
POmtg546:407	S9:	 but but the other thing you can't avoid is er i mean at the moment [org10] has set up its quality committee which proposes i think still proposes to undertake some kind of evaluation 
POmtg546:408	S11:	 mhm 
POmtg546:409	S9:	 xx how 
POmtg546:410	S11:	 mhm 
POmtg546:411	S1:	 mhm 
POmtg546:412	S9:	 of agencies 
POmtg546:413	S11:	 mhm 
POmtg546:414	S9:	 well i think that's just not credible on the other hand i think it's also not credible hh for any for the work of the agencies not to be not to be er f- er er xxx not to be er a scrutiny of the work of the agencies not to be looked at at least in some respect it'd be considered in some respect by those for who we're providing service which includes the institutions themselves 
POmtg546:415	S11:	 yah 
POmtg546:416	S9:	 hh so i think there has to be some level at which the
POmtg546:417	SX-m:	 hm 
POmtg546:418	S9:	 at which the erm institutions however represented whether through national er representative organizations 
POmtg546:419	SX-m:	 yah 
POmtg546:420	S9:	 or through european representative organizations 
POmtg546:421	SX-10:	 hm 
POmtg546:422	S9:	 well there must be a question mark as to how representative the [org10] itself is actually erm er er er at some level in this whole process there has to be some engagement or involvement with the with the institutions and their representatives hh so a question is what is the best way of doing that 
POmtg546:423	SX-10:	 hm 
POmtg546:424	S9:	 hh certainly i don't think they can have any kind of summative power over the agencies because 
POmtg546:425	S1:	 yah 
POmtg546:426	S9:	 erm i- it's whoever owns the agencies that has that power that ca- er er xxxxxxxxxxx 
POmtg546:427	SX-10:	 hm 
POmtg546:428	S11:	 x 
POmtg546:429	S11:	 yah 
POmtg546:430	S9:	 at the same time i think it would be unrealistic and probably quite wrong simply to ignore xx the institutions themselves from some part of the process so it is a question of getting at a balance between giving them a role in the process but at the same time not giving them a dominant role 
POmtg546:431	S1:	 exactly a balance which i'm sure we can achieve once we found the right words to d- describe it yes hh so hh other comments
POmtg546:432	S11:	 xx er er er maybe i miss i just missed the point but why is that so difficult for most of our er for most of the members er it seems so er 
POmtg546:433	S9:	 rational 
POmtg546:434	S11:	 yah er y- y- it's no not it's more than that it's not fashionable 
POmtg546:435	S9:	 no xx not fashionable rational 
POmtg546:436	S11:	 oh sorry rational sorry 
POmtg546:437	S9:	 x x yes it's rational 
POmtg546:438	S11:	 erm 
POmtg546:439	S9:	 well i hope it's all right that we will accept this 
POmtg546:440	S11:	 what would be the problem with that because er er except for the fact that you er if you're going to look for an hh an organization that is that's the metaevaluation if but if there is a 
POmtg546:441	S9:	 hm 
POmtg546:442	S11:	 a proper national evaluation 
POmtg546:443	S1:	 mhm 
POmtg546:444	S11:	 procedure in which the stakeholders are 
POmtg546:445	S1:	 hm 
POmtg546:446	S11:	 conceived 
POmtg546:447	S9:	 hm 
POmtg546:448	S11:	 a part of students and the universities and the high sch- the schools of professional education in our sense hh employers' organizations 
POmtg546:449	S1:	 mhm 
POmtg546:450	S11:	 for instance will be 
POmtg546:451	S1:	 yah 
POmtg546:452	S11:	 a part of the evaluation committees in the netherlands 
POmtg546:453	S1:	 yah 
POmtg546:454	S9:	 hm 
POmtg546:455	S11:	 and maybe the inspector of higher education as a 
POmtg546:456	S1:	 yah 
POmtg546:457	S11:	 that will be it wh- why more than that why would you like to go to a kind of a metaevaluation 
POmtg546:458	S1:	 because as i'm glad [S9] supports me because i- it is there as xx er when we had most of these meetings in [place7] hh and as er people x in [place7] they tend sometimes to forget that there is such a thing as a national context background hh and er there is a tendency 
POmtg546:459	S4:	 hm 
POmtg546:460	S1:	 i mean the commission by the way has its own agenda in this er these matters hh but the [org10] and the students at that level wish very much for this to have a european dimension obviously because that would give the organizations as such a a stronger hand so when we as we do come up with a @ very good argument that stakeholder involvement would be xx cases 
POmtg546:461	SX:	
POmtg546:462	S1:	 naturally solved at a national basis when organizing a national review of the agency you can still feel that this is not enough
POmtg546:463	SX-10:	 mhm 
POmtg546:464	SX-10:	 mhm 
POmtg546:465	S1:	 hh and er the the problem is that when we introduce into such a context of as the bologna follow- -up group the contrast between national realities and the european visions as i hear it there's a surprising tendency for the european vision to come out stronger in the arguments than the national realities so i'm back to my point if we do not put in something which meets these expectations 
POmtg546:466	SX-6:	 hm 
POmtg546:467	SX-6:	 hm 
POmtg546:468	S1:	 then others will and they may not be 
POmtg546:469	SX-6:	 hm 
POmtg546:470	S1:	 hh as deft at hh doing this with the right wordings and the right balance as as er as the [org3] er membership will be able to do it so it's in that sense that's a very political explanation to this 
POmtg546:471	S9:	 hh but 
POmtg546:472	S9:	 i think 
POmtg546:473	SX-6:	 hm 
POmtg546:474	S9:	 i think that the er the the the trick that we got to try and pull off is to not call it a metaevaluation 
POmtg546:475	SX-m:	 @
POmtg546:476	S9:	 because a metaevaluation involves 
POmtg546:477	S1:	 hm 
POmtg546:478	S9:	 a review itself 
POmtg546:479	S10:	 mhm 
POmtg546:480	S1:	 hm 
POmtg546:481	S9:	 erm and possibly a judgement which i think is what has to be avoided but i think what one can do is offer it 
POmtg546:482	S1:	 hm 
POmtg546:483	S9:	 as information on national systems er th- the review report would go to er er er er er er er er a europe-wide stakeholder body for information and comment 
POmtg546:484	S10:	 hm 
POmtg546:485	S9:	 i mean xxx to stop such a good commenting on the reports 
POmtg546:486	S11:	 no it's not 
POmtg546:487	S9:	 in whatever way they felt appropriate 
POmtg546:488	S10:	 hm 
POmtg546:489	S11:	 yah okay okay fine 
POmtg546:490	S9:	 but they would not be in the position to to make judgements about this 
POmtg546:491	S10:	 hm 
POmtg546:492	S1:	 no no but that i hope i made that point clear 
POmtg546:493	S9:	 i i think that would be they have no authority to xxxxxxxx xxx 
POmtg546:494	S1:	 no no 
POmtg546:495	S10:	 mhm this is problem 
POmtg546:496	S10:	 hm 
POmtg546:497	S9:	 or to claim an authority they don't have but it i think it is right that their views are looked to and er er er xxxx reporting 
POmtg546:498	S10:	 mhm 
POmtg546:499	S1:	 hh yes [S10] 
POmtg546:500	S10:	 erm there is hh one problem i don't have problems er with erm a kind of metaevaluation call it so or not erm and procedures are quite hh understandable and must be in fact it's a problem of legitimation as well the involvement of stakeholders xx i fully agree hh but there is then the problem of consequences and authorization er what about agencies which er don't meet requirements but in v- very important er ways s- so what what else what then because x these are usually somehow legitimized at a national level but er are if they are not recognized fully at 
POmtg546:501	S9:	 but 
POmtg546:502	S9:	 but th- the basic purpose of all this is to is for the membership of [org3] it's entirely voluntary nobody is required to xx [org3] 
POmtg546:503	S1:	 mhm 
POmtg546:504	SX-m:	 xx 
POmtg546:505	S9:	 so it is about membership of [org3] 
POmtg546:506	SX-4:	 hm 
POmtg546:507	S9:	 but in a sense it's it's making membership of [org3] 
POmtg546:508	SX-4:	 exactly 
POmtg546:509	S4:	 yes 
POmtg546:510	S9:	 a de facto xx accreditation of an agency 
POmtg546:511	S11:	 yah 
POmtg546:512	S11:	 yah 
POmtg546:513	S4:	 yes 
POmtg546:514	S9:	 so one doesn't one might say i don't p- approve of any this i don't want to be a member of [org3] 
POmtg546:515	S11:	 yah 
POmtg546:516	S4:	 hm 
POmtg546:517	S9:	 i don't want to have anything to do with it 
POmtg546:518	S11:	 yah 
POmtg546:519	S4:	 yes 
POmtg546:520	S9:	 xxxxx 
POmtg546:521	S4:	 yes 
POmtg546:522	S9:	 xxx cos if you do that then you distance yourself from the mainstream activities going on in europe 
POmtg546:523	S1:	 mhm 
POmtg546:524	S9:	 so so there has to be a benefit of the cost 
POmtg546:525	SX-m:	 hm 
POmtg546:526	S1:	 xx 
POmtg546:527	S9:	 and you have to balance where 
POmtg546:528	SX-1:	 hm 
POmtg546:529	S9:	 one's one agency xx i guess very few will want to be outside [org3] 
POmtg546:530	S10:	 mhm that's true 
POmtg546:531	S1:	 hh but [S10] i mean it's it's a very good point because as i have said earlier today we are as we evolve going to have a more heterogeneous er membership we are going to have some new x we were all new ones xx i mean no one started out perfect @ doing this job 
POmtg546:532	SX-10:	 hm 
POmtg546:533	S1:	 so we have to find a common denominator in terms of the quality of agencies which is not too er discriminatory towards new agencies that's why i'm slightly i may have misunderstood you [S11] but that's why the idea that the [org6] sets up its own review system xx t- to its own code of practices to me would give the hh not too pleasing a a prospect of sort of several layers within [org3] we're all [org3] members but some of us have more refined er er er qualification structures than others that would not be a happy day for fo- for the network in that sense hh because as a network with forty-one plus and growing members as i said the common denominator must not hh be put at the level of the agencies that's been in place for ten years or more i mean that's 
POmtg546:534	S10:	 mhm 
POmtg546:535	S1:	 at least my very personal view on o- o- on this one hh so erm i mean to quote [S9] er who uses the term no there is not one size fits all in in in terms of european agencies xx so if we x make one size at a very high level then we will run into 
POmtg546:536	S4:	
POmtg546:537	S1:	 great problems and e- eventually great problems with the credibility of the network as such so i'm good you glad you took up that point 
POmtg546:538	S11:	 but don't xx if the ministers are asking us to find out a a system of quality assurance which is compatible a little bit compatible 
POmtg546:539	S1:	 hm 
POmtg546:540	S11:	 if they would ask us as a national authorities or national bodies or agencies give us the procedure in which you will be evaluated in er 
POmtg546:541	S9:	 er i i actually said that you know they didn't ask us for a single procedure 
POmtg546:542	S11:	 no not a single procedure er erm 
POmtg546:543	S9:	 they asked us for er an assurance that th- th- evaluation was taking place of agencies 
POmtg546:544	S11:	 yes but if so if if they would ask the national bodies or the national authority
POmtg546:545	S9:	 yeah 
POmtg546:546	S11:	 let's see in what way you are as a national agency [org13] 
POmtg546:547	S9:	 yah 
POmtg546:548	S11:	 will be evaluated with the erm er erm use of use of the stakeholders stakeholders are involved in that 
POmtg546:549	S9:	 yah 
POmtg546:550	S9:	 yah 
POmtg546:551	SX-m:	 hm 
POmtg546:552	S11:	 and there's a kind of an let's say the advisory role of [org3] on let's say erm of whether the procu- procedure fits th- the general goal why wouldn't that be enough why would you have a er a standard above that because it could easily er could quite well be that th- that the way we are evaluating our system er leans m- m- more heavy on students leans more heavy on institutions 
POmtg546:553	S9:	 yah 
POmtg546:554	S11:	 than maybe your system 
POmtg546:555	S9:	 hh the object of the exercise the object of the [place4] mandate i think is to try and bring the level of quality assurance generally a bit nearer up to an acceptable standard for all countries 
POmtg546:556	S10:	 hm 
POmtg546:557	S9:	 hh and some will be above what is an acceptable standard and some may have to 
POmtg546:558	S10:	 hm 
POmtg546:559	S9:	 work towards reaching the acceptable standard 
POmtg546:560	S11:	 yah 
POmtg546:561	S10:	 mhm 
POmtg546:562	S11:	 yah 
POmtg546:563	S1:	 mhm 
POmtg546:564	S9:	 erm er but for that there hav- there has to be standard 
POmtg546:565	SX-m:	 hm 
POmtg546:566	S9:	 hh and the standard is x the idea is that standards should be manifested in the [org3] 
POmtg546:567	S10:	 mhm 
POmtg546:568	S9:	 membership criteria 
POmtg546:569	SX-m:	 mhm 
POmtg546:570	S10:	 hm 
POmtg546:571	S9:	 you could have [org3] as a fully inclusive organization hh which anybody joins simply for the the professional benefit 
POmtg546:572	S10:	 hm 
POmtg546:573	S9:	 and then have if you'd like an accreditation list hh of those who meet certain standards they would be the accredited x er xx that'd be 
POmtg546:574	S11:	 yah 
POmtg546:575	S10:	 hm 
POmtg546:576	S10:	 hm 
POmtg546:577	S9:	 that would be a possibility but the er the general view i think certainly i think in the quadripartite group hh was that they would want [org3] membership hh to be itself de facto accreditation status so that nobody within [org3] who didn't reach a certain who couldn't demonstrate a certain requirement 
POmtg546:578	S11:	 yah 
POmtg546:579	S9:	 what that requirement is of course 
POmtg546:580	S10:	 n-n 
POmtg546:581	S9:	 is the is the question 
POmtg546:582	S11:	 xx 
POmtg546:583	S11:	 yah 
POmtg546:584	S9:	 and i think in fact 
POmtg546:585	S10:	 hm 
POmtg546:586	S9:	 when when when we see them or if we see that the the criteria themselves are fairly generic and but but entirely reasonable 
POmtg546:587	S11:	 yah 
POmtg546:588	S10:	 mhm 
POmtg546:589	S10:	 mhm 
POmtg546:590	S11:	 yah 
POmtg546:591	S9:	 erm and it's not going to be a a detailed list of things you must do 
POmtg546:592	S11:	 no 
POmtg546:593	S9:	 hh we should be quite wrong i mean i think 
POmtg546:594	S11:	 no 
POmtg546:595	S11:	 yah 
POmtg546:596	S9:	 there's a difference between saying you must reach a certain standard and this is how you're going to do it 
POmtg546:597	S11:	 yah 
POmtg546:598	S11:	 yah 
POmtg546:599	S9:	 because that does take away er the autonomy of individual agencies erm so i think i think the level of er of of generality of the criteria is appropriate 
POmtg546:600	S11:	 yah 
POmtg546:601	S9:	 hh and i don't think anybody is likely to have too much difficulty if on the other hand of course 
POmtg546:602	SX-m:	 hm 
POmtg546:603	S9:	 er the erm there is no national review process of the agencies 
POmtg546:604	S11:	 mhm 
POmtg546:605	S9:	 and er and er and an agency is is dependent on the [org3] model 
POmtg546:606	S11:	 yah 
POmtg546:607	S9:	 then of course it's the [org3] model 
POmtg546:608	S11:	 that's another one okay 
